data_local,localidade,latitude_fabrica,longitude_fabrica,precipitacao_corrigida_mm_dia,nebulosidade_percentual,irradiacao_all_sky_kwh_m2_dia,irradiacao_clear_sky_kwh_m2_dia,indice_all_sky_clear_sky,chuva_relevante,muito_nublado,condicao_adversa_independente,fonte_contexto,time_standard
2024-10-23,BMW San Luis Potosi,21.9682649,-100.8491733,0.01,19.26,6.1586,6.3922,0.9634554613435125,False,False,False,NASA POWER Daily API,LST
2024-10-24,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,11.28,6.2748,6.3583,0.98686755893871,False,False,False,NASA POWER Daily API,LST
2024-10-25,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,12.93,6.132,6.3154,0.9709598758590112,False,False,False,NASA POWER Daily API,LST
2024-10-26,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,59.77,4.5106,6.329,0.7126876283773108,False,False,False,NASA POWER Daily API,LST
2024-10-27,BMW San Luis Potosi,21.9682649,-100.8491733,0.02,44.99,4.7009,6.3528,0.7399729253242664,False,False,False,NASA POWER Daily API,LST
2024-10-28,BMW San Luis Potosi,21.9682649,-100.8491733,0.01,15.78,6.0218,6.2647,0.9612271936405573,False,False,False,NASA POWER Daily API,LST
2024-10-29,BMW San Luis Potosi,21.9682649,-100.8491733,0.26,46.33,5.5723,6.0221,0.9253084472194085,False,False,False,NASA POWER Daily API,LST
2024-10-30,BMW San Luis Potosi,21.9682649,-100.8491733,0.06,31.69,5.6208,5.987,0.938834140638049,False,False,False,NASA POWER Daily API,LST
2024-10-31,BMW San Luis Potosi,21.9682649,-100.8491733,0.03,27.3,5.6746,6.0113,0.9439888210536822,False,False,False,NASA POWER Daily API,LST
2024-11-01,BMW San Luis Potosi,21.9682649,-100.8491733,0.02,55.25,4.4455,5.603,0.7934142423701589,False,False,False,NASA POWER Daily API,LST
2024-11-02,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,51.33,4.3634,5.4722,0.7973758269069113,False,False,False,NASA POWER Daily API,LST
2024-11-03,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,23.04,4.8384,5.7134,0.8468512619456016,False,False,False,NASA POWER Daily API,LST
2024-11-04,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,3.92,5.8601,5.9561,0.9838820704823626,False,False,False,NASA POWER Daily API,LST
2024-11-05,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,7.3,6.0293,6.047,0.9970729287249877,False,False,False,NASA POWER Daily API,LST
2024-11-06,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,16.33,5.7137,5.9508,0.9601566175976339,False,False,False,NASA POWER Daily API,LST
2024-11-07,BMW San Luis Potosi,21.9682649,-100.8491733,0.01,44.55,5.1257,5.6606,0.9055047168144721,False,False,False,NASA POWER Daily API,LST
2024-11-08,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,33.47,5.3006,5.5867,0.9487890883705944,False,False,False,NASA POWER Daily API,LST
2024-11-09,BMW San Luis Potosi,21.9682649,-100.8491733,0.02,33.39,5.1778,5.4007,0.9587275723517323,False,False,False,NASA POWER Daily API,LST
2024-11-10,BMW San Luis Potosi,21.9682649,-100.8491733,0.01,21.16,5.441,5.5596,0.9786675300381322,False,False,False,NASA POWER Daily API,LST
2024-11-11,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,16.95,5.4821,5.579,0.9826312959311705,False,False,False,NASA POWER Daily API,LST
2024-11-12,BMW San Luis Potosi,21.9682649,-100.8491733,0.02,5.53,5.5992,5.617,0.9968310486024567,False,False,False,NASA POWER Daily API,LST
2024-11-13,BMW San Luis Potosi,21.9682649,-100.8491733,0.01,10.97,5.3551,5.5495,0.9649698171006397,False,False,False,NASA POWER Daily API,LST
2024-11-14,BMW San Luis Potosi,21.9682649,-100.8491733,1.4,66.1,2.7012,5.153,0.5241994954395498,True,False,True,NASA POWER Daily API,LST
