data,ghi_real_normalizado,ghi_previsto_mlp_normalizado,ghi_real_wm2,ghi_previsto_mlp_wm2
2024-01-31,0.7007874015748031,0.6968997842798685,263.2258064516129,262.1723948678881
2024-02-29,0.6220472440944882,0.5530686405395668,250.05172413793105,240.0206588390138
2024-03-31,0.7244094488188977,0.424372688330928,266.5255376344086,220.19992539300995
2024-04-30,0.1889763779527559,0.4233765824988214,184.0097222222222,220.0465130451982
2024-05-31,0.23622047244094488,0.28991559144639256,190.63709677419354,199.49190597565175
2024-06-30,0.16535433070866143,0.22935513567474247,180.60694444444442,190.1648632006591
2024-07-31,0.31496062992125984,0.30321161610812547,203.36559139784944,201.5396546125666
2024-08-31,0.44881889763779526,0.3742437136100193,224.1491935483871,212.47945688710223
2024-09-30,0.6062992125984252,0.47525476682764434,248.18888888888887,228.03638099051832
2024-10-31,0.7322834645669292,0.7010670512108963,267.252688172043,262.81420438575344
2024-11-30,0.6456692913385826,0.7367538902990611,253.79722222222225,268.310409300965
2024-12-31,0.9606299212598425,0.6701357301131513,302.8521505376344,258.0504067674939
