data,ghi_real_normalizado,ghi_previsto_rnn_normalizado,ghi_real_wm2,ghi_previsto_rnn_wm2
2024-01-31,0.7007874015748031,0.6770205,263.2258064516129,259.11074309956325
2024-02-29,0.6220472440944882,0.55468696,250.05172413793105,240.26990016037098
2024-03-31,0.7244094488188977,0.41886863,266.5255376344086,219.35223400188232
2024-04-30,0.1889763779527559,0.41648868,184.0097222222222,218.9856923174874
2024-05-31,0.23622047244094488,0.1343633,190.63709677419354,175.53497043364152
2024-06-30,0.16535433070866143,0.15093766,180.60694444444442,178.08762358367363
2024-07-31,0.31496062992125984,0.2534172,203.36559139784944,193.8707112390348
2024-08-31,0.44881889763779526,0.3831159,224.1491935483871,213.8458790126988
2024-09-30,0.6062992125984252,0.52816236,248.18888888888887,236.1847903797383
2024-10-31,0.7322834645669292,0.70849186,267.252688172043,263.95771503584683
2024-11-30,0.6456692913385826,0.729543,253.79722222222225,267.1998404472746
2024-12-31,0.9606299212598425,0.7098911,302.8521505376344,264.1732116934433
