data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2024-01-31,0.7007874015748031,0.5115467,263.2258064516129,233.6257733081778
2024-02-29,0.6220472440944882,0.43602014,250.05172413793105,221.9937732120355
2024-03-31,0.7244094488188977,0.38065735,266.5255376344086,213.46723371411684
2024-04-30,0.1889763779527559,0.36567357,184.0097222222222,211.15955138114353
2024-05-31,0.23622047244094488,0.2031172,190.63709677419354,186.12390474312167
2024-06-30,0.16535433070866143,0.21201019,180.60694444444442,187.4935317320489
2024-07-31,0.31496062992125984,0.2794241,203.36559139784944,197.87608955131583
2024-08-31,0.44881889763779526,0.3800895,224.1491935483871,213.3797774135025
2024-09-30,0.6062992125984252,0.5164816,248.18888888888887,234.38580867640115
2024-10-31,0.7322834645669292,0.7326818,267.252688172043,267.6832598076873
2024-11-30,0.6456692913385826,0.749831,253.79722222222225,270.3244455941422
2024-12-31,0.9606299212598425,0.68797547,302.8521505376344,260.7979419360398
