data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2023-10-26,0.1968503937007874,0.19894658,76.83333333333333,77.72321440527837
2023-10-27,0.3779527559055118,0.30667427,145.375,117.9595071921746
2023-10-28,0.2125984251968504,0.25802794,83.66666666666667,99.7901026258866
2023-10-29,0.05511811023622047,0.23016351,23.75,89.38273937503497
2023-10-30,0.16535433070866143,0.27224624,66.0,105.10063789288203
2023-10-31,0.1732283464566929,0.2420821,66.70833333333333,93.83433254311483
2023-11-01,0.3464566929133858,0.17398296,131.625,68.3993033344547
2023-11-02,0.2125984251968504,0.2705464,81.54166666666667,104.46574949721496
2023-11-03,0.2047244094488189,0.21442035,80.20833333333333,83.50266679624717
2023-11-04,0.10236220472440945,0.2532481,41.125,98.00483034054439
2023-11-05,0.2440944881889764,0.1897499,96.04166666666669,74.28825301925342
2023-11-06,0.16535433070866143,0.305971,65.5,117.69683390359084
2023-11-07,0.18110236220472442,0.2233252,70.41666666666667,86.82862622539203
2023-11-08,0.007874015748031496,0.27006423,7.708333333333333,104.28565833965938
2023-11-09,0.33070866141732286,0.11958082,125.875,48.08010301242272
2023-11-10,0.2283464566929134,0.2307821,87.54166666666667,89.61378345141809
2023-11-11,0.28346456692913385,0.18433388,108.375,72.26536926875512
2023-11-12,0.31496062992125984,0.25639275,120.29166666666669,99.17935773233573
2023-11-13,0.33858267716535434,0.29427212,130.04166666666666,113.32730526725452
2023-11-14,0.33858267716535434,0.296612,128.58333333333334,114.2012466142575
2023-11-15,0.29133858267716534,0.27545536,113.625,106.29924199978511
2023-11-16,0.25984251968503935,0.19360244,99.70833333333331,75.72717903057735
2023-11-17,0.031496062992125984,0.26388735,16.083333333333332,101.97859031955402
2023-11-18,0.31496062992125984,0.2114598,122.45833333333331,82.39690219114225
2023-11-19,0.31496062992125984,0.26904923,121.125,103.90655303994815
2023-11-20,0.12598425196850394,0.28953037,50.708333333333336,111.55625861386459
2023-11-21,0.015748031496062992,0.17089985,9.333333333333334,67.24776180336873
2023-11-22,0.08661417322834646,0.2712861,35.958333333333336,104.74202507237594
2023-11-23,0.1889763779527559,0.12601268,74.45833333333333,50.48240373531977
2023-11-24,0.2992125984251969,0.11706275,116.58333333333331,47.13960284988085
