data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.13385826771653545,0.09912208,128.3319892473118,121.40483705338931
2024-02-29,0.2677165354330709,0.26003006,153.75574712643677,152.4449387308891
2024-03-31,0.4409448818897638,0.46977386,187.87231182795696,192.90575774278372
2024-04-30,0.8346456692913385,0.74113005,263.20138888888886,245.25197259376768
2024-05-31,0.8031496062992126,0.8432327,257.39381720430106,264.948175159994
2024-06-30,0.937007874015748,0.86728567,283.19305555555553,269.5881367804863
2024-07-31,0.7401574803149606,0.773616,245.24059139784944,251.51870676827045
2024-08-31,0.6850393700787402,0.6474562,234.99193548387098,227.18173771535837
2024-09-30,0.4094488188976378,0.5416781,181.27916666666667,206.77650552315095
2024-10-31,0.4645669291338583,0.3222371,191.76209677419354,164.44504524967684
2024-11-30,0.13385826771653545,0.16320322,128.38888888888889,133.7664693446169
2024-12-31,0.11811023622047244,0.06279967,124.73924731182795,114.39802985127655
