data,ghi_real_normalizado,ghi_previsto_dilatedrnn_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_wm2
2024-01-31,0.13385826771653545,0.09445426,128.3319892473118,120.50438725043048
2024-02-29,0.2677165354330709,0.25205794,153.75574712643677,150.90706939698867
2024-03-31,0.4409448818897638,0.49302468,187.87231182795696,197.39097808854234
2024-04-30,0.8346456692913385,0.708446,263.20138888888886,238.94703027125328
2024-05-31,0.8031496062992126,0.8352031,257.39381720430106,263.39922166880103
2024-06-30,0.937007874015748,0.8143411,283.19305555555553,259.3748217130541
2024-07-31,0.7401574803149606,0.8115891,245.24059139784944,258.84394346994736
2024-08-31,0.6850393700787402,0.6643455,234.99193548387098,230.43977857597412
2024-09-30,0.4094488188976378,0.5503647,181.27916666666667,208.4522024436343
2024-10-31,0.4645669291338583,0.18905494,191.76209677419354,138.75341740466894
2024-11-30,0.13385826771653545,0.29702654,128.38888888888889,159.58177925285793
2024-12-31,0.11811023622047244,0.097705945,124.73924731182795,121.13165684376833
