data,ghi_real_normalizado,ghi_previsto_dilatedrnn_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_wm2
2023-10-26,0.3937007874015748,0.4210566,147.875,157.1022748450438
2023-10-27,0.3543307086614173,0.43723977,132.91666666666666,162.80414426326752
2023-10-28,0.5275590551181102,0.42214447,194.75,157.48556917905807
2023-10-29,0.5511811023622047,0.4885688,201.83333333333331,180.8890783091386
2023-10-30,0.5511811023622047,0.50012565,201.83333333333331,184.96093614896137
2023-10-31,0.48031496062992124,0.4955827,177.125,183.36030455430347
2023-11-01,0.5590551181102362,0.45345572,206.95833333333331,168.51756406823793
2023-11-02,0.5590551181102362,0.48979726,207.0,181.32190280159313
2023-11-03,0.3700787401574803,0.48886886,138.33333333333334,180.9947958489259
2023-11-04,0.5354330708661418,0.43185687,198.0,160.90757075945535
2023-11-05,0.5275590551181102,0.49280968,195.04166666666663,182.38327834010124
2023-11-06,0.5196850393700787,0.49022216,190.75,181.47160631418228
2023-11-07,0.5039370078740157,0.478504,186.83333333333331,177.34291007121402
2023-11-08,0.5039370078740157,0.4758501,185.04166666666663,176.40785376230875
2023-11-09,0.4094488188976378,0.4724119,152.33333333333334,175.19645970066387
2023-11-10,0.4015748031496063,0.41934013,151.29166666666666,156.4975070953369
2023-11-11,0.06299212598425197,0.4366197,29.95833333333333,162.585673948129
2023-11-12,0.07874015748031496,0.33037707,35.625,125.1528550684452
2023-11-13,0.2047244094488189,0.3761255,80.25,141.2715562780698
2023-11-14,0.2755905511811024,0.42128074,106.16666666666669,157.18124798933664
2023-11-15,0.09448818897637795,0.37435973,43.29166666666666,140.64941044648486
2023-11-16,0.15748031496062992,0.3162053,64.0,120.15966487924257
2023-11-17,0.2283464566929134,0.35211033,88.625,132.81020496288934
2023-11-18,0.4409448818897638,0.36151454,163.20833333333334,136.12362240751582
2023-11-19,0.4409448818897638,0.380542,164.875,142.8276348809401
2023-11-20,0.15748031496062992,0.35924575,64.0,135.3242516418298
2023-11-21,0.12598425196850394,0.29097018,54.5,111.26849217216173
2023-11-22,0.2125984251968504,0.30436873,83.5,115.98925073941548
2023-11-23,0.4015748031496063,0.35154408,151.04166666666666,132.61069828271866
2023-11-24,0.28346456692913385,0.37224028,108.375,139.90265694260597
2023-11-25,0.3464566929133858,0.31043717,130.08333333333334,118.12736383080482
2023-11-26,0.023622047244094488,0.33548364,16.5,126.95206931233406
2023-11-27,0.4251968503937008,0.26635462,157.375,102.5956112742424
2023-11-28,0.3700787401574803,0.37685117,138.70833333333334,141.52722933888435
2023-11-29,0.44881889763779526,0.3515558,168.0,132.61482492089272
2023-11-30,0.3464566929133858,0.355889,130.0,134.14155504107475
2023-12-01,0.2047244094488189,0.31303525,81.83333333333333,119.04275298118591
2023-12-02,0.03937007874015748,0.2883771,23.45833333333333,110.35486708084741
2023-12-03,0.07874015748031496,0.2864481,37.625,109.67521082361539
2023-12-04,0.2125984251968504,0.37016943,84.70833333333333,139.17302951216698
2023-12-05,0.4094488188976378,0.37641555,152.29166666666666,141.37374569972354
2023-12-06,0.4015748031496063,0.36749202,150.875,138.2296884258588
2023-12-07,0.4251968503937008,0.319,159.58333333333334,121.14433534940083
2023-12-08,0.23622047244094488,0.3069819,91.29166666666669,116.90995306770006
2023-12-09,0.3700787401574803,0.26529527,138.45833333333334,102.22236577669779
2023-12-10,0.07874015748031496,0.3092625,36.958333333333336,117.71349247296651
2023-12-11,0.4251968503937008,0.25158015,157.625,97.39007247487703
2023-12-12,0.4015748031496063,0.36134088,150.70833333333334,136.06243685881296
2023-12-13,0.33070866141732286,0.3436662,125.91666666666669,129.83505634466806
2023-12-14,0.2992125984251969,0.2984081,114.16666666666669,113.8891174197197
2023-12-15,0.4015748031496063,0.29186013,150.70833333333334,111.58205367128053
2023-12-16,0.13385826771653545,0.32660246,55.208333333333336,123.82293303807576
2023-12-17,0.023622047244094488,0.26279247,16.5,101.34054625034332
2023-12-18,0.4094488188976378,0.30878475,154.33333333333334,117.54516133666039
2023-12-19,0.4330708661417323,0.38924372,159.95833333333334,145.89353803793588
2023-12-20,0.3543307086614173,0.36395684,133.16666666666666,136.9841262201468
2023-12-21,0.3937007874015748,0.29812086,148.375,113.7879150311152
2023-12-22,0.23622047244094488,0.32031125,92.375,121.60632981856664
2023-12-23,0.3858267716535433,0.2776031,144.70833333333334,106.55882197618484
2023-12-24,0.2125984251968504,0.3241858,85.0,122.97145952781041
2023-12-25,0.015748031496062992,0.2816838,13.25,107.99659311771393
2023-12-26,0.08661417322834646,0.28671494,38.16666666666666,109.76923097173372
2023-12-27,0.2677165354330709,0.3702591,104.20833333333331,139.20462507009506
2023-12-28,0.25984251968503935,0.3845664,100.20833333333331,144.245560357968
2023-12-29,0.3937007874015748,0.3041079,147.29166666666666,115.8973516623179
