data,ghi_real_normalizado,ghi_previsto_deepar_exp_normalizado,ghi_real_wm2,ghi_previsto_deepar_exp_wm2
2023-10-26,0.3937007874015748,0.5727323,147.875,210.54269071420032
2023-10-27,0.3543307086614173,0.55032843,132.91666666666666,202.64905140797296
2023-10-28,0.5275590551181102,0.5475099,194.75,201.65599115689594
2023-10-29,0.5511811023622047,0.5564094,201.83333333333331,204.79158514738083
2023-10-30,0.5511811023622047,0.5704262,201.83333333333331,209.7301735083262
2023-10-31,0.48031496062992124,0.58745456,177.125,215.72982239723206
2023-11-01,0.5590551181102362,0.5700098,206.95833333333331,209.58346259593964
2023-11-02,0.5590551181102362,0.5752415,207.0,211.42675731579462
2023-11-03,0.3700787401574803,0.5748222,138.33333333333334,211.27901736895242
2023-11-04,0.5354330708661418,0.57445896,198.0,211.1510390837987
2023-11-05,0.5275590551181102,0.57404155,195.04166666666663,211.00397115945816
2023-11-06,0.5196850393700787,0.5723304,190.75,210.4010829726855
2023-11-07,0.5039370078740157,0.57979727,186.83333333333331,213.03190406163532
2023-11-08,0.5039370078740157,0.58155006,185.04166666666663,213.64947173992792
2023-11-09,0.4094488188976378,0.57921326,152.33333333333334,212.82613917191821
2023-11-10,0.4015748031496063,0.55928063,151.29166666666666,205.8032100200653
2023-11-11,0.06299212598425197,0.56034505,29.95833333333333,206.17824057737985
2023-11-12,0.07874015748031496,0.528084,35.625,194.81158898274103
2023-11-13,0.2047244094488189,0.50849605,80.25,187.91010689735413
2023-11-14,0.2755905511811024,0.4978481,106.16666666666669,184.15847827990848
2023-11-15,0.09448818897637795,0.50635433,43.29166666666666,187.15550963083902
2023-11-16,0.15748031496062992,0.5025071,64.0,185.79999824364978
2023-11-17,0.2283464566929134,0.49904647,88.625,184.5807079176108
2023-11-18,0.4409448818897638,0.48417407,163.20833333333334,179.3406649629275
2023-11-19,0.4409448818897638,0.5019922,164.875,185.6185941696167
2023-11-20,0.15748031496062992,0.52316105,64.0,193.077077905337
2023-11-21,0.12598425196850394,0.5211113,54.5,192.35488472382227
2023-11-22,0.2125984251968504,0.49818403,83.5,184.27683824300766
2023-11-23,0.4015748031496063,0.48915264,151.04166666666666,181.09478019674617
2023-11-24,0.28346456692913385,0.5039822,108.375,186.31972364584604
2023-11-25,0.3464566929133858,0.52032036,130.08333333333334,192.07620539267856
2023-11-26,0.023622047244094488,0.52758884,16.5,194.63713614145914
2023-11-27,0.4251968503937008,0.4960568,157.375,183.5273441473643
2023-11-28,0.3700787401574803,0.5020046,138.70833333333334,185.62296231587726
2023-11-29,0.44881889763779526,0.5071776,168.0,187.44557134310404
2023-11-30,0.3464566929133858,0.5407179,130.0,199.26294002930322
2023-12-01,0.2047244094488189,0.5297275,81.83333333333333,195.39066237211227
2023-12-02,0.03937007874015748,0.52163994,23.45833333333333,192.541139960289
2023-12-03,0.07874015748031496,0.48826757,37.625,180.7829407552878
2023-12-04,0.2125984251968504,0.48971716,84.70833333333333,181.29367785652477
2023-12-05,0.4094488188976378,0.48691067,152.29166666666666,180.30485974748927
2023-12-06,0.4015748031496063,0.5072942,150.875,187.48664871851602
2023-12-07,0.4251968503937008,0.52056503,159.58333333333334,192.16241327921549
2023-12-08,0.23622047244094488,0.52748466,91.29166666666669,194.60042691230774
2023-12-09,0.3700787401574803,0.5106042,138.45833333333334,188.6528807679812
2023-12-10,0.07874015748031496,0.51145357,36.958333333333336,188.95214078823724
2023-12-11,0.4251968503937008,0.49959818,157.625,184.7750904262066
2023-12-12,0.4015748031496063,0.51652753,150.70833333333334,190.7398676474889
2023-12-13,0.33070866141732286,0.518661,125.91666666666669,191.49156681696573
2023-12-14,0.2992125984251969,0.53446054,114.16666666666669,197.058265209198
2023-12-15,0.4015748031496063,0.5180115,150.70833333333334,191.26272215445834
2023-12-16,0.13385826771653545,0.5245149,55.208333333333336,193.55408787727356
2023-12-17,0.023622047244094488,0.5023115,16.5,185.7310949365298
2023-12-18,0.4094488188976378,0.5012454,154.33333333333334,185.35545535882312
2023-12-19,0.4330708661417323,0.5002854,159.95833333333334,185.0172180334727
2023-12-20,0.3543307086614173,0.51272315,133.16666666666666,189.39945576588312
2023-12-21,0.3937007874015748,0.5306318,148.375,195.7092640399933
2023-12-22,0.23622047244094488,0.53480214,92.375,197.17862023909885
2023-12-23,0.3858267716535433,0.5113182,144.70833333333334,188.90444819132486
2023-12-24,0.2125984251968504,0.50965285,85.0,188.31768854459125
2023-12-25,0.015748031496062992,0.5155484,13.25,190.394889096419
2023-12-26,0.08661417322834646,0.5040178,38.16666666666666,186.33226106564203
2023-12-27,0.2677165354330709,0.48593733,104.20833333333331,179.96191826462746
2023-12-28,0.25984251968503935,0.4890549,100.20833333333331,181.06033904353777
2023-12-29,0.3937007874015748,0.49486086,147.29166666666666,183.1059755384922
2023-12-30,0.3779527559055118,0.51582706,141.45833333333334,190.49306738376617
2023-12-31,0.41732283464566927,0.5151982,156.95833333333334,190.27148896455765
2024-01-01,0.4015748031496063,0.51704895,149.16666666666666,190.92358179887134
2024-01-02,0.4251968503937008,0.5222032,159.41666666666666,192.7395966053009
2024-01-03,0.1889763779527559,0.5347731,75.95833333333333,197.16839289665222
2024-01-04,0.4251968503937008,0.51993436,159.04166666666666,191.94020483891168
2024-01-05,0.4015748031496063,0.52749276,149.20833333333334,194.60328300793964
2024-01-06,0.2992125984251969,0.5258725,113.875,194.03242089351016
2024-01-07,0.3464566929133858,0.53374577,131.83333333333334,196.80642477671304
2024-01-08,0.18110236220472442,0.5277936,72.20833333333333,194.70927355686823
2024-01-09,0.0,0.51520336,7.541666666666667,190.27331602573395
2024-01-10,0.44881889763779526,0.4909613,165.91666666666666,181.73203603426614
2024-01-11,0.1889763779527559,0.50454247,76.29166666666667,186.51713025569916
2024-01-12,0.10236220472440945,0.50351137,45.333333333333336,186.1538390914599
2024-01-13,0.33858267716535434,0.5035195,129.41666666666666,186.15669518709183
2024-01-14,0.4094488188976378,0.50005335,153.875,184.93546229600906
2024-01-15,0.4015748031496063,0.50505656,151.625,186.69826132059097
2024-01-16,0.11811023622047244,0.5147661,49.91666666666666,190.1192548672358
2024-01-17,0.47244094488188976,0.5207874,174.91666666666666,192.24076690276462
2024-01-18,0.41732283464566927,0.51385933,154.58333333333334,189.7997711698214
2024-01-19,0.4645669291338583,0.51274633,171.79166666666666,189.40762503941852
