Localidade,Modelo,N_teste,MAE_wm2,MSE_wm4,RMSE_wm2,R2,nRMSE_percentual
BMW San Luis Potosi,Persistencia,12,33.43112305854242,1469.5373576200418,38.334545225162664,0.27272943634543845,15.468769947967395
BYD Camacari,Persistencia,12,24.456448008074812,1009.7719915753001,31.776909723497347,0.27941124453535604,13.452144928909918
Ford Rouge Electric Vehicle Center,Persistencia,12,36.09837216248506,1988.8681728154543,44.59672827479,0.6686870659430317,27.795566183677767
GM Factory Zero,Persistencia,12,35.87547043010752,1976.7444953312897,44.460594860295,0.6676990905502025,27.739392976672704
Hyundai Metaplant Georgia,Persistencia,12,30.52066905615291,1430.681427092839,37.824349658557765,0.5241694452550187,19.06989688996337
Lucid AMP 1 Casa Grande,Persistencia,12,35.2067652329749,1821.7153687919845,42.68155771281063,0.6716785844378292,17.309664447262332
Rivian Normal,Persistencia,12,37.03744772998805,2155.7896543071333,46.430481952130684,0.6345942579577875,25.809083341380802
Tesla Fremont Factory,Persistencia,12,43.50248655913978,2437.0540723159506,49.366527853556306,0.7269763399445568,22.37473906955302
Tesla Gigafactory Nevada,Persistencia,12,43.07326015531661,2450.606620171127,49.50360209288943,0.7216257938480715,22.28336423886247
Tesla Gigafactory Texas,Persistencia,12,31.674671445639166,1346.6461374819992,36.69667747197284,0.5951438215677138,17.567712449773147
BMW San Luis Potosi,Sazonal ingenuo,12,32.55069323976965,1352.3817952475872,36.77474398615968,0.33070944715637307,14.839358371829691
BYD Camacari,Sazonal ingenuo,12,21.12043150531748,634.6506913849794,25.192274438505535,0.54710354844916,10.664665940912997
Ford Rouge Electric Vehicle Center,Sazonal ingenuo,12,12.583989761551637,297.80712271555683,17.257089056835653,0.9503902003367671,10.755734323408848
GM Factory Zero,Sazonal ingenuo,12,14.123742908051865,326.3084424681138,18.064009590013892,0.9451458737083123,11.270309412779977
Hyundai Metaplant Georgia,Sazonal ingenuo,12,17.137281356121736,412.46803386011203,20.30930904437943,0.8628171935068443,10.239341399888161
Lucid AMP 1 Casa Grande,Sazonal ingenuo,12,7.817216283451335,124.95773661883669,11.178449651845138,0.9774793023789733,4.533461824800721
Rivian Normal,Sazonal ingenuo,12,20.779582187512876,583.7289852430491,24.160483961275467,0.9010581006462629,13.429969233736063
Tesla Fremont Factory,Sazonal ingenuo,12,13.689407202520727,344.36784151659936,18.557150684213333,0.9614204011456724,8.410788088345154
Tesla Gigafactory Nevada,Sazonal ingenuo,12,13.514209084094029,445.6858943708976,21.111274105816012,0.9493727569258149,9.502949089717557
Tesla Gigafactory Texas,Sazonal ingenuo,12,16.111833327447894,446.235759116456,21.124293103355104,0.8658435211097664,10.112782205634312
BMW San Luis Potosi,Climatologia,12,13.229691031260478,263.86709076919055,16.243986295524586,0.869412800675996,6.554779391995219
BYD Camacari,Climatologia,12,13.137358846138566,288.1127254373004,16.973883628601335,0.7943983473610645,7.185567903399831
Ford Rouge Electric Vehicle Center,Climatologia,12,13.279167020712308,273.5933641629127,16.540657912033385,0.9544238167927372,10.309208085459318
GM Factory Zero,Climatologia,12,13.589109516802184,294.2554788083215,17.15387649507602,0.9505341416406963,10.702468616657317
Hyundai Metaplant Georgia,Climatologia,12,11.096989496982978,164.05475239992938,12.808386018539938,0.9454370047973347,6.4576021241687735
Lucid AMP 1 Casa Grande,Climatologia,12,9.721163382042668,143.50331978541683,11.979287115075623,0.9741368965223903,4.8582444360303905
Rivian Normal,Climatologia,12,15.870764066831319,427.9031465446521,20.68581993890143,0.9274705366207913,11.498524855682744
Tesla Fremont Factory,Climatologia,12,9.785685803431653,182.62834670912835,13.514005576035862,0.979540109423581,6.125047915973787
Tesla Gigafactory Nevada,Climatologia,12,10.964862187961645,162.34715538625753,12.741552314622325,0.9815583373807595,5.735434174315017
Tesla Gigafactory Texas,Climatologia,12,10.038301037473296,211.98862148163423,14.559829033393017,0.9362676647002004,6.9701920554486625
BMW San Luis Potosi,XGBoost,12,22.64318574527662,709.8015069436415,26.642100272757055,0.6487209124960329,10.750630211714206
BYD Camacari,XGBoost,12,16.70577732846731,425.6941084368754,20.632355862500905,0.6962181657181721,8.734311917120538
Ford Rouge Electric Vehicle Center,XGBoost,12,14.520784676274486,285.2900475616631,16.890531298975265,0.9524753404942354,10.52727181476988
GM Factory Zero,XGBoost,12,15.440249661254676,308.4083606035165,17.561559173476496,0.9481549694699952,10.956825762832896
Hyundai Metaplant Georgia,XGBoost,12,12.841797021771754,285.2396475409408,16.88903927228961,0.905132101979918,8.514944484187211
Lucid AMP 1 Casa Grande,XGBoost,12,10.4270766735874,162.4873958132425,12.747054397516411,0.9707154626247729,5.169615312465101
Rivian Normal,XGBoost,12,15.830153824396769,371.79954837280474,19.28210435540698,0.9369800807826083,10.718248387319685
Tesla Fremont Factory,XGBoost,12,13.559450223824095,269.1697418099396,16.40639332120072,0.9698448594473366,7.435985182577082
Tesla Gigafactory Nevada,XGBoost,12,12.219548821461373,261.88326915011913,16.1828078265213,0.9702516321656531,7.28446791668288
Tesla Gigafactory Texas,XGBoost,12,11.544562399396133,258.00429363629104,16.062512058712706,0.9224334964966946,7.689567898456072
BMW San Luis Potosi,MLP,12,26.370230868398647,1068.6415252145382,32.69008297962149,0.4711318359091383,13.191114443163023
BYD Camacari,MLP,12,14.239411768562709,291.439460406295,17.07159806246313,0.79202433834609,7.226933433824058
Ford Rouge Electric Vehicle Center,MLP,12,15.455811859403921,333.73287149331037,18.2683571098583,0.9444055577151792,11.386021996621851
GM Factory Zero,MLP,12,15.92339543604691,358.0108955977962,18.921175851352267,0.9398165283975428,11.805103691721227
Hyundai Metaplant Georgia,MLP,12,12.104840068766677,238.87207164298215,15.455486781171992,0.9205535011425102,7.792190532334982
Lucid AMP 1 Casa Grande,MLP,12,11.60869857760688,191.5769475855908,13.841132453148145,0.9654727540328705,5.613322736395751
Rivian Normal,MLP,12,21.585710362600608,667.205899877455,25.83032907025102,0.8869087870179891,14.358177810790679
Tesla Fremont Factory,MLP,12,15.790141482768938,406.7148856856963,20.16717346793289,0.9544356491920529,9.140510052762494
Tesla Gigafactory Nevada,MLP,12,13.50082566689315,316.0240975832239,17.77706661919294,0.9641015589505482,8.002101540625045
Tesla Gigafactory Texas,MLP,12,14.015139174383782,312.13369570233334,17.66730584164811,0.9061600136185131,8.457826979712815
BMW San Luis Potosi,RNN,12,17.607743771506122,456.3075905760811,21.361357414173874,0.7741744523354093,8.619742889222216
BYD Camacari,RNN,12,15.646955898402178,432.60400862679427,20.79913480476518,0.6912871551338214,8.804914581821139
Ford Rouge Electric Vehicle Center,RNN,12,12.358101541841142,219.01140828853352,14.799034032278374,0.9635162786232813,9.223715411680168
GM Factory Zero,RNN,12,13.004951318545274,249.63415958730664,15.799815175732489,0.9580352147399326,9.857656729416343
Hyundai Metaplant Georgia,RNN,12,13.005929454934048,284.87129180940855,16.878130578041176,0.9052546134690304,8.50944464938768
Lucid AMP 1 Casa Grande,RNN,12,9.010230961799756,124.00770945181273,11.135874884885009,0.9776505224661742,4.516195469740325
Rivian Normal,RNN,12,16.9808258124483,423.7112356935386,20.584247270510975,0.9281810643348777,11.44206415673074
Tesla Fremont Factory,RNN,12,6.286124529595553,66.99595598254321,8.185105740461953,0.9924944295167465,3.709793116153774
Tesla Gigafactory Nevada,RNN,12,9.051728649555873,106.56149720672143,10.322862839673954,0.9878952533845637,4.646694440793301
Tesla Gigafactory Texas,RNN,12,12.591153880160205,257.5059986524836,16.046993445891463,0.9225833040795934,7.682138710135926
BMW San Luis Potosi,LSTM,12,17.18635579964926,425.32642955198753,20.623443687997103,0.7895069556731645,8.321979667964975
BYD Camacari,LSTM,12,14.086506249368584,383.4840906958769,19.58274982467674,0.7263398807250181,8.289981343067613
Ford Rouge Electric Vehicle Center,LSTM,12,12.05212890420084,206.44194042331267,14.36808757014352,0.9656101465502168,8.955121697000374
GM Factory Zero,LSTM,12,12.27377981627208,204.17773965249592,14.28907763477041,0.9656766725612875,8.915093039815694
Hyundai Metaplant Georgia,LSTM,12,12.498593908501794,225.56134813218583,15.018699948137517,0.9249805167116361,7.571975777975642
Lucid AMP 1 Casa Grande,LSTM,12,9.78629085078242,134.8261933196221,11.61146818105368,0.975700744801362,4.7090740995560365
Rivian Normal,LSTM,12,15.146629933065647,320.75424340529975,17.909613156215848,0.9456322456643519,9.95532846368512
Tesla Fremont Factory,LSTM,12,9.240123357796444,134.1435871232806,11.582037261349171,0.9849718668348791,5.249408311341459
Tesla Gigafactory Nevada,LSTM,12,8.064062444374734,101.22940506398805,10.061282476105522,0.9885009470545085,4.528947645152207
Tesla Gigafactory Texas,LSTM,12,11.886122898385699,241.00034947884475,15.524185952211624,0.927545568375304,7.431856331777049
BMW San Luis Potosi,DilatedRNN,12,20.923699113254795,621.478375769275,24.929468020181957,0.6924318212795615,10.059548208133688
BYD Camacari,DilatedRNN,12,16.830348018847737,495.8990901225866,22.268791842454917,0.646118815763532,9.427065685840414
Ford Rouge Electric Vehicle Center,DilatedRNN,12,12.666185622075522,210.2800750809181,14.501037034671628,0.9649707760418553,9.037984404273557
GM Factory Zero,DilatedRNN,12,12.381947524564362,206.05107376334846,14.354479222993374,0.9653617554689623,8.95589772006606
Hyundai Metaplant Georgia,DilatedRNN,12,12.964989014640624,257.2264282859839,16.038280091268636,0.9144490228582192,8.086017351091373
Lucid AMP 1 Casa Grande,DilatedRNN,12,8.404680883038937,118.7020803589214,10.895048433069098,0.9786067375171462,4.418527406662415
Rivian Normal,DilatedRNN,12,18.44771901552127,459.07981577985714,21.426147945439403,0.9221860999256184,11.910047338701467
Tesla Fremont Factory,DilatedRNN,12,7.449513518080672,83.40153726792839,9.132444211049329,0.9906565089310878,4.139162002554299
