Localidade,Modelo,N_teste,MAE_wm2,MSE_wm4,RMSE_wm2,R2,nRMSE_percentual
Tesla Gigafactory Nevada,DilatedRNN,12,10.486697753553544,143.89147635751345,11.995477329290129,0.983654791767332,5.399598801841197
Tesla Gigafactory Texas,DilatedRNN,12,13.666707344542559,270.3181239589986,16.44135407924173,0.9187314621258563,7.87093003091692
BMW San Luis Potosi,DeepNPTS,12,24.518908382460566,867.0713826762499,29.44607584511474,0.5708884228510094,11.882091477623542
BYD Camacari,DeepNPTS,12,15.741262992202254,430.17753192242117,20.740721586348464,0.69301872606583,8.780186466760764
Ford Rouge Electric Vehicle Center,DeepNPTS,12,17.261865072078013,545.296797737842,23.351590903787304,0.9091624651348085,14.55422214968401
GM Factory Zero,DeepNPTS,12,17.521930562870693,535.5391204842261,23.141718183493335,0.9099731213603162,14.438340666930852
Hyundai Metaplant Georgia,DeepNPTS,12,16.49151836662567,422.68904742615524,20.559402895662004,0.8594177850409994,10.365431180672893
Lucid AMP 1 Casa Grande,DeepNPTS,12,10.79367253600733,194.22381631535166,13.936420498655732,0.9649957181012152,5.651967157592138
Rivian Normal,DeepNPTS,12,25.61232052782167,944.0750362462123,30.72580407810693,0.8399795460221053,17.07940139411818
Tesla Fremont Factory,DeepNPTS,12,15.574836185210495,406.6147404420674,20.164690437546206,0.954446868483928,9.139384651414263
Tesla Gigafactory Nevada,DeepNPTS,12,15.165592535319382,463.61665397770275,21.531759193751512,0.947335930235574,9.692224657056984
Tesla Gigafactory Texas,DeepNPTS,12,18.32690821390992,599.2577366044206,24.479741350848066,0.8198389388386076,11.719127902654783
BMW San Luis Potosi,DeepAR,12,18.416525702857165,626.5612679421241,25.03120588270018,0.6899163099614074,10.100601508258906
BYD Camacari,DeepAR,12,16.035347633384426,508.8887868677784,22.558563493001465,0.6368491692595937,9.549734953348175
Ford Rouge Electric Vehicle Center,DeepAR,12,13.498635343877792,271.7950379807718,16.486207507512812,0.954723388545124,10.275271070769493
GM Factory Zero,DeepAR,12,14.713646764335587,298.87767728047163,17.288079051198014,0.9497571263210227,10.7861988828501
Hyundai Metaplant Georgia,DeepAR,12,11.965710551776395,240.98270690639433,15.523617713226331,0.9198515246373042,7.826540094482692
Lucid AMP 1 Casa Grande,DeepAR,12,10.404532495698534,132.7850741837311,11.523240611205301,0.9760686085936465,4.673293080518522
Rivian Normal,DeepAR,12,18.528869333964384,427.3468562152313,20.672369390450417,0.9275648276756754,11.49104816555669
Tesla Fremont Factory,DeepAR,12,12.377036764706071,245.29628066839942,15.661937321685317,0.9725194081219422,7.098570147285704
Tesla Gigafactory Nevada,DeepAR,12,15.842916399322343,409.6552224816557,20.239941266754105,0.9534656250351763,9.110730620652102
Tesla Gigafactory Texas,DeepAR,12,10.035633815657073,206.62147084351707,14.37433375303068,0.9378812467957028,6.8813903444849265
