Modelo,Metrica,N_localidades,Media,Desvio_padrao_localidades,IC95_inferior,IC95_superior
Climatologia,MAE_wm2,10,12.07130923896371,2.047511000010999,10.901459470647506,13.306556729573224
LSTM,MAE_wm2,10,12.222059416239748,2.769039932120018,10.632750750600307,13.889841028680507
RNN,MAE_wm2,10,12.554374581878843,3.6402275284435066,10.360899404303456,14.666806434478502
DilatedRNN,MAE_wm2,10,13.422248780812001,4.27566716346141,10.974984063225012,15.96302847656362
DeepAR,MAE_wm2,10,14.181885480557977,3.044140118587259,12.433481587572464,15.964592575465746
XGBoost,MAE_wm2,10,14.573258637571062,3.4630608564606633,12.713806514897868,16.775934744713574
MLP,MAE_wm2,10,16.059420526543224,4.555748565823701,13.700895637637123,18.99281249636518
Sazonal ingenuo,MAE_wm2,10,16.942838685583922,6.741830864420011,13.367955328566312,21.283178716219435
DeepNPTS,MAE_wm2,10,17.7008815374506,4.392581938033047,15.254291003881729,20.422990923806903
Persistencia,MAE_wm2,10,35.08767138384212,5.659896334606839,31.687897579743943,38.368635920698914
