data_alvo,Localidade,Modelo,seed,y_wm2,y_pred_wm2
2024-07-31,Tesla Gigafactory Texas,Persistencia,-1,269.8413978494624,297.1555555555555
2024-07-31,Hyundai Metaplant Georgia,Persistencia,-1,245.24059139784944,283.19305555555553
2024-07-31,Rivian Normal,Persistencia,-1,270.79569892473114,280.38194444444446
2024-07-31,Tesla Fremont Factory,Persistencia,-1,339.43817204301075,351.7125
2024-07-31,Lucid AMP 1 Casa Grande,Persistencia,-1,324.9180107526882,331.58194444444445
2024-07-31,GM Factory Zero,Persistencia,-1,255.46505376344084,248.35
2024-07-31,Ford Rouge Electric Vehicle Center,Persistencia,-1,255.49193548387098,250.30694444444444
2024-07-31,BMW San Luis Potosi,Persistencia,-1,240.14650537634407,274.2277777777778
2024-08-31,BYD Camacari,Persistencia,-1,224.1491935483871,203.36559139784944
2024-08-31,Tesla Gigafactory Nevada,Persistencia,-1,303.0147849462366,329.9233870967742
2024-08-31,Tesla Gigafactory Texas,Persistencia,-1,286.88440860215053,269.8413978494624
2024-08-31,Hyundai Metaplant Georgia,Persistencia,-1,234.99193548387098,245.24059139784944
2024-08-31,Rivian Normal,Persistencia,-1,251.71774193548387,270.79569892473114
2024-08-31,Tesla Fremont Factory,Persistencia,-1,300.78629032258067,339.43817204301075
2024-08-31,Lucid AMP 1 Casa Grande,Persistencia,-1,283.14516129032256,324.9180107526882
2024-08-31,GM Factory Zero,Persistencia,-1,228.71236559139783,255.46505376344084
2024-08-31,Ford Rouge Electric Vehicle Center,Persistencia,-1,227.54973118279568,255.49193548387098
2024-08-31,BMW San Luis Potosi,Persistencia,-1,270.51747311827955,240.14650537634407
2024-09-30,BYD Camacari,Persistencia,-1,248.18888888888887,224.1491935483871
2024-09-30,Tesla Gigafactory Nevada,Persistencia,-1,247.60833333333332,303.0147849462366
2024-09-30,Tesla Gigafactory Texas,Persistencia,-1,242.84305555555554,286.88440860215053
2024-09-30,Hyundai Metaplant Georgia,Persistencia,-1,181.27916666666667,234.99193548387098
2024-09-30,Rivian Normal,Persistencia,-1,206.58333333333334,251.71774193548387
2024-09-30,Tesla Fremont Factory,Persistencia,-1,249.20416666666668,300.78629032258067
2024-09-30,Lucid AMP 1 Casa Grande,Persistencia,-1,274.7944444444445,283.14516129032256
2024-09-30,GM Factory Zero,Persistencia,-1,188.0097222222222,228.71236559139783
