Localidade,Modelo,seed,CRPS_wm2,Nivel_intervalo,PICP,PICP_percentual,MPIW_wm2
Rivian Normal,DeepNPTS,67,26.407046299802605,0.9,1.0,100.0,190.8104998995016
Tesla Fremont Factory,DeepNPTS,67,28.601221608771294,0.9,0.8333333333333334,83.33333333333334,218.4229346882597
Tesla Gigafactory Nevada,DeepNPTS,67,27.892217726063095,0.9,0.9166666666666666,91.66666666666666,220.5623716960785
Tesla Gigafactory Texas,DeepNPTS,67,19.77318813039075,0.9,0.9166666666666666,91.66666666666666,153.43115993290743
BMW San Luis Potosi,DeepNPTS,89,17.72423957896913,0.9,0.6666666666666666,66.66666666666666,66.93956368219834
BYD Camacari,DeepNPTS,89,16.343851533891183,0.9,0.6666666666666666,66.66666666666666,50.52890371789115
Ford Rouge Electric Vehicle Center,DeepNPTS,89,19.67268161935997,0.9,0.9166666666666666,91.66666666666666,102.44320188095058
GM Factory Zero,DeepNPTS,89,20.234907597558518,0.9,0.9166666666666666,91.66666666666666,98.32907751014443
Hyundai Metaplant Georgia,DeepNPTS,89,17.77280524573401,0.9,0.5833333333333334,58.333333333333336,63.66907773030035
Lucid AMP 1 Casa Grande,DeepNPTS,89,18.13855081011567,0.9,1.0,100.0,90.42880139803147
Rivian Normal,DeepNPTS,89,20.448935422681945,0.9,0.8333333333333334,83.33333333333334,106.5666203085846
Tesla Fremont Factory,DeepNPTS,89,21.88319778498128,0.9,0.8333333333333334,83.33333333333334,113.33939161127542
Tesla Gigafactory Nevada,DeepNPTS,89,22.48925696250627,0.9,0.9166666666666666,91.66666666666666,119.4276865132842
Tesla Gigafactory Texas,DeepNPTS,89,19.457834011361285,0.9,0.9166666666666666,91.66666666666666,87.13547197084436
BMW San Luis Potosi,DeepAR,11,16.181763383106762,0.9,0.5833333333333334,58.333333333333336,43.57372266788889
BYD Camacari,DeepAR,11,17.39656960623875,0.9,0.4166666666666667,41.66666666666667,14.836697734721193
Ford Rouge Electric Vehicle Center,DeepAR,11,12.583057843547593,0.9,0.3333333333333333,33.33333333333333,17.30123211092042
GM Factory Zero,DeepAR,11,13.01335457297723,0.9,0.4166666666666667,41.66666666666667,21.592650047016786
Hyundai Metaplant Georgia,DeepAR,11,9.84166895455885,0.9,0.5833333333333334,58.333333333333336,31.71152691889753
Lucid AMP 1 Casa Grande,DeepAR,11,7.724885988107498,0.9,0.5,50.0,16.048719826512492
Rivian Normal,DeepAR,11,14.572282561011056,0.9,0.16666666666666666,16.666666666666664,19.300914628817132
Tesla Fremont Factory,DeepAR,11,6.802266690806591,0.9,0.75,75.0,23.050260830485968
Tesla Gigafactory Nevada,DeepAR,11,13.937863804501779,0.9,0.4166666666666667,41.66666666666667,27.23156991847134
Tesla Gigafactory Texas,DeepAR,11,6.683432800552107,0.9,0.8333333333333334,83.33333333333334,40.52161998542184
BMW San Luis Potosi,DeepAR,23,18.02927413801626,0.9,0.5,50.0,43.75092821003522
BYD Camacari,DeepAR,23,11.942390067109885,0.9,0.5,50.0,26.25710540307467
Ford Rouge Electric Vehicle Center,DeepAR,23,12.923184955504986,0.9,0.25,25.0,14.788227372262929
GM Factory Zero,DeepAR,23,13.449188431801643,0.9,0.25,25.0,15.498430298052549
Hyundai Metaplant Georgia,DeepAR,23,12.908538669711055,0.9,0.5,50.0,33.04022603947018
Lucid AMP 1 Casa Grande,DeepAR,23,11.829338514647596,0.9,0.5,50.0,24.57955188323196
Rivian Normal,DeepAR,23,15.122961672401367,0.9,0.5,50.0,28.936775381271232
Tesla Fremont Factory,DeepAR,23,9.872534890673,0.9,0.6666666666666666,66.66666666666666,31.03713493183955
Tesla Gigafactory Nevada,DeepAR,23,12.450515818116408,0.9,0.5,50.0,26.900868949341923
Tesla Gigafactory Texas,DeepAR,23,10.355489135067314,0.9,0.75,75.0,47.95134373639174
BMW San Luis Potosi,DeepAR,42,12.92627076015897,0.9,0.6666666666666666,66.66666666666666,33.56023347529817
BYD Camacari,DeepAR,42,15.47351901979179,0.9,0.4166666666666667,41.66666666666667,29.872297600661195
Ford Rouge Electric Vehicle Center,DeepAR,42,12.720937461104391,0.9,0.16666666666666666,16.666666666666664,17.12767034995861
GM Factory Zero,DeepAR,42,13.518016266557291,0.9,0.25,25.0,17.751672468844856
Hyundai Metaplant Georgia,DeepAR,42,11.223495988763695,0.9,0.4166666666666667,41.66666666666667,22.57650810140464
Lucid AMP 1 Casa Grande,DeepAR,42,9.325826829066157,0.9,0.3333333333333333,33.33333333333333,18.855269251001058
Rivian Normal,DeepAR,42,18.532592972321336,0.9,0.3333333333333333,33.33333333333333,33.22250559576038
Tesla Fremont Factory,DeepAR,42,13.472852084608988,0.9,0.3333333333333333,33.33333333333333,29.263559831685296
Tesla Gigafactory Nevada,DeepAR,42,14.923133352538096,0.9,0.3333333333333333,33.33333333333333,31.244279545993077
Tesla Gigafactory Texas,DeepAR,42,8.409688690656257,0.9,0.6666666666666666,66.66666666666666,34.76032929883416
BMW San Luis Potosi,DeepAR,67,21.40733780599699,0.9,0.3333333333333333,33.33333333333333,32.318083344234516
BYD Camacari,DeepAR,67,14.592025366026284,0.9,0.5833333333333334,58.333333333333336,27.26860194061526
Ford Rouge Electric Vehicle Center,DeepAR,67,9.998495062313312,0.9,0.4166666666666667,41.66666666666667,15.342315873624289
GM Factory Zero,DeepAR,67,10.862190321749155,0.9,0.25,25.0,15.57702644722099
Hyundai Metaplant Georgia,DeepAR,67,9.412003340437954,0.9,0.4166666666666667,41.66666666666667,22.757599455674008
Lucid AMP 1 Casa Grande,DeepAR,67,7.284923766373512,0.9,0.5833333333333334,58.333333333333336,17.971647286241822
Rivian Normal,DeepAR,67,13.635521085626884,0.9,0.25,25.0,20.321069624943167
Tesla Fremont Factory,DeepAR,67,10.48335900667842,0.9,0.5833333333333334,58.333333333333336,22.943339411849994
Tesla Gigafactory Nevada,DeepAR,67,12.074804373489238,0.9,0.4166666666666667,41.66666666666667,23.988881731522895
Tesla Gigafactory Texas,DeepAR,67,8.650001084636548,0.9,0.75,75.0,29.385802128416795
BMW San Luis Potosi,DeepAR,89,14.432529271372454,0.9,0.5833333333333334,58.333333333333336,41.89233416420512
BYD Camacari,DeepAR,89,11.12511047051783,0.9,0.5833333333333334,58.333333333333336,39.09932484800184
Ford Rouge Electric Vehicle Center,DeepAR,89,12.687026688492468,0.9,0.25,25.0,14.934533644016502
GM Factory Zero,DeepAR,89,14.146403713155031,0.9,0.16666666666666666,16.666666666666664,15.089314786555276
Hyundai Metaplant Georgia,DeepAR,89,14.495336706822817,0.9,0.25,25.0,21.373350207120343
Lucid AMP 1 Casa Grande,DeepAR,89,9.310125991498193,0.9,0.4166666666666667,41.66666666666667,15.530884467573875
Rivian Normal,DeepAR,89,16.124166934568,0.9,0.16666666666666666,16.666666666666664,23.903564500274452
Tesla Fremont Factory,DeepAR,89,13.505644382819069,0.9,0.25,25.0,19.14304977716531
Tesla Gigafactory Nevada,DeepAR,89,13.476797138002476,0.9,0.3333333333333333,33.33333333333333,17.546940058812144
Tesla Gigafactory Texas,DeepAR,89,9.896133393644261,0.9,0.5833333333333334,58.333333333333336,31.09667584845948
