Localidade,Modelo,seed,CRPS_wm2,Nivel_intervalo,PICP,PICP_percentual,MPIW_wm2
BMW San Luis Potosi,DeepNPTS,11,23.968756902843186,0.9,0.5,50.0,72.48519337380897
BYD Camacari,DeepNPTS,11,16.786082248042714,0.9,0.5,50.0,52.85323196281029
Ford Rouge Electric Vehicle Center,DeepNPTS,11,16.240494161300038,0.9,0.6666666666666666,66.66666666666666,99.83600780330484
GM Factory Zero,DeepNPTS,11,16.881655439424122,0.9,0.6666666666666666,66.66666666666666,105.79370986805672
Hyundai Metaplant Georgia,DeepNPTS,11,18.394950359453627,0.9,0.5833333333333334,58.333333333333336,69.49169656054507
Lucid AMP 1 Casa Grande,DeepNPTS,11,14.747715921135677,0.9,0.6666666666666666,66.66666666666666,101.47390866340812
Rivian Normal,DeepNPTS,11,20.578964198106586,0.9,0.75,75.0,105.27475714623199
Tesla Fremont Factory,DeepNPTS,11,21.30711188372145,0.9,0.6666666666666666,66.66666666666666,120.63419032794796
Tesla Gigafactory Nevada,DeepNPTS,11,21.30190931995609,0.9,0.5833333333333334,58.333333333333336,121.41213361872674
Tesla Gigafactory Texas,DeepNPTS,11,15.954043895990205,0.9,0.6666666666666666,66.66666666666666,80.8415773329876
BMW San Luis Potosi,DeepNPTS,23,17.508738541490583,0.9,1.0,100.0,132.5039636108049
BYD Camacari,DeepNPTS,23,14.432201291574364,0.9,0.9166666666666666,91.66666666666666,95.29751063449687
Ford Rouge Electric Vehicle Center,DeepNPTS,23,18.043876062972643,0.9,0.9166666666666666,91.66666666666666,182.14884036391126
GM Factory Zero,DeepNPTS,23,18.851930211017393,0.9,0.9166666666666666,91.66666666666666,183.48317307847415
Hyundai Metaplant Georgia,DeepNPTS,23,14.862613401494885,0.9,0.9166666666666666,91.66666666666666,122.02185136332145
Lucid AMP 1 Casa Grande,DeepNPTS,23,16.901489683764684,0.9,1.0,100.0,176.97819309372164
Rivian Normal,DeepNPTS,23,20.274730983836854,0.9,1.0,100.0,182.14459020273944
Tesla Fremont Factory,DeepNPTS,23,20.895331331940408,0.9,0.9166666666666666,91.66666666666666,210.69795487015554
Tesla Gigafactory Nevada,DeepNPTS,23,20.460983570365382,0.9,1.0,100.0,208.908249794417
Tesla Gigafactory Texas,DeepNPTS,23,17.859882632047288,0.9,0.9166666666666666,91.66666666666666,144.75957349447478
BMW San Luis Potosi,DeepNPTS,42,20.519362224496845,0.9,0.6666666666666666,66.66666666666666,68.90591541133522
BYD Camacari,DeepNPTS,42,15.375360960935149,0.9,0.75,75.0,57.805065360616254
Ford Rouge Electric Vehicle Center,DeepNPTS,42,12.424684641260518,0.9,0.9166666666666666,91.66666666666666,117.10201671267863
GM Factory Zero,DeepNPTS,42,13.604129790578414,0.9,0.9166666666666666,91.66666666666666,110.8417379369652
Hyundai Metaplant Georgia,DeepNPTS,42,12.709163162126762,0.9,0.75,75.0,71.1372205805147
Lucid AMP 1 Casa Grande,DeepNPTS,42,8.985381888838491,0.9,1.0,100.0,107.06859976365968
Rivian Normal,DeepNPTS,42,16.596778024232634,0.9,1.0,100.0,116.68487194853795
Tesla Fremont Factory,DeepNPTS,42,13.056222936650045,0.9,0.9166666666666666,91.66666666666666,127.96559989777747
Tesla Gigafactory Nevada,DeepNPTS,42,12.836688822226833,0.9,1.0,100.0,123.18911589378381
Tesla Gigafactory Texas,DeepNPTS,42,15.148669662855236,0.9,0.9166666666666666,91.66666666666666,95.10773766513476
BMW San Luis Potosi,DeepNPTS,67,20.489093159431395,0.9,0.9166666666666666,91.66666666666666,132.1890916429663
BYD Camacari,DeepNPTS,67,15.70423632841325,0.9,0.8333333333333334,83.33333333333334,97.82395649931685
Ford Rouge Electric Vehicle Center,DeepNPTS,67,23.37507641132385,0.9,0.9166666666666666,91.66666666666666,191.21194229417105
GM Factory Zero,DeepNPTS,67,23.783508485923818,0.9,0.9166666666666666,91.66666666666666,196.07638581921364
Hyundai Metaplant Georgia,DeepNPTS,67,19.52730204238527,0.9,0.9166666666666666,91.66666666666666,137.33787317336024
Lucid AMP 1 Casa Grande,DeepNPTS,67,21.62957320411843,0.9,1.0,100.0,192.71226073333295
