Modelo,N_localidades,N_sementes,MAE_media_wm2,MAE_dp_sementes_wm2,MSE_media_wm4,RMSE_media_wm2,R2_medio,nRMSE_medio_percentual
Climatologia,10,1,12.07130923896371,0.0,241.22540014847436,15.32012843278035,0.9313179655915551,7.6397069559131054
LSTM,10,5,12.222059416239748,0.2025936078105603,237.69453268468942,15.057064569266112,0.9194465544951729,7.392876637733617
RNN,10,5,12.554374581878843,0.4931336545193984,262.1210855875223,15.591255618641444,0.9101072288083429,7.701236015508161
DilatedRNN,10,5,13.422248780812001,0.8310425937656533,286.63280767453307,16.198252820966022,0.8977167791679171,7.9304778950081385
DeepAR,10,5,14.181885480557977,0.8996223183995531,336.8810381370075,17.935949599076462,0.8918597234946594,8.77933788682073
XGBoost,10,5,14.573258637571062,0.13562368936563943,333.7777919869035,17.929645783935744,0.892092702167542,8.778186888812556
MLP,10,5,16.059420526543224,0.4557451265988701,418.4352350789221,19.768970823664027,0.8745010524322435,9.697330321795194
Sazonal ingenuo,10,1,16.942838685583922,0.0,496.8592302542188,21.372907762239926,0.8291340345363947,10.375935989105349
DeepNPTS,10,5,17.7008815374506,9.222909794146334,540.8561863832649,22.807792497331427,0.8469057522134392,11.330237770450841
Persistencia,10,1,35.08767138384212,0.0,1808.7415297503117,42.167197482566266,0.5762715080385006,20.887033447402295
