data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,93.5994623655914,0.10978927757430407,112.31408403266533
2024-02-29,140.06896551724137,0.2782517046791721,158.6305112520161
2024-03-31,192.7016129032258,0.48171050630881207,214.56871029000945
2024-04-30,278.4597222222222,0.647875043902115,260.2533643944314
2024-05-31,338.80779569892474,0.7888462282493006,299.011452545314
2024-06-30,351.66805555555555,0.9047709493337438,330.88336012319076
2024-07-31,329.9233870967742,0.9042540269841591,330.74123943317073
2024-08-31,303.0147849462366,0.7343889627184774,284.0391764189994
2024-09-30,247.60833333333332,0.6002020950088535,247.14634281286493
2024-10-31,177.8709677419355,0.43915342422151576,202.86822592065397
2024-11-30,117.06805555555555,0.2265954240297142,144.42832739274155
2024-12-31,95.06854838709677,0.06529406137339619,100.0807363467998
