data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,93.5994623655914,0.49052063,216.99093160476122
2024-02-29,140.06896551724137,0.4925481,217.5483598371614
2024-03-31,192.7016129032258,0.49314815,217.71333257063796
2024-04-30,278.4597222222222,0.4925155,217.5393958871056
2024-05-31,338.80779569892474,0.49060464,217.0140297539452
2024-06-30,351.66805555555555,0.48828015,216.3749427224079
2024-07-31,329.9233870967742,0.4863153,215.83473772859756
2024-08-31,303.0147849462366,0.48499843,215.47268099997288
2024-09-30,247.60833333333332,0.4842545,215.2681488964146
2024-10-31,177.8709677419355,0.48430037,215.28075906015854
2024-11-30,117.06805555555555,0.4854292,215.5911132980592
2024-12-31,95.06854838709677,0.48761624,216.19241080705785
