data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,183.4516129032258,0.5339894,239.17008283766367
2024-02-29,230.89511494252872,0.5339894,239.17008283766367
2024-03-31,295.6760752688172,0.5339894,239.17008283766367
2024-04-30,316.1097222222222,0.5339894,239.17008283766367
2024-05-31,320.3938172043011,0.5339894,239.17008283766367
2024-06-30,274.2277777777778,0.5339894,239.17008283766367
2024-07-31,240.14650537634407,0.5339894,239.17008283766367
2024-08-31,270.51747311827955,0.5339894,239.17008283766367
2024-09-30,214.35277777777776,0.5339894,239.17008283766367
2024-10-31,225.2016129032258,0.5339894,239.17008283766367
2024-11-30,215.38194444444443,0.5339894,239.17008283766367
2024-12-31,187.47311827956986,0.5339894,239.17008283766367
