data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,183.4516129032258,0.49001807,230.55766556091527
2024-02-29,230.89511494252872,0.5055192,233.5937849827191
2024-03-31,295.6760752688172,0.5252972,237.46759065721304
2024-04-30,316.1097222222222,0.5416938,240.67909487392956
2024-05-31,320.3938172043011,0.5416938,240.67909487392956
2024-06-30,274.2277777777778,0.5416938,240.67909487392956
2024-07-31,240.14650537634407,0.5218513,236.79265747820176
2024-08-31,270.51747311827955,0.4840075,229.38041132332017
2024-09-30,214.35277777777776,0.50471115,233.43551488589213
2024-10-31,225.2016129032258,0.49264342,231.0718770151337
2024-11-30,215.38194444444443,0.5024921,233.0008762707954
2024-12-31,187.47311827956986,0.5044786,233.389961303402
