tarefa,resolucao,tipo_horizonte,horizonte,metrica,N_localidades,diferenca_media,diferenca_mediana,vitorias_timesnet,inferencia
monthly_6,mensal,cumulativo,1,MAE_wm2,2,-33.090922723562564,-33.090922723562564,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,1,R2,2,2.7615828149666086,2.7615828149666086,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,1,RMSE_wm2,2,-48.10035817739026,-48.10035817739026,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,1,nRMSE,2,-0.21287603920022222,-0.21287603920022222,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,3,MAE_wm2,2,-55.78483799462085,-55.78483799462085,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,3,R2,2,4.0457449009206154,4.0457449009206154,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,3,RMSE_wm2,2,-61.18851193381143,-61.18851193381143,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,3,nRMSE,2,-0.25206379415965174,-0.25206379415965174,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,6,MAE_wm2,2,-51.74165974815463,-51.74165974815463,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,6,R2,2,3.3241984413604007,3.3241984413604007,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,6,RMSE_wm2,2,-59.752801995637356,-59.752801995637356,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,cumulativo,6,nRMSE,2,-0.24633058282622933,-0.24633058282622933,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,1,MAE_wm2,2,-33.090922723562564,-33.090922723562564,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,1,R2,2,2.7615828149666086,2.7615828149666086,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,1,RMSE_wm2,2,-48.10035817739026,-48.10035817739026,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,1,nRMSE,2,-0.21287603920022222,-0.21287603920022222,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,3,MAE_wm2,2,-50.09524220461685,-50.09524220461685,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,3,R2,2,3.712865371111332,3.712865371111332,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,3,RMSE_wm2,2,-45.89020290285398,-45.89020290285398,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,3,nRMSE,2,-0.1796687088097627,-0.1796687088097627,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,6,MAE_wm2,2,-26.61913451595009,-26.61913451595009,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,6,R2,2,1.717655566690836,1.717655566690836,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,6,RMSE_wm2,2,-43.022688600535844,-43.022688600535844,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
monthly_6,mensal,lead_exato,6,nRMSE,2,-0.1821182160168558,-0.1821182160168558,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
