tarefa,resolucao,particao,modelo,tipo_estimativa,semente,localidade,tipo_horizonte,horizonte,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,Tesla Gigafactory Nevada,cumulativo,1,3,3,11.885468165079752,12.084292295062056,0.04958886530511041,0.9877312298381877
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,Tesla Gigafactory Nevada,lead_exato,1,3,3,11.885468165079752,12.084292295062056,0.04958886530511041,0.9877312298381877
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,Tesla Gigafactory Nevada,cumulativo,3,3,9,15.178500917222765,16.85925174013053,0.06928530486083906,0.9554644435425919
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,Tesla Gigafactory Nevada,lead_exato,3,3,3,15.900325775146484,17.373942289389884,0.06935748456832184,0.897089713309298
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,Tesla Gigafactory Nevada,cumulativo,6,3,18,13.841614617241753,16.185397910296786,0.06712214082364765,0.9615119477837238
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,Tesla Gigafactory Nevada,lead_exato,6,3,3,11.190760930379232,15.121539263942886,0.06980578787687344,0.9749353228559254
monthly_6,mensal,validacao_2023,XGBoost,semente,11.0,BYD Camacari,cumulativo,1,3,3,29.992124583664765,32.09750489179531,0.14073436337169132,0.027114682925689415
monthly_6,mensal,validacao_2023,XGBoost,semente,11.0,BYD Camacari,lead_exato,1,3,3,29.992124583664765,32.09750489179531,0.14073436337169132,0.027114682925689415
monthly_6,mensal,validacao_2023,XGBoost,semente,11.0,BYD Camacari,cumulativo,3,3,9,34.05217474461233,40.77015854398765,0.18463234612560184,-0.05686306858547341
monthly_6,mensal,validacao_2023,XGBoost,semente,11.0,BYD Camacari,lead_exato,3,3,3,24.050695097449534,31.772488757152676,0.14643796029953313,-0.07257277263253936
