data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2023-10-26,0.4881889763779528,0.51371974,193.29166666666663,202.61727257321274
2023-10-27,0.5275590551181102,0.5116012,206.45833333333331,201.81744002302486
2023-10-28,0.5196850393700787,0.5244501,206.125,206.66844030469653
2023-10-29,0.5354330708661418,0.52372205,210.20833333333331,206.39356326560176
2023-10-30,0.5196850393700787,0.52576274,206.08333333333331,207.16400658835965
2023-10-31,0.5275590551181102,0.5194817,206.95833333333331,204.79266048719484
2023-11-01,0.5118110236220472,0.5296187,200.45833333333331,208.61978599180776
2023-11-02,0.5118110236220472,0.52080613,203.20833333333331,205.29268241177
2023-11-03,0.5039370078740157,0.5234774,200.125,206.30118747800586
2023-11-04,0.5039370078740157,0.517533,198.375,204.0569396590193
2023-11-05,0.4645669291338583,0.5172642,185.41666666666663,203.9554500604669
2023-11-06,0.4881889763779528,0.5046885,191.75,199.2076046168804
2023-11-07,0.4881889763779528,0.50196487,193.79166666666663,198.17931920538342
2023-11-08,0.48031496062992124,0.4956184,190.25,195.78326455006993
2023-11-09,0.48031496062992124,0.49785462,191.20833333333331,196.6275297415753
2023-11-10,0.48031496062992124,0.4934597,189.79166666666663,194.9682648181915
2023-11-11,0.4566929133858268,0.49080217,182.45833333333331,193.96493549644944
2023-11-12,0.4645669291338583,0.4758982,183.95833333333331,188.33806861191985
2023-11-13,0.44881889763779526,0.47537962,178.04166666666666,188.14227919901407
2023-11-14,0.3779527559055118,0.46637887,152.25,184.7441216483712
2023-11-15,0.2677165354330709,0.44330758,109.58333333333331,176.0337487235665
2023-11-16,0.2047244094488189,0.39264768,85.83333333333333,156.90752755353844
2023-11-17,0.3700787401574803,0.3435037,148.04166666666666,138.35363120834032
2023-11-18,0.2755905511811024,0.3444153,114.125,138.69779571394125
2023-11-19,0.4251968503937008,0.3427338,168.58333333333334,138.06295689692098
2023-11-20,0.4330708661417323,0.3786073,170.91666666666666,151.606698817263
2023-11-21,0.4330708661417323,0.38498265,172.08333333333334,154.01365629086888
2023-11-22,0.4330708661417323,0.40327814,172.83333333333334,160.9209686083098
2023-11-23,0.2992125984251969,0.39833134,120.16666666666669,159.05334621419507
2023-11-24,0.3937007874015748,0.38522828,156.66666666666666,154.10639213025567
2023-11-25,0.4094488188976378,0.36930108,163.08333333333334,148.09321217735607
