data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2,ghi_previsto_rnn_normalizado,ghi_previsto_rnn_wm2,ghi_previsto_lstm_normalizado,ghi_previsto_lstm_wm2
2023-10-26,0.4881889763779528,0.4881889763779528,193.29166666666663,0.49269032,194.67779303590453,0.5293581007253034,208.5214062779989,0.509348,200.9667501573761,0.51371974,202.61727257321274
2023-10-27,0.5275590551181102,0.5275590551181102,206.45833333333331,0.5061859,199.7729309350252,0.5234842342613477,206.30377694341962,0.49767825,196.56094266350067,0.5116012,201.81744002302486
2023-10-28,0.5196850393700787,0.5196850393700787,206.125,0.51013255,201.2629602650801,0.5334065294948978,210.04985682305283,0.5035488,198.77732022354996,0.5244501,206.66844030469653
2023-10-29,0.5354330708661418,0.5354330708661418,210.20833333333331,0.5041649,199.00991368045408,0.5326085426485042,209.74858353908732,0.50626594,199.80315278222162,0.52372205,206.39356326560176
2023-10-30,0.5196850393700787,0.5196850393700787,206.08333333333331,0.49598172,195.92043303077418,0.5309352289581966,209.11683789959244,0.5011218,197.86103342225152,0.52576274,207.16400658835965
2023-10-31,0.5275590551181102,0.5275590551181102,206.95833333333331,0.48662576,192.38816743964946,0.5190972147261298,204.6474942763942,0.49873674,196.96056639651454,0.5194817,204.79266048719484
2023-11-01,0.5118110236220472,0.5118110236220472,200.45833333333331,0.49892235,197.03064147631324,0.5316736236282443,209.39561265398004,0.5062078,199.78121212621528,0.5296187,208.61978599180776
2023-11-02,0.5118110236220472,0.5118110236220472,203.20833333333331,0.5018034,198.1183579365412,0.5188428486771687,204.55146049432602,0.49547082,195.7275465354323,0.52080613,205.29268241177
2023-11-03,0.5039370078740157,0.5039370078740157,200.125,0.48571375,192.04384541139004,0.5234376089292695,206.28617393783793,0.49845505,196.85421609878537,0.5234774,206.30118747800586
2023-11-04,0.5039370078740157,0.5039370078740157,198.375,0.48861295,193.13841410726306,0.5164097004270886,203.6328456487437,0.49302962,194.80589271212614,0.517533,204.0569396590193
2023-11-05,0.4645669291338583,0.4645669291338583,185.41666666666663,0.5050604,199.34800231208402,0.5172396599453232,203.94618994852385,0.49282768,194.72965174540875,0.5172642,203.9554500604669
2023-11-06,0.4881889763779528,0.4881889763779528,191.75,0.47093862,186.46561927348372,0.5002091636926843,197.51646800914216,0.46545976,184.39712173491714,0.5046885,199.2076046168804
2023-11-07,0.4881889763779528,0.4881889763779528,193.79166666666663,0.47035915,186.24684280405438,0.5025252455686791,198.39088542074168,0.47349373,187.43027678256232,0.50196487,198.17931920538342
2023-11-08,0.48031496062992124,0.48031496062992124,190.25,0.48218855,190.71293646966416,0.4980326010249178,196.69472491194915,0.47504592,188.01629482706386,0.4956184,195.78326455006993
2023-11-09,0.48031496062992124,0.48031496062992124,191.20833333333331,0.46643168,184.76405951629079,0.49804473703898905,196.6993067629283,0.4659115,184.56767376760638,0.49785462,196.6275297415753
2023-11-10,0.48031496062992124,0.48031496062992124,189.79166666666663,0.46643168,184.76405951629079,0.4945471369674949,195.37881700260294,0.46221718,183.17291189109284,0.4934597,194.9682648181915
