tarefa,resolucao,carater_tarefa,tipo_horizonte,horizonte,posicao_MAE,modelo,tipo_estimativa,semente,N_sementes,limitacao_sementes,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
daily_30,diaria,principal,cumulativo,14,4,DilatedRNN,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,47180,44.10707568158231,54.94454674438558,0.2644149848131054,0.5374409559320934,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,14,5,Climatologia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,47180,45.63951531623066,58.74207089527607,0.2829483305369439,0.4763398155541111,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,14,6,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,47180,56.40733716085636,76.16276603009348,0.3669143229581967,0.1203248348778143,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,14,7,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,47180,58.91306868877994,78.15020913356531,0.3769361237845711,0.0775669186553584,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,30,1,DilatedRNN,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,101100,43.85200556596191,54.78948983722948,0.2637981890864715,0.540922020776498,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,30,2,XGBoost,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,101100,43.93346827238737,54.75689995566589,0.2637292421504166,0.5421781713357997,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,30,3,TimesNet,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,101100,44.07796953493703,55.16030359952482,0.2654712267226324,0.5308871031347489,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,30,4,LSTM,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,101100,44.18439172431025,55.63753533852245,0.2675698430259034,0.5298893132695806,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,30,5,Climatologia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,101100,45.51246925064223,58.61343341890402,0.282529174085438,0.4800848282335974,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,30,6,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,101100,58.77648693405909,78.04936081923762,0.3766550320061225,0.0809316572779152,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,30,7,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,101100,60.275877464673634,79.4686343893043,0.3825975336399509,0.0546710174686447,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,1,1,XGBoost,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,41.57914478392311,52.63139660718935,0.2542357726522105,0.5805067609594736,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,1,2,LSTM,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,42.0382116263398,53.56011314838322,0.2584019803950307,0.5670786450042552,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,1,3,TimesNet,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,43.19820704225918,54.42144377481121,0.2623140933549829,0.5465659145948323,media_aritmetica_das_metricas_por_localidade
