tarefa,resolucao,tipo_horizonte,horizonte,N_localidades,diferenca_MAE_media_wm2,diferenca_MAE_mediana_wm2,vitorias_locais_timesnet,vitorias_locais_dilatedrnn,empates_locais,unidade_pareamento,janelas_alvo_sobrepostas,inferencia
daily_30,diaria,cumulativo,1,10,-0.07420303052142074,-0.03752751357204076,5,5,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,lead_exato,1,10,-0.07420303052142074,-0.03752751357204076,5,5,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,10,-0.17182040341478136,-0.14605762752897533,5,5,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,lead_exato,3,10,-0.24344750342737456,-0.11841623843427485,6,4,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,10,-0.12748123688489094,-0.2321412437232766,6,4,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,lead_exato,7,10,-0.19245108091285273,-0.20525564166260324,6,4,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,14,10,-0.019674274855913866,-0.09355625545694934,6,4,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,lead_exato,14,10,-0.18759357892385822,-0.1855423195990369,5,5,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,30,10,0.22596396897511256,0.09214671372196293,4,6,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,lead_exato,30,10,1.1624722758699082,0.9662078770291771,1,9,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
hourly_72_extension,horaria,cumulativo,24,10,-1.6524048677078493,-1.7114491005473766,8,2,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
hourly_72_extension,horaria,lead_exato,24,10,0.0,0.0,0,0,10,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
hourly_72_extension,horaria,cumulativo,48,10,-0.2872443793595842,0.24904096221025185,4,6,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
hourly_72_extension,horaria,lead_exato,48,10,0.0,0.0,0,0,10,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
hourly_72_extension,horaria,cumulativo,72,10,-0.7520929232421103,0.1560729106206864,4,6,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
hourly_72_extension,horaria,lead_exato,72,10,0.0,0.0,0,0,10,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
monthly_1,mensal,cumulativo,1,10,0.9266592592989392,0.5515321875747521,4,6,0,localidade,False,descritiva;origens_mensais_de_um_passo_sem_sobreposicao_de_alvos
monthly_1,mensal,lead_exato,1,10,0.9266592592989392,0.5515321875747521,4,6,0,localidade,False,descritiva;origens_mensais_de_um_passo_sem_sobreposicao_de_alvos
monthly_6,mensal,cumulativo,1,10,-0.004845058504262134,0.050696106145496245,5,5,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
monthly_6,mensal,lead_exato,1,10,-0.004845058504262134,0.050696106145496245,5,5,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
monthly_6,mensal,cumulativo,3,10,0.23344558268193563,0.11904576032089853,4,6,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
monthly_6,mensal,lead_exato,3,10,0.5300095282483769,1.4259334759693942,3,7,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
monthly_6,mensal,cumulativo,6,10,0.14102173359579062,0.8527814195880117,3,7,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
monthly_6,mensal,lead_exato,6,10,-0.19189987184990526,0.07476375640032273,5,5,0,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
