tarefa,resolucao,limitacao_sementes,localidade,origem,horizonte,N_pontos,primeiro_alvo_local,ultimo_alvo_local,MAE_timesnet_wm2,MAE_dilatedrnn_wm2,ganho_timesnet_vs_dilatedrnn_wm2
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-24,1,1,2024-01-24 00:00:00,2024-01-24 00:00:00,2.4978441699674363,9.302978751986274,6.805134582018837
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-25,1,1,2024-01-25 00:00:00,2024-01-25 00:00:00,7.136540940769805,17.869345710202424,10.732804769432619
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-26,1,1,2024-01-26 00:00:00,2024-01-26 00:00:00,49.32411497884297,58.57125666808909,9.24714168924612
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-27,1,1,2024-01-27 00:00:00,2024-01-27 00:00:00,46.83285469565962,55.953972629950584,9.121117934290965
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-28,1,1,2024-01-28 00:00:00,2024-01-28 00:00:00,21.52462412567209,14.229195747178608,-7.295428378493483
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-29,1,1,2024-01-29 00:00:00,2024-01-29 00:00:00,7.840364067226261,3.6496226159962077,-4.190741451230053
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-30,1,1,2024-01-30 00:00:00,2024-01-30 00:00:00,43.84747458565485,32.623693114645505,-11.223781471009346
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-31,1,1,2024-01-31 00:00:00,2024-01-31 00:00:00,59.601646759220756,47.2730000334779,-12.328646725742857
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-01,1,1,2024-02-01 00:00:00,2024-02-01 00:00:00,31.618329062702486,19.71738991871152,-11.900939143990968
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-02,1,1,2024-02-02 00:00:00,2024-02-02 00:00:00,24.955969821716224,38.71392584865421,13.75795602693799
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-03,1,1,2024-02-03 00:00:00,2024-02-03 00:00:00,50.02958250332895,60.70457127411217,10.674988770783216
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-04,1,1,2024-02-04 00:00:00,2024-02-04 00:00:00,52.08261518989872,62.164698884500154,10.082083694601437
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-05,1,1,2024-02-05 00:00:00,2024-02-05 00:00:00,48.93507815652555,61.091032991356826,12.155954834831277
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-06,1,1,2024-02-06 00:00:00,2024-02-06 00:00:00,45.77703064151871,60.48253000216124,14.705499360642534
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-07,1,1,2024-02-07 00:00:00,2024-02-07 00:00:00,38.1474400286489,51.01819323652276,12.870753207873861
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-08,1,1,2024-02-08 00:00:00,2024-02-08 00:00:00,12.250459928392843,26.5295097994111,14.279049871018259
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-09,1,1,2024-02-09 00:00:00,2024-02-09 00:00:00,43.522571349616186,57.16655547764199,13.643984128025807
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-10,1,1,2024-02-10 00:00:00,2024-02-10 00:00:00,17.615597421065274,5.211958823024446,-12.403638598040828
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-11,1,1,2024-02-11 00:00:00,2024-02-11 00:00:00,41.538256041824894,30.332908536591674,-11.20534750523322
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-12,1,1,2024-02-12 00:00:00,2024-02-12 00:00:00,102.07430681444549,91.88033207198396,-10.193974742461535
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-13,1,1,2024-02-13 00:00:00,2024-02-13 00:00:00,57.18120199261949,47.254596822469296,-9.926605170150196
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-14,1,1,2024-02-14 00:00:00,2024-02-14 00:00:00,87.71637027843514,78.29602221358292,-9.42034806485222
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-15,1,1,2024-02-15 00:00:00,2024-02-15 00:00:00,68.53511841796976,57.989057012118195,-10.54606140585156
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-16,1,1,2024-02-16 00:00:00,2024-02-16 00:00:00,149.32584434849412,136.48460631520192,-12.8412380332922
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-17,1,1,2024-02-17 00:00:00,2024-02-17 00:00:00,80.36205036580114,62.17828245420614,-18.183767911594998
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-18,1,1,2024-02-18 00:00:00,2024-02-18 00:00:00,40.732789350823595,59.76440096088311,19.031611610059514
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-19,1,1,2024-02-19 00:00:00,2024-02-19 00:00:00,56.425325566789354,70.40897373991271,13.983648173123356
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-20,1,1,2024-02-20 00:00:00,2024-02-20 00:00:00,61.468869315964724,68.69903312387481,7.230163807910088
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-21,1,1,2024-02-21 00:00:00,2024-02-21 00:00:00,63.847371886885355,70.20648186292482,6.359109976039463
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-22,1,1,2024-02-22 00:00:00,2024-02-22 00:00:00,58.32980875789107,64.09784455672246,5.7680357988313915
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-23,1,1,2024-02-23 00:00:00,2024-02-23 00:00:00,8.842257429728221,20.111246899969814,11.268989470241593
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-24,1,1,2024-02-24 00:00:00,2024-02-24 00:00:00,3.952479257722729,18.0669106899592,14.114431432236472
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-25,1,1,2024-02-25 00:00:00,2024-02-25 00:00:00,40.1803997522411,56.258329735723066,16.077929983481965
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-26,1,1,2024-02-26 00:00:00,2024-02-26 00:00:00,41.74518529060168,53.6849794851675,11.93979419456582
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-27,1,1,2024-02-27 00:00:00,2024-02-27 00:00:00,42.00317568419513,51.55409871476195,9.550923030566821
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-28,1,1,2024-02-28 00:00:00,2024-02-28 00:00:00,26.29488236752303,36.5303491549858,10.23546678746277
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-02-29,1,1,2024-02-29 00:00:00,2024-02-29 00:00:00,1.6103969708103136,11.273487052911321,9.663090082101007
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-01,1,1,2024-03-01 00:00:00,2024-03-01 00:00:00,5.414509716166663,20.60336015706315,15.188850440896488
