tarefa,resolucao,tipo_horizonte,horizonte,modelo,N_sementes,sementes,limitacao_sementes,MAE_wm2_media,MAE_wm2_desvio_padrao,MAE_wm2_minimo,MAE_wm2_maximo,RMSE_wm2_media,RMSE_wm2_desvio_padrao,RMSE_wm2_minimo,RMSE_wm2_maximo,nRMSE_media,nRMSE_desvio_padrao,nRMSE_minimo,nRMSE_maximo,R2_media,R2_desvio_padrao,R2_minimo,R2_maximo
daily_30,diaria,cumulativo,1,DilatedRNN,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,43.5074056390569,0.6750403275329361,42.67313741776338,44.46533008636445,54.269872717097584,0.3472842569721276,53.79766550482411,54.71028130764451,0.2616587498418149,0.0016468623065667124,0.2595018011945348,0.2638668898574751,0.5524055638939872,0.006048579929603033,0.5450946781875645,0.5609880979310566
daily_30,diaria,lead_exato,1,DilatedRNN,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,43.5074056390569,0.6750403275329361,42.67313741776338,44.46533008636445,54.269872717097584,0.3472842569721276,53.79766550482411,54.71028130764451,0.2616587498418149,0.0016468623065667124,0.2595018011945348,0.2638668898574751,0.5524055638939872,0.006048579929603033,0.5450946781875645,0.5609880979310566
daily_30,diaria,cumulativo,1,LSTM,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,42.313470954035736,0.5525468096750701,41.77162623030587,43.0839330141103,53.92213095542077,0.385971065271744,53.34774208195004,54.34438151826813,0.26005177850318717,0.0016681680657829245,0.2576231063677309,0.2619930123680677,0.5611722212078712,0.006185968246280668,0.5539954289619939,0.5710073509719686
daily_30,diaria,lead_exato,1,LSTM,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,42.313470954035736,0.5525468096750701,41.77162623030587,43.0839330141103,53.92213095542077,0.385971065271744,53.34774208195004,54.34438151826813,0.26005177850318717,0.0016681680657829245,0.2576231063677309,0.2619930123680677,0.5611722212078712,0.006185968246280668,0.5539954289619939,0.5710073509719686
daily_30,diaria,cumulativo,1,TimesNet,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,43.54833069779804,0.846014742616127,42.65898049532903,44.8876706391501,54.91376894582245,0.261918221487675,54.642975658115446,55.30923550205264,0.26461309429306684,0.0013628847858798393,0.2633256711671209,0.2667610995587769,0.5393325109783388,0.003212012165638915,0.5339139201571591,0.5421399752647608
daily_30,diaria,lead_exato,1,TimesNet,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,43.54833069779804,0.846014742616127,42.65898049532903,44.8876706391501,54.91376894582245,0.261918221487675,54.642975658115446,55.30923550205264,0.26461309429306684,0.0013628847858798393,0.2633256711671209,0.2667610995587769,0.5393325109783388,0.003212012165638915,0.5339139201571591,0.5421399752647608
daily_30,diaria,cumulativo,1,XGBoost,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,41.667063315516636,0.12341169260769101,41.48047702295422,41.802797167263904,52.761227625716174,0.09349368438144413,52.67809345413273,52.91145736220543,0.2548513164930973,0.0005188971187890264,0.2543512293005108,0.2556408330915964,0.5784940979422043,0.0014337384001813403,0.5759837085709283,0.5794848728259783
daily_30,diaria,lead_exato,1,XGBoost,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,41.667063315516636,0.12341169260769101,41.48047702295422,41.802797167263904,52.761227625716174,0.09349368438144413,52.67809345413273,52.91145736220543,0.2548513164930973,0.0005188971187890264,0.2543512293005108,0.2556408330915964,0.5784940979422043,0.0014337384001813403,0.5759837085709283,0.5794848728259783
daily_30,diaria,cumulativo,3,DilatedRNN,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,44.01820349066544,0.6172711251491501,43.30584290485255,44.73989297557949,54.92445702689304,0.29015946230355,54.50291342770695,55.261310354626914,0.2646282281739665,0.0013791305078475874,0.2626696718485212,0.2663396775387522,0.5400324828411377,0.004629887591219486,0.5347466798547914,0.5472211621560614
daily_30,diaria,lead_exato,3,DilatedRNN,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,44.34599203610759,0.7034187447540285,43.35481176952823,45.06932051662456,55.33187624777901,0.2868585852230166,54.90650639978176,55.6215767394364,0.2664438511978612,0.0013414622434298892,0.264482698295406,0.2678636938006474,0.5314140699736921,0.004648273489738221,0.5262326372754378,0.5385371214756428
daily_30,diaria,cumulativo,3,LSTM,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,43.44751285844127,0.48307338732223676,42.758431557226686,43.99431593878848,55.09317710442831,0.36144247460905116,54.700604479945945,55.649687317608176,0.26538623372828185,0.0015455122758628002,0.2637735728999723,0.2677508126990703,0.5397332147498539,0.004866731866518527,0.5328120429479293,0.5456385946248303
daily_30,diaria,lead_exato,3,LSTM,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,44.27960588105084,0.3814924793748154,43.87764418147235,44.820282488580446,55.775690304846876,0.4336587434931509,55.44277027401903,56.50754492459538,0.2684388223706448,0.0019122587760902886,0.2669360987939915,0.2716437824967053,0.5258125644839937,0.006252780571654842,0.515025267289627,0.5306522403314793
daily_30,diaria,cumulativo,3,TimesNet,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,43.888627615399834,0.5439634375662223,43.19049567575141,44.55874075665805,55.224821051640994,0.15189704945525204,55.06731641892293,55.4575529629865,0.26597258695535636,0.0007958485752254343,0.2651217279787333,0.2671951334587896,0.531879257373271,0.0023621929054326494,0.528495044249955,0.5343522882938482
daily_30,diaria,lead_exato,3,TimesNet,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,44.10129895237467,0.4966711791265292,43.48364513461017,44.70868958327497,55.41945764655363,0.2268819469448342,55.18211909491664,55.78992543785049,0.26679823788932233,0.0011427158233946473,0.2656015439323745,0.2686658633958911,0.5261794446694321,0.003961091926962846,0.5195255114369158,0.5300659462621857
daily_30,diaria,cumulativo,3,XGBoost,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,43.16415713318989,0.07480115689825155,43.03980033863761,43.2294810339896,54.26050780350148,0.05251301610117725,54.20736222590499,54.33530403952356,0.26178699894136426,0.00023152796332196577,0.261529922441614,0.2621193778850197,0.5522426904211631,0.000982049225386986,0.5512969012565022,0.5534202719583743
daily_30,diaria,lead_exato,3,XGBoost,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,44.12864439344166,0.07367266689725492,44.04668589723983,44.23963790162024,55.15560553566388,0.10783523256779409,55.0266916980111,55.29555389066822,0.265893082166873,0.000519190369316643,0.2652572353467191,0.2665619817024976,0.5349447153394539,0.0015851310203755442,0.5332238652913672,0.5364402694214265
daily_30,diaria,cumulativo,7,DilatedRNN,5,11;23;42;67;89,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,44.29053342734268,0.5660740059001808,43.53557194775999,44.83278193608417,55.250577687210026,0.25844699402796434,54.844577660185465,55.47434099543669,0.2659497860689918,0.0012252216250892057,0.2640628045359415,0.2671268900010585,0.5332746431948163,0.004273989830865471,0.5302714591001233,0.5405940990122057
