tarefa,resolucao,tipo_horizonte,horizonte,localidade,MAE_dilatedrnn_wm2,MAE_timesnet_wm2,diferenca_MAE_timesnet_menos_dilatedrnn_wm2,vencedor_local_MAE,unidade_pareamento,janelas_alvo_sobrepostas,inferencia
daily_30,diaria,cumulativo,1,BMW San Luis Potosi,38.169528947028944,40.327823057095976,2.1582941100670325,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,BYD Camacari,43.187992284048335,42.985670574082015,-0.20232170996631993,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,Ford Rouge Electric Vehicle Center,51.54132769880541,51.66859438162765,0.1272666828222384,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,GM Factory Zero,52.47166144688114,52.831534644536674,0.3598731976555314,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,Hyundai Metaplant Georgia,52.40624457018287,52.97024241842691,0.5639978482440426,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,Lucid AMP 1 Casa Grande,27.536501830792208,27.23387097557435,-0.30263085521785626,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,Rivian Normal,53.090704492182994,52.59974638246247,-0.49095810972052334,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,Tesla Fremont Factory,30.035482051215556,27.830661932976977,-2.2048201182385796,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,Tesla Gigafactory Nevada,34.98962470436307,33.53593345721718,-1.4536912471458834,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,1,Tesla Gigafactory Texas,49.29503270230545,49.99799259859156,0.7029598962861101,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,BMW San Luis Potosi,38.76952591725339,41.050413376258746,2.2808874590053563,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,BYD Camacari,43.99663067101061,43.46283673020472,-0.5337939408058858,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,Ford Rouge Electric Vehicle Center,51.89344056902966,52.008844397285145,0.1154038282554879,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,GM Factory Zero,52.82833478755317,53.28167778213204,0.4533429945788754,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,Hyundai Metaplant Georgia,53.0932970063629,53.431421702590015,0.33812469622711205,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,Lucid AMP 1 Casa Grande,28.03414595617545,27.405828542394303,-0.6283174137811471,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,Rivian Normal,53.16131077699177,52.75379169367833,-0.40751908331343856,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,Tesla Fremont Factory,30.775425104290058,28.34783972164411,-2.4275853826459475,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,Tesla Gigafactory Nevada,35.22003143878361,34.094200652904874,-1.1258307858787333,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,3,Tesla Gigafactory Texas,50.276416649485576,50.49350024369608,0.21708359421050716,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,BMW San Luis Potosi,39.10516291483387,41.58160588759769,2.47644297276382,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,BYD Camacari,44.24674502266856,43.692511866527205,-0.5542331561413576,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,Ford Rouge Electric Vehicle Center,52.21128717291279,52.10341010638026,-0.10787706653253082,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,GM Factory Zero,53.048520912538365,53.5063525898107,0.4578316772723383,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,Hyundai Metaplant Georgia,53.3098750303039,53.79696806866501,0.4870930383611096,DilatedRNN,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,Lucid AMP 1 Casa Grande,28.275341551237453,27.703450582756155,-0.5718909684812985,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,Rivian Normal,53.23015718861857,52.87375176770455,-0.3564054209140224,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,Tesla Fremont Factory,30.905814130100097,28.6284718542495,-2.2773422758505966,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
daily_30,diaria,cumulativo,7,Tesla Gigafactory Nevada,35.552327685187244,34.362406941973084,-1.1899207432141594,TimesNet,localidade,True,descritiva;janelas_alvo_sobrepostas_nao_tratadas_como_iid
