data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2,ghi_previsto_rnn_normalizado,ghi_previsto_rnn_wm2,ghi_previsto_lstm_normalizado,ghi_previsto_lstm_wm2
2024-01-31,0.023622047244094488,0.023622047244094488,41.924731182795696,0.082048774,57.957092443861626,0.13173400732545815,71.38685302619498,0.12785268,70.33774213685143,0.089619935,60.003553122402195
2024-02-29,0.29133858267716534,0.29133858267716534,114.98132183908045,0.27061486,108.92590638370282,0.21585935063417472,94.12566571952247,0.23798431,100.10597308932412,0.11088205,65.75063563970929
2024-03-31,0.3700787401574803,0.3700787401574803,135.19220430107526,0.39473805,142.47600868888412,0.4032136059371988,144.76692495337224,0.43533745,153.44989892045254,0.31683862,121.42004157947274
2024-04-30,0.6141732283464567,0.6141732283464567,201.80972222222223,0.5410014,182.01052184126547,0.5906791518731465,195.43826569128532,0.59771657,197.34045739803045,0.5872818,194.51997854656747
2024-05-31,0.8031496062992126,0.8031496062992126,252.0793010752688,0.79031324,249.39872572018248,0.7579854589128048,240.6606282821426,0.7857694,248.17053998289725,0.80520815,253.42477054091492
2024-06-30,0.7952755905511811,0.7952755905511811,250.30694444444444,0.93016607,287.2004985876755,0.8921035703258512,276.9123271668959,0.86403555,269.3256296868366,0.8633207,269.1324111128953
2024-07-31,0.8110236220472441,0.8110236220472441,255.49193548387098,0.85947406,268.0926751095708,0.8308539061668785,260.3567377801269,0.8118897,255.23077535219352,0.8463629,264.54876645524917
2024-08-31,0.7086614173228346,0.7086614173228346,227.54973118279568,0.7321791,233.68525298579348,0.6680037448645708,216.33885720705987,0.6841617,220.7063072065966,0.69377977,223.30603387760908
2024-09-30,0.5669291338582677,0.5669291338582677,189.1625,0.57797927,192.00552711209886,0.5468833628704379,183.600403238415,0.5635661,188.1096909559702,0.57677007,191.67868435302725
2024-10-31,0.4094488188976378,0.4094488188976378,147.20833333333331,0.26111662,106.35856271390952,0.3327652140914817,125.72494873406187,0.3041839,117.99951054870172,0.32490498,123.60035199638601
2024-11-30,0.11023622047244094,0.11023622047244094,66.01666666666667,0.13425894,72.06933451684586,0.17823737959712016,83.95656662383135,0.14564684,75.14744753161558,0.19491285,88.46389346058382
2024-12-31,0.031496062992125984,0.031496062992125984,43.62231182795699,0.06952323,54.571477860549464,0.07932585103519284,57.22109509146927,0.06505573,53.36392621720029,0.09771098,62.190537498646336
