data,ghi_real_normalizado,ghi_previsto_rnn_normalizado,ghi_real_wm2,ghi_previsto_rnn_wm2
2024-01-31,0.023622047244094488,0.12785268,41.924731182795696,70.33774213685143
2024-02-29,0.29133858267716534,0.23798431,114.98132183908045,100.10597308932412
2024-03-31,0.3700787401574803,0.43533745,135.19220430107526,153.44989892045254
2024-04-30,0.6141732283464567,0.59771657,201.80972222222223,197.34045739803045
2024-05-31,0.8031496062992126,0.7857694,252.0793010752688,248.17053998289725
2024-06-30,0.7952755905511811,0.86403555,250.30694444444444,269.3256296868366
2024-07-31,0.8110236220472441,0.8118897,255.49193548387098,255.23077535219352
2024-08-31,0.7086614173228346,0.6841617,227.54973118279568,220.7063072065966
2024-09-30,0.5669291338582677,0.5635661,189.1625,188.1096909559702
2024-10-31,0.4094488188976378,0.3041839,147.20833333333331,117.99951054870172
2024-11-30,0.11023622047244094,0.14564684,66.01666666666667,75.14744753161558
2024-12-31,0.031496062992125984,0.06505573,43.62231182795699,53.36392621720029
