data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2,ghi_previsto_rnn_normalizado,ghi_previsto_rnn_wm2,ghi_previsto_lstm_normalizado,ghi_previsto_lstm_wm2
2024-01-31,0.06299212598425197,0.06299212598425197,66.06854838709677,0.032398444,58.076953237190324,0.11799359182935856,79.01106446621225,0.12194934,79.97852605752527,0.100961514,74.84550808563388
2024-02-29,0.4015748031496063,0.4015748031496063,147.78735632183907,0.1065005,76.20018452893623,0.21536882350782416,102.82624528804732,0.1980582,98.59256539127279,0.12600175,80.96962850280508
2024-03-31,0.5039370078740157,0.5039370078740157,173.11693548387098,0.4224861,153.4811728859861,0.45074493424446027,160.39247174738742,0.48306403,168.2967918945817,0.5112066,175.17966268267685
2024-04-30,0.5905511811023622,0.5905511811023622,193.85833333333332,0.67770875,215.9012915987161,0.6999206245361992,221.33367844251526,0.7952058,244.63768476464097,0.82660776,252.31770874039142
2024-05-31,0.8740157480314961,0.8740157480314961,264.4139784946237,0.66227204,212.12591660799842,0.7495135471338128,233.46268084679534,0.74393,232.0971014629449,0.8562751,259.5734813565849
2024-06-30,0.9448818897637795,0.9448818897637795,280.38194444444446,0.89723885,269.5920409850215,0.9253680641648792,276.4716375315935,0.88750976,267.21258606056693,0.88537645,266.6908398347516
2024-07-31,0.905511811023622,0.905511811023622,270.79569892473114,0.91511846,273.9648781607869,0.9331469373013517,278.3741261536173,0.8907165,267.9968599548103,0.8865161,266.9695631964232
2024-08-31,0.8267716535433071,0.8267716535433071,251.71774193548387,0.7406519,231.2953782034337,0.694220947364332,219.93970134860382,0.7008767,221.56751013122582,0.664381,212.64171518048934
2024-09-30,0.6377952755905512,0.6377952755905512,206.58333333333334,0.5823694,192.58402695586926,0.5479861530456471,184.17487687411156,0.57165194,189.96284657204023,0.5110132,175.1323584301337
2024-10-31,0.48031496062992124,0.48031496062992124,167.65994623655914,0.33757463,132.71427073517955,0.36692201724259654,139.89179728424747,0.40265825,148.63185287551374,0.41116753,150.71297759094068
2024-11-30,0.10236220472440945,0.10236220472440945,75.10833333333333,0.20292373,99.78253338359778,0.17391303745694325,92.68735243105223,0.18186006,94.6309654390219,0.24284068,109.54507058942991
2024-12-31,0.047244094488188976,0.047244094488188976,61.30510752688172,0.029339748,57.32888413369105,0.06716442435131839,66.57971212283636,0.08180796,70.16110061228235,0.10560251,75.98056232778015
