data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2023-10-26,0.08661417322834646,0.27180883,41.583333333333336,108.41323872407278
2023-10-27,0.2677165354330709,0.27893865,105.54166666666669,111.02750539779663
2023-10-28,0.1968503937007874,0.29695413,79.58333333333333,117.63317922751109
2023-10-29,0.03937007874015748,0.30180246,22.375,119.41090067227682
2023-10-30,0.36220472440944884,0.22809038,141.08333333333334,92.38313774267833
2023-10-31,0.15748031496062992,0.276118,67.20833333333333,109.99327043692271
2023-11-01,0.3543307086614173,0.2605669,138.0,104.29119308789572
2023-11-02,0.3937007874015748,0.313393,154.41666666666666,123.66076548894247
2023-11-03,0.2283464566929134,0.335358,93.70833333333331,131.71459774176282
2023-11-04,0.3700787401574803,0.2817616,144.625,112.06258177757263
2023-11-05,0.3700787401574803,0.33611834,143.75,131.99339151382446
2023-11-06,0.13385826771653545,0.30849627,57.25,121.86529775460562
2023-11-07,0.33858267716535434,0.27098167,132.66666666666666,108.10994545618694
2023-11-08,0.28346456692913385,0.33891523,114.125,133.01891724268597
2023-11-09,0.3464566929133858,0.2881654,135.20833333333334,114.4106431802114
2023-11-10,0.3779527559055118,0.28347215,147.04166666666666,112.68978854020438
2023-11-11,0.33858267716535434,0.27965748,134.29166666666666,111.29107713699341
2023-11-12,0.36220472440944884,0.28317925,141.20833333333334,112.58239289124808
2023-11-13,0.36220472440944884,0.28046694,141.83333333333334,111.58787945906322
2023-11-14,0.36220472440944884,0.28454822,143.0,113.08434844017029
2023-11-15,0.33858267716535434,0.28578427,134.20833333333334,113.53756725788116
2023-11-16,0.25196850393700787,0.28382972,100.54166666666669,112.82089690367381
2023-11-17,0.31496062992125984,0.27941084,124.54166666666669,111.20064099629721
2023-11-18,0.33858267716535434,0.27818748,132.04166666666666,110.75207730134329
2023-11-19,0.2992125984251969,0.28292364,118.33333333333331,112.48866756757101
2023-11-20,0.07874015748031496,0.27216348,37.0,108.54327619075775
2023-11-21,0.023622047244094488,0.25931975,17.916666666666668,103.83390923341116
2023-11-22,0.10236220472440945,0.18476942,47.458333333333336,76.49878799915314
2023-11-23,0.31496062992125984,0.19182473,123.29166666666669,79.08573587735495
2023-11-24,0.2047244094488189,0.22139092,84.20833333333333,89.92666989564896
2023-11-25,0.2283464566929134,0.221753,93.16666666666669,90.05943377812704
2023-11-26,0.023622047244094488,0.18826154,17.875,77.77923087279002
2023-11-27,0.2755905511811024,0.16510805,109.125,69.2896201213201
2023-11-28,0.3228346456692913,0.1982144,127.0,81.42861217260361
2023-11-29,0.30708661417322836,0.24591535,122.70833333333331,98.918962876002
2023-11-30,0.2440944881889764,0.26942295,99.29166666666669,107.53841439882915
2023-12-01,0.09448818897637795,0.26046968,42.458333333333336,104.25554752349854
2023-12-02,0.05511811023622047,0.22584288,30.20833333333333,91.55905534823737
2023-12-03,0.07874015748031496,0.1555822,38.125,65.7968083024025
2023-12-04,0.047244094488188976,0.19216359,24.875,79.20998175938925
2023-12-05,0.06299212598425197,0.1509968,32.25,64.1154948870341
2023-12-06,0.11811023622047244,0.15778482,52.333333333333336,66.60443385442099
2023-12-07,0.2677165354330709,0.18754424,107.25,77.516221900781
2023-12-08,0.1889763779527559,0.1900243,76.75,78.42557718356451
2023-12-09,0.2125984251968504,0.18166314,86.20833333333333,75.35981824000677
2023-12-10,0.015748031496062992,0.18365923,15.75,76.09171609083812
2023-12-11,0.2755905511811024,0.14067394,110.16666666666669,60.33044298489889
2023-12-12,0.2755905511811024,0.19451103,109.125,80.0707095861435
2023-12-13,0.2677165354330709,0.16191988,108.04166666666669,68.12062154213588
2023-12-14,0.2755905511811024,0.20786433,110.08333333333331,84.96692071358363
2023-12-15,0.18110236220472442,0.20425855,74.70833333333333,83.6448002854983
2023-12-16,0.023622047244094488,0.19415306,16.416666666666668,79.93945370117824
2023-12-17,0.0,0.13290726,9.5,57.482660710811615
2023-12-18,0.09448818897637795,0.12104799,42.583333333333336,53.13426246245702
2023-12-19,0.23622047244094488,0.1649974,94.95833333333331,69.24904624621074
2023-12-20,0.2283464566929134,0.18151079,91.58333333333331,75.30395676692328
2023-12-21,0.09448818897637795,0.17898978,42.66666666666666,74.37958707412085
2023-12-22,0.015748031496062992,0.16487989,14.458333333333334,69.20595904191336
2023-12-23,0.03937007874015748,0.124078736,22.25,54.24553642670314
2023-12-24,0.14173228346456693,0.12208463,60.54166666666666,53.51436525583267
2023-12-25,0.031496062992125984,0.1741825,19.25,72.61691828568777
2023-12-26,0.08661417322834646,0.12112429,40.5,53.16223964095116
2023-12-27,0.11811023622047244,0.16106862,53.04166666666666,67.8084933757782
2023-12-28,0.015748031496062992,0.16131434,15.083333333333334,67.89859076340994
2023-12-29,0.07874015748031496,0.11800037,37.083333333333336,52.016803522904716
2023-12-30,0.25984251968503935,0.15351301,103.70833333333331,65.03810524940491
2023-12-31,0.03937007874015748,0.16284174,23.33333333333333,68.45863699913025
2024-01-01,0.09448818897637795,0.08908535,42.833333333333336,41.41462758183479
2024-01-02,0.2440944881889764,0.15635858,97.33333333333331,66.08148107926051
2024-01-03,0.015748031496062992,0.19378605,15.791666666666666,79.80488677819571
2024-01-04,0.18110236220472442,0.14045116,75.375,60.24875978628795
2024-01-05,0.12598425196850394,0.19832987,55.91666666666666,81.47095084190369
2024-01-06,0.031496062992125984,0.19081642,19.45833333333333,78.71601969003677
2024-01-07,0.03937007874015748,0.10937176,23.166666666666668,48.85297829906146
2024-01-08,0.047244094488188976,0.11861137,26.08333333333333,52.24083676934242
2024-01-09,0.023622047244094488,0.10031377,17.083333333333332,45.5317148566246
2024-01-10,0.023622047244094488,0.08686283,18.125,40.59970517953237
2024-01-11,0.29133858267716534,0.09497067,114.58333333333331,43.572580218315125
2024-01-12,0.07874015748031496,0.15491903,38.125,65.5536437034607
2024-01-13,0.1968503937007874,0.12954037,80.0,56.2481352686882
2024-01-14,0.23622047244094488,0.18665862,95.625,77.19149430592856
2024-01-15,0.2283464566929134,0.16658872,92.75,69.83253200848898
2024-01-16,0.33858267716535434,0.17979203,132.95833333333334,74.67374493678412
2024-01-17,0.2677165354330709,0.23316197,107.625,94.24272269010544
2024-01-18,0.23622047244094488,0.20579445,96.70833333333331,84.20796632766724
2024-01-19,0.33070866141732286,0.2349915,129.125,94.91355210542679
2024-01-20,0.3543307086614173,0.29063082,138.91666666666666,115.31463305155437
