fase,modelo,semente,epoca,mse_treino_normalizado,mse_validacao_normalizado
selecao_epocas,DilatedRNN,42,1,0.16980963945388794,0.16121080186631945
refit_epocas_fixas,DilatedRNN,42,1,0.14720933139324188,0.14720933139324188
