tarefa,resolucao,particao,modelo,tipo_estimativa,semente,localidade,tipo_horizonte,horizonte,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,BMW San Luis Potosi,cumulativo,72,3,216,177.3090415631326,313.3443179978204,1.4441370833961893,-0.19191415296008696
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,BMW San Luis Potosi,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,24,3,72,42.333333333333336,83.27347850439672,0.3269811824675682,0.9332964562851278
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,48,3,144,58.39930555555556,128.25548910713766,0.5375475640377742,0.8311183296917746
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,72,3,216,62.06481481481482,131.26448773655707,0.5586218114509034,0.8175759338989887
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,cumulativo,24,3,72,36.15277777777778,89.54119163826222,0.3515919503697478,0.9228774761022016
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,cumulativo,48,3,144,41.39930555555556,91.93788475257507,0.3853323264024103,0.9132200074785777
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,cumulativo,72,3,216,50.55555555555556,106.15566618397231,0.45176628928368395,0.8806907829536789
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BYD Camacari,cumulativo,24,3,72,34.49474633353142,61.62522965310639,0.24197728765160526,0.9634697540987163
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BYD Camacari,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BYD Camacari,cumulativo,48,3,144,50.442498925869586,99.92997691603857,0.41882897987075757,0.8974767966241626
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BYD Camacari,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BYD Camacari,cumulativo,72,3,216,54.391659244851866,104.66723724022198,0.4454319875459398,0.8840130423027861
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BYD Camacari,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BYD Camacari,cumulativo,24,3,72,34.637724437543916,60.66191967984015,0.23819476001137027,0.9646028909716216
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BYD Camacari,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BYD Camacari,cumulativo,48,3,144,51.27348248213012,106.41528913911748,0.44601038015085254,0.8837377691419542
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BYD Camacari,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BYD Camacari,cumulativo,72,3,216,53.65172149704045,108.54887774859196,0.4619510711882627,0.8752506443586114
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BYD Camacari,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,TimesNet,semente,42.0,BYD Camacari,cumulativo,24,3,72,34.53794378626885,62.28487654423864,0.24456745350449552,0.962683516617764
hourly_72_extension,horaria,validacao_2023,TimesNet,semente,42.0,BYD Camacari,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,TimesNet,semente,42.0,BYD Camacari,cumulativo,48,3,144,49.72585951492915,95.7344672939479,0.4012446566347522,0.9059048490476805
hourly_72_extension,horaria,validacao_2023,TimesNet,semente,42.0,BYD Camacari,lead_exato,48,3,3,0.0,0.0,,
