tarefa,resolucao,particao,modelo,tipo_estimativa,semente,tipo_horizonte,horizonte,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,cumulativo,24,2,6,144,209.5887577963553,346.1407928092519,1.5479533593872692,-0.48240636712257556,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,cumulativo,48,2,6,288,201.09332948454863,341.4424543639651,1.5300578592036143,-0.3618010289586586,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,cumulativo,72,2,6,432,192.1663227922033,332.25788856260294,1.4693081036324198,-0.24878100417638183,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,lead_exato,24,2,6,6,0.0,0.0,,,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,lead_exato,48,2,6,6,0.0,0.0,,,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,lead_exato,72,2,6,6,0.0,0.0,,,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,cumulativo,24,2,6,144,40.000860442562654,75.0093105361668,0.35233702981207754,0.9156302858136636,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,cumulativo,48,2,6,288,48.46783327073758,98.80015217576457,0.44317021674523305,0.8858131973349882,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,cumulativo,72,2,6,432,48.01268309075277,96.27675011644402,0.42455522339800134,0.8947924001964117,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,lead_exato,24,2,6,6,0.0,0.0,,,media_aritmetica_das_metricas_por_localidade
