tarefa,resolucao,tipo_horizonte,horizonte,metrica,N_localidades,diferenca_media,diferenca_mediana,vitorias_timesnet,inferencia
hourly_72_extension,horaria,cumulativo,24,MAE_wm2,2,-178.41987093749856,-178.41987093749856,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,24,R2,2,1.330961548581499,1.330961548581499,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,24,RMSE_wm2,2,-277.91779343202285,-277.91779343202285,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,24,nRMSE,2,-1.086351105447836,-1.086351105447836,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,48,MAE_wm2,2,-140.69391526035258,-140.69391526035258,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,48,R2,2,1.1575623482063564,1.1575623482063564,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,48,RMSE_wm2,2,-233.19526083055132,-233.19526083055132,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,48,nRMSE,2,-0.977436966548975,-0.977436966548975,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,72,MAE_wm2,2,-147.46765483589735,-147.46765483589735,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,72,R2,2,1.128713530410614,1.128713530410614,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,72,RMSE_wm2,2,-246.01177106385848,-246.01177106385848,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,cumulativo,72,nRMSE,2,-1.0019732635282148,-1.0019732635282148,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,24,MAE_wm2,2,0.0,0.0,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,24,R2,2,,,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,24,RMSE_wm2,2,0.0,0.0,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,24,nRMSE,2,,,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,48,MAE_wm2,2,0.0,0.0,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,48,R2,2,,,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,48,RMSE_wm2,2,0.0,0.0,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,48,nRMSE,2,,,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,72,MAE_wm2,2,0.0,0.0,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,72,R2,2,,,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,72,RMSE_wm2,2,0.0,0.0,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
hourly_72_extension,horaria,lead_exato,72,nRMSE,2,,,0,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
