tarefa,resolucao,particao,modelo,tipo_horizonte,horizonte,N_sementes,MAE_wm2_media,MAE_wm2_desvio_padrao,MAE_wm2_minimo,MAE_wm2_maximo,RMSE_wm2_media,RMSE_wm2_desvio_padrao,RMSE_wm2_minimo,RMSE_wm2_maximo,nRMSE_media,nRMSE_desvio_padrao,nRMSE_minimo,nRMSE_maximo,R2_media,R2_desvio_padrao,R2_minimo,R2_maximo
daily_30,diaria,teste_2024,DilatedRNN,cumulativo,1,1,122.9862502477227,,122.9862502477227,122.9862502477227,156.75733892134974,,156.75733892134974,156.75733892134974,0.6901346592485974,,0.6901346592485974,0.6901346592485974,-1.9890575340909378,,-1.9890575340909378,-1.9890575340909378
daily_30,diaria,teste_2024,DilatedRNN,cumulativo,3,1,163.52064595129465,,163.52064595129465,163.52064595129465,196.37866424629533,,196.37866424629533,196.37866424629533,0.8694346916414074,,0.8694346916414074,0.8694346916414074,-4.541303001287924,,-4.541303001287924,-4.541303001287924
daily_30,diaria,teste_2024,DilatedRNN,cumulativo,7,1,169.06540512626862,,169.06540512626862,169.06540512626862,200.89345272702474,,200.89345272702474,200.89345272702474,0.9002772891880045,,0.9002772891880045,0.9002772891880045,-6.85886852722839,,-6.85886852722839,-6.85886852722839
daily_30,diaria,teste_2024,DilatedRNN,cumulativo,14,1,172.95651329053243,,172.95651329053243,172.95651329053243,205.2364701687219,,205.2364701687219,205.2364701687219,0.9563921888153464,,0.9563921888153464,0.9563921888153464,-5.049889445985625,,-5.049889445985625,-5.049889445985625
daily_30,diaria,teste_2024,DilatedRNN,cumulativo,30,1,181.22770330062224,,181.22770330062224,181.22770330062224,211.11719381751075,,211.11719381751075,211.11719381751075,0.999063700440701,,0.999063700440701,0.999063700440701,-6.0631671406449446,,-6.0631671406449446,-6.0631671406449446
daily_30,diaria,teste_2024,DilatedRNN,lead_exato,1,1,122.9862502477227,,122.9862502477227,122.9862502477227,156.75733892134974,,156.75733892134974,156.75733892134974,0.6901346592485974,,0.6901346592485974,0.6901346592485974,-1.9890575340909378,,-1.9890575340909378,-1.9890575340909378
daily_30,diaria,teste_2024,DilatedRNN,lead_exato,3,1,226.52995223276685,,226.52995223276685,226.52995223276685,252.04198565142053,,252.04198565142053,252.04198565142053,1.1266968629249,,1.1266968629249,1.1266968629249,-7.434503247352572,,-7.434503247352572,-7.434503247352572
daily_30,diaria,teste_2024,DilatedRNN,lead_exato,7,1,115.16322990114156,,115.16322990114156,115.16322990114156,151.40781144599043,,151.40781144599043,151.40781144599043,0.6759509564409494,,0.6759509564409494,0.6759509564409494,-2.4964294069343915,,-2.4964294069343915,-2.4964294069343915
daily_30,diaria,teste_2024,DilatedRNN,lead_exato,14,1,218.56944529215497,,218.56944529215497,218.56944529215497,236.86495745702115,,236.86495745702115,236.86495745702115,1.1025251657317703,,1.1025251657317703,1.1025251657317703,-15.647688670814786,,-15.647688670814786,-15.647688670814786
daily_30,diaria,teste_2024,DilatedRNN,lead_exato,30,1,162.8772120350215,,162.8772120350215,162.8772120350215,185.72400522841775,,185.72400522841775,185.72400522841775,0.8728764332995583,,0.8728764332995583,0.8728764332995583,-3.5635057302615465,,-3.5635057302615465,-3.5635057302615465
daily_30,diaria,teste_2024,LSTM,cumulativo,1,1,226.27083333333331,,226.27083333333331,226.27083333333331,248.54623445297096,,248.54623445297096,248.54623445297096,1.1032695649108288,,1.1032695649108288,1.1032695649108288,-6.0319630704796525,,-6.0319630704796525,-6.0319630704796525
daily_30,diaria,teste_2024,LSTM,cumulativo,3,1,194.89507407316563,,194.89507407316563,194.89507407316563,224.782024384775,,224.782024384775,224.782024384775,0.9895810237028472,,0.9895810237028472,0.9895810237028472,-6.55798976105457,,-6.55798976105457,-6.55798976105457
daily_30,diaria,teste_2024,LSTM,cumulativo,7,1,197.516110457696,,197.516110457696,197.516110457696,225.55452651715407,,225.55452651715407,225.55452651715407,1.0079814146148098,,1.0079814146148098,1.0079814146148098,-9.165787472960261,,-9.165787472960261,-9.165787472960261
daily_30,diaria,teste_2024,LSTM,cumulativo,14,1,188.09229286483497,,188.09229286483497,188.09229286483497,217.2118753659951,,217.2118753659951,217.2118753659951,1.0094253670722644,,1.0094253670722644,1.0094253670722644,-5.903054841199537,,-5.903054841199537,-5.903054841199537
daily_30,diaria,teste_2024,LSTM,cumulativo,30,1,180.66968887744088,,180.66968887744088,180.66968887744088,209.92963513197066,,209.92963513197066,209.92963513197066,0.9894458655109399,,0.9894458655109399,0.9894458655109399,-6.179829374345792,,-6.179829374345792,-6.179829374345792
daily_30,diaria,teste_2024,LSTM,lead_exato,1,1,226.27083333333331,,226.27083333333331,226.27083333333331,248.54623445297096,,248.54623445297096,248.54623445297096,1.1032695649108288,,1.1032695649108288,1.1032695649108288,-6.0319630704796525,,-6.0319630704796525,-6.0319630704796525
daily_30,diaria,teste_2024,LSTM,lead_exato,3,1,182.48137036865273,,182.48137036865273,182.48137036865273,210.77916323581127,,210.77916323581127,210.77916323581127,0.9071663119088391,,0.9071663119088391,0.9071663119088391,-6.553011448597191,,-6.553011448597191,-6.553011448597191
daily_30,diaria,teste_2024,LSTM,lead_exato,7,1,229.9097277323405,,229.9097277323405,229.9097277323405,251.50978282996874,,251.50978282996874,251.50978282996874,1.103196914637984,,1.103196914637984,1.103196914637984,-10.615575565702883,,-10.615575565702883,-10.615575565702883
daily_30,diaria,teste_2024,LSTM,lead_exato,14,1,190.59080029760003,,190.59080029760003,190.59080029760003,213.33993575560797,,213.33993575560797,213.33993575560797,0.990477843310213,,0.990477843310213,0.990477843310213,-12.707822385375886,,-12.707822385375886,-12.707822385375886
daily_30,diaria,teste_2024,LSTM,lead_exato,30,1,163.17628321620097,,163.17628321620097,163.17628321620097,180.44210941885254,,180.44210941885254,180.44210941885254,0.7841725022394332,,0.7841725022394332,0.7841725022394332,-4.391780812679197,,-4.391780812679197,-4.391780812679197
daily_30,diaria,teste_2024,TimesNet,cumulativo,1,1,96.54511113021512,,96.54511113021512,96.54511113021512,113.19412499353402,,113.19412499353402,113.19412499353402,0.514901543327158,,0.514901543327158,0.514901543327158,-0.2740727837464618,,-0.2740727837464618,-0.2740727837464618
daily_30,diaria,teste_2024,TimesNet,cumulativo,3,1,97.11832909685914,,97.11832909685914,97.11832909685914,110.07694419895637,,110.07694419895637,110.07694419895637,0.5138045862827625,,0.5138045862827625,0.5138045862827625,-0.24961731020569433,,-0.24961731020569433,-0.24961731020569433
daily_30,diaria,teste_2024,TimesNet,cumulativo,7,1,86.89969970970304,,86.89969970970304,86.89969970970304,100.23296259305079,,100.23296259305079,100.23296259305079,0.47397572657885956,,0.47397572657885956,0.47397572657885956,-0.2236945141641553,,-0.2236945141641553,-0.2236945141641553
