tarefa,resolucao,particao,modelo,tipo_estimativa,semente,tipo_horizonte,horizonte,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
daily_30,diaria,validacao_2023,LSTM,ensemble,,cumulativo,3,2,6,18,170.07493723734098,205.3924823092387,1.0562532266323488,-3.8358428841843573,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,ensemble,,cumulativo,7,2,6,42,175.47118004388278,208.36473860464818,1.0641768101839384,-4.459243110382063,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,ensemble,,cumulativo,14,2,6,84,174.18115674042966,203.7024786854632,1.0191795998994002,-6.031486965954385,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,ensemble,,cumulativo,30,2,6,180,176.9574393385888,206.25761428709444,0.9823120946315679,-6.469886954248265,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,ensemble,,lead_exato,1,2,6,6,208.67361132303873,236.86607527352362,1.1766090581331325,-16.603959342210516,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,ensemble,,lead_exato,3,2,6,6,156.36533380401963,188.551657169537,1.0081579664656988,-2.1975813298506583,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,ensemble,,lead_exato,7,2,6,6,203.15972391764325,222.02210692262386,1.1079837653179214,-62.74256740247739,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,ensemble,,lead_exato,14,2,6,6,180.60164222641006,210.62167296426054,1.0263666113427516,-69.91745700493715,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,ensemble,,lead_exato,30,2,6,6,173.32125938663293,189.13369258231924,0.800448225315402,-35.004536509025066,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,cumulativo,1,2,6,6,208.67361132303873,236.86607527352362,1.1766090581331325,-16.603959342210516,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,cumulativo,3,2,6,18,170.07493723734098,205.3924823092387,1.0562532266323488,-3.8358428841843573,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,cumulativo,7,2,6,42,175.47118004388278,208.36473860464818,1.0641768101839384,-4.459243110382063,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,cumulativo,14,2,6,84,174.18115674042966,203.7024786854632,1.0191795998994002,-6.031486965954385,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,cumulativo,30,2,6,180,176.9574393385888,206.25761428709444,0.9823120946315679,-6.469886954248265,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,lead_exato,1,2,6,6,208.67361132303873,236.86607527352362,1.1766090581331325,-16.603959342210516,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,lead_exato,3,2,6,6,156.36533380401963,188.551657169537,1.0081579664656988,-2.1975813298506583,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,lead_exato,7,2,6,6,203.15972391764325,222.02210692262386,1.1079837653179214,-62.74256740247739,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,lead_exato,14,2,6,6,180.60164222641006,210.62167296426054,1.0263666113427516,-69.91745700493715,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,LSTM,semente,11.0,lead_exato,30,2,6,6,173.32125938663293,189.13369258231924,0.800448225315402,-35.004536509025066,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,cumulativo,1,2,6,6,24.666664361953735,31.566474494737854,0.1573700074163304,0.6937356099370106,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,cumulativo,3,2,6,18,41.03009417321947,51.565563648802566,0.2470696581894507,0.5111978537911049,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,cumulativo,7,2,6,42,45.30059425036112,56.87302181397894,0.279197092766417,0.45208741953000636,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,cumulativo,14,2,6,84,43.2966248080844,55.28373013834453,0.2728734285295724,0.4303175291591419,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,cumulativo,30,2,6,180,44.01272912025452,60.98367223607507,0.2931847520214803,0.39626425351620376,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,lead_exato,1,2,6,6,24.666664361953735,31.566474494737854,0.1573700074163304,0.6937356099370106,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,lead_exato,3,2,6,6,58.31944743792216,67.18939110000753,0.35398541308340115,0.28469634153775814,media_aritmetica_das_metricas_por_localidade
