tarefa,resolucao,tipo_horizonte,horizonte,metrica,N_localidades,diferenca_media,diferenca_mediana,vitorias_timesnet,inferencia
daily_30,diaria,cumulativo,1,MAE_wm2,2,-26.441139117507582,-26.441139117507582,1,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,1,R2,2,1.7149847503444757,1.7149847503444757,1,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,1,RMSE_wm2,2,-43.563213927815724,-43.563213927815724,1,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,1,nRMSE,2,-0.17523311592143945,-0.17523311592143945,1,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,3,MAE_wm2,2,-66.40231685443551,-66.40231685443551,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,3,R2,2,4.291685691082229,4.291685691082229,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,3,RMSE_wm2,2,-86.30172004733896,-86.30172004733896,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,3,nRMSE,2,-0.35563010535864487,-0.35563010535864487,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,7,MAE_wm2,2,-82.16570541656557,-82.16570541656557,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,7,R2,2,6.635174013064234,6.635174013064234,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,7,RMSE_wm2,2,-100.66049013397395,-100.66049013397395,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,7,nRMSE,2,-0.426301562609145,-0.426301562609145,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,14,MAE_wm2,2,-81.18587333244633,-81.18587333244633,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
daily_30,diaria,cumulativo,14,R2,2,4.887153058150457,4.887153058150457,2,descritiva_pareada_por_localidade_sem_teste_iid_sobre_janelas_sobrepostas
