data,ghi_real_normalizado,ghi_previsto_rnn_normalizado,ghi_real_wm2,ghi_previsto_rnn_wm2
2023-10-26,0.44881889763779526,0.35250401,181.08333333333331,144.1594684521357
2023-10-27,0.4566929133858268,0.394817,184.25,160.51343510548273
2023-10-28,0.4645669291338583,0.41950876,186.875,170.05680055419603
2023-10-29,0.4566929133858268,0.43417233,184.33333333333331,175.72427309552828
2023-10-30,0.44881889763779526,0.43089795,181.25,174.45872477690378
2023-10-31,0.4094488188976378,0.4266785,166.0,172.8279102096955
2023-11-01,0.33858267716535434,0.40363395,138.70833333333334,163.921189169089
2023-11-02,0.3228346456692913,0.3787761,133.95833333333334,154.31363057593504
2023-11-03,0.4015748031496063,0.35975376,163.20833333333334,146.9614940236012
2023-11-04,0.3464566929133858,0.36991975,142.5,150.8906489262978
2023-11-05,0.15748031496062992,0.3435641,68.95833333333333,140.70418865482011
2023-11-06,0.3700787401574803,0.3150765,151.70833333333334,129.69373398522535
2023-11-07,0.25984251968503935,0.3230773,107.875,132.78603973488012
2023-11-08,0.4015748031496063,0.2719099,162.16666666666666,113.00984014074008
2023-11-09,0.3464566929133858,0.3450789,141.91666666666666,141.28965593377748
2023-11-10,0.3543307086614173,0.32606846,146.20833333333334,133.9421268204848
2023-11-11,0.3543307086614173,0.3286018,146.04166666666666,134.92126520971456
2023-11-12,0.2992125984251969,0.32895306,123.125,135.05702340106168
2023-11-13,0.3464566929133858,0.30729938,141.83333333333334,126.68787531057994
2023-11-14,0.36220472440944884,0.3197209,146.625,131.4887922356526
2023-11-15,0.25196850393700787,0.33176574,104.58333333333331,136.14412560562292
2023-11-16,0.23622047244094488,0.2925983,99.79166666666669,121.00591237346332
2023-11-17,0.25984251968503935,0.28849706,107.95833333333331,119.42078056434791
2023-11-18,0.13385826771653545,0.26832226,61.04166666666666,111.62321984271209
2023-11-19,0.2677165354330709,0.24037415,111.83333333333331,100.82127482692401
2023-11-20,0.3464566929133858,0.25838923,140.58333333333334,107.78410581747691
2023-11-21,0.31496062992125984,0.29018357,129.875,120.07261800269286
2023-11-22,0.2677165354330709,0.28770208,112.33333333333331,119.11352197329204
2023-11-23,0.05511811023622047,0.26650763,29.08333333333333,110.9218639532725
2023-11-24,0.2755905511811024,0.23469585,113.75,98.62661338845889
2023-11-25,0.25196850393700787,0.24290487,106.33333333333331,101.79939957956474
2023-11-26,0.33858267716535434,0.25152406,138.25,105.13071622947852
2023-11-27,0.33070866141732286,0.28794593,136.79166666666666,119.20776713887851
2023-11-28,0.30708661417322836,0.29135686,126.5,120.52609367171924
2023-11-29,0.2125984251968504,0.28348666,90.83333333333331,117.48426241676013
2023-11-30,0.14960629921259844,0.24384306,65.54166666666667,102.16201079140107
2023-12-01,0.1968503937007874,0.24463059,85.25,102.46638973305623
2023-12-02,0.18110236220472442,0.22723873,78.25,95.74443565557401
2023-12-03,0.14960629921259844,0.22773302,65.625,95.93547735611598
2023-12-04,0.29133858267716534,0.22526659,121.0,94.9822039778034
2023-12-05,0.25984251968503935,0.24400793,109.29166666666669,102.22573167334001
2023-12-06,0.2755905511811024,0.24579872,115.41666666666669,102.91787268469731
2023-12-07,0.1732283464566929,0.25298253,74.79166666666667,105.69441335896651
2023-12-08,0.29133858267716534,0.2185616,121.625,92.39072685192029
2023-12-09,0.2677165354330709,0.25318548,112.08333333333331,105.77285500864188
2023-12-10,0.2047244094488189,0.25729915,88.25,107.36279007295768
2023-12-11,0.2755905511811024,0.24494022,113.625,102.58606220285098
2023-12-12,0.15748031496062992,0.24937999,67.375,104.3020337621371
2023-12-13,0.29133858267716534,0.22431244,120.33333333333331,94.61342455695073
2023-12-14,0.2125984251968504,0.2518581,90.58333333333331,105.2598166714112
2023-12-15,0.23622047244094488,0.22806925,98.70833333333331,96.06543017427127
2023-12-16,0.28346456692913385,0.23903169,117.45833333333331,100.30241383860509
2023-12-17,0.18110236220472442,0.252322,76.95833333333333,105.43911516169707
2023-12-18,0.11023622047244094,0.22859696,50.875,96.26938998202483
2023-12-19,0.12598425196850394,0.20957616,55.458333333333336,88.91785239676635
2023-12-20,0.1732283464566929,0.21254613,74.625,90.0657440001766
2023-12-21,0.2204724409448819,0.19674872,92.16666666666669,83.96004641304414
2023-12-22,0.2755905511811024,0.21377453,113.41666666666669,90.54052331546943
2023-12-23,0.15748031496062992,0.238464,69.08333333333333,100.08300183216731
2023-12-24,0.2047244094488189,0.20430295,86.08333333333333,86.87975749621789
2023-12-25,0.23622047244094488,0.21008047,98.20833333333331,89.11277010540168
2023-12-26,0.25984251968503935,0.22892825,107.16666666666669,96.39743647227685
2023-12-27,0.2125984251968504,0.2389955,90.54166666666669,100.28843026111524
2023-12-28,0.23622047244094488,0.22295415,100.375,94.0884471933047
2023-12-29,0.2283464566929134,0.23268168,97.625,97.84813472876947
2023-12-30,0.11023622047244094,0.22831708,49.708333333333336,96.16121883193652
2023-12-31,0.2125984251968504,0.21211872,91.08333333333331,89.9005500326554
2024-01-01,0.29133858267716534,0.21692716,119.91666666666669,91.7590124035875
2024-01-02,0.11811023622047244,0.2470881,52.333333333333336,103.41621905068557
2024-01-03,0.16535433070866143,0.21164592,71.875,89.71781324098508
2024-01-04,0.2755905511811024,0.21859469,114.41666666666669,92.40351249525945
2024-01-05,0.2992125984251969,0.2341839,124.0,98.42874115953843
2024-01-06,0.08661417322834646,0.26330212,41.5,109.68293511370818
2024-01-07,0.25196850393700787,0.21834679,104.20833333333331,92.30770080039899
2024-01-08,0.16535433070866143,0.23773873,70.54166666666667,99.8026852409045
2024-01-09,0.28346456692913385,0.21338487,116.79166666666669,90.38991765181224
