data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_normalizado,ghi_previsto_dilatedrnn_wm2,ghi_previsto_deepar_exp_normalizado,ghi_previsto_deepar_exp_wm2,ghi_previsto_deepnpts_aprox_normalizado,ghi_previsto_deepnpts_aprox_wm2
2023-10-26,0.44881889763779526,0.44881889763779526,181.08333333333331,0.37644154,153.41132123271623,0.37475166,152.75818219284216,0.36470193,148.87396133939424
2023-10-27,0.4566929133858268,0.4566929133858268,184.25,0.40296564,163.6628846178452,0.38040304,154.9424423376719,0.38719222,157.56645950178304
2023-10-28,0.4645669291338583,0.4645669291338583,186.875,0.42725244,173.04973536233106,0.39593637,160.94607363144556,0.41812187,169.52077109615007
2023-10-29,0.4566929133858268,0.4566929133858268,184.33333333333331,0.4282616,173.43977811435857,0.4418371,178.68670665721098,0.40345865,163.85343677798906
2023-10-30,0.44881889763779526,0.44881889763779526,181.25,0.4374858,177.0049338142077,0.44979125,181.7609858016173,0.4108315,166.7030456761519
2023-10-31,0.4094488188976378,0.4094488188976378,166.0,0.43679848,176.7392803976933,0.4484252,181.23300784329572,0.4096845,166.25972941021124
2023-11-01,0.33858267716535434,0.33858267716535434,138.70833333333334,0.39587882,160.92383121947447,0.4043571,164.200687939922,0.4006291,162.75981504718462
2023-11-02,0.3228346456692913,0.3228346456692913,133.95833333333334,0.39887005,162.07994134227434,0.40143555,163.07150829831758,0.38973567,158.54950269560018
2023-11-03,0.4015748031496063,0.4015748031496063,163.20833333333334,0.37066174,151.17742745081583,0.3720853,151.7276363025109,0.35703534,145.91082514325777
2023-11-04,0.3464566929133858,0.3464566929133858,142.5,0.37480104,152.77726850907007,0.37789792,153.97421206037203,0.36934546,150.668685550491
2023-11-05,0.15748031496062992,0.15748031496062992,68.95833333333333,0.3695755,150.75759760538736,0.37491447,152.8211082915465,0.37085384,151.25167633096376
2023-11-06,0.3700787401574803,0.3700787401574803,151.70833333333334,0.3195888,131.4377418110768,0.32186154,132.3161500642697,0.2830795,117.32689533631007
2023-11-07,0.25984251968503935,0.25984251968503935,107.875,0.3238017,133.06602228681245,0.32246158,132.54806550840536,0.31303984,128.90656454364458
2023-11-08,0.4015748031496063,0.4015748031496063,162.16666666666666,0.29005954,120.02467759946983,0.29855302,123.30740880469482,0.26331717,109.68875200549762
2023-11-09,0.3464566929133858,0.3464566929133858,141.91666666666666,0.33840153,138.70885654787222,0.34577283,141.5578664789597,0.320599,131.8281761954228
2023-11-10,0.3543307086614173,0.3543307086614173,146.20833333333334,0.33738494,138.3159456650416,0.35133958,143.70941380659738,0.33580804,137.7064736286799
2023-11-11,0.3543307086614173,0.3543307086614173,146.04166666666666,0.33970258,139.21171244482198,0.35957533,146.89253217975298,0.34025332,139.42457612852255
2023-11-12,0.2992125984251969,0.2992125984251969,123.125,0.31308094,128.9224486897389,0.33024025,135.55452315012613,0.3283947,134.8412224749724
2023-11-13,0.3464566929133858,0.3464566929133858,141.83333333333334,0.32807246,134.71667187909284,0.34128138,139.82192167143026,0.29523128,122.0235574344794
2023-11-14,0.36220472440944884,0.36220472440944884,146.625,0.3149143,129.63103825847307,0.32944876,135.2486122349898,0.3093887,127.49539811412494
2023-11-15,0.25196850393700787,0.25196850393700787,104.58333333333331,0.33881038,138.86688018838564,0.35072592,143.47223436335722,0.3298264,135.39457590381303
2023-11-16,0.23622047244094488,0.23622047244094488,99.79166666666669,0.31265298,128.75704162816206,0.32544348,133.70057031015554,0.30524698,125.89462404946487
2023-11-17,0.25984251968503935,0.25984251968503935,107.95833333333331,0.28910738,119.65666992465655,0.3017312,124.53577509025733,0.27656585,114.80936760703723
2023-11-18,0.13385826771653545,0.13385826771653545,61.04166666666666,0.27400786,113.8207033375899,0.2866211,118.69571940104167,0.2737056,113.70388172070186
2023-11-19,0.2677165354330709,0.2677165354330709,111.83333333333331,0.24204811,101.46826293567817,0.24131651,101.18549864242475,0.22360876,94.34145318965118
2023-11-20,0.3464566929133858,0.3464566929133858,140.58333333333334,0.2535505,105.91393479208152,0.26174194,109.07992501060168,0.26343307,109.73354783157508
2023-11-21,0.31496062992125984,0.31496062992125984,129.875,0.29737848,122.85344935456912,0.2927413,121.06117860476176,0.28930113,119.73155232767265
2023-11-22,0.2677165354330709,0.2677165354330709,112.33333333333331,0.28478107,117.98454966644447,0.3093281,127.47198080519836,0.280251,116.23367675642173
2023-11-23,0.05511811023622047,0.05511811023622047,29.08333333333333,0.2781167,115.40877238909404,0.3024967,124.83164178828399,0.28156817,116.74276421467464
2023-11-24,0.2755905511811024,0.2755905511811024,113.75,0.2285822,96.26368827621143,0.2278367,95.97555055717628,0.207281,88.0307706395785
2023-11-25,0.25196850393700787,0.25196850393700787,106.33333333333331,0.22232856,93.8466545517246,0.22116537,93.39708368728559,0.22680204,95.57565364489953
2023-11-26,0.33858267716535434,0.33858267716535434,138.25,0.23791406,99.87044915060203,0.23940217,100.44560728470485,0.24678826,103.30033044020335
2023-11-27,0.33070866141732286,0.33070866141732286,136.79166666666666,0.2841084,117.72456339995067,0.30639955,126.34009429315726,0.2914674,120.56881615022819
2023-11-28,0.30708661417322836,0.30708661417322836,126.5,0.28981403,119.9297873924176,0.31424507,129.3723881493012,0.29654595,122.53167733053367
2023-11-29,0.2125984251968504,0.2125984251968504,90.83333333333331,0.2890003,119.61528360346954,0.31558156,129.88893965880075,0.2953024,122.05104080835979
2023-11-30,0.14960629921259844,0.14960629921259844,65.54166666666667,0.2444217,102.3856558824579,0.26180097,109.10274335245292,0.25538865,106.62437885502975
2023-12-01,0.1968503937007874,0.1968503937007874,85.25,0.2380966,99.94100056091945,0.24189664,101.40971966336171,0.19421563,82.98100593189399
2023-12-02,0.18110236220472442,0.18110236220472442,78.25,0.22265509,93.97285806636016,0.2222951,93.8337249259154,0.1825356,78.46667747447889
2023-12-03,0.14960629921259844,0.14960629921259844,65.625,0.22682218,95.58344021687905,0.22524929,94.97551743189494,0.21545333,91.18937743703525
2023-12-04,0.29133858267716534,0.29133858267716534,121.0,0.2188678,92.50906892369191,0.22030365,93.06402919689815,0.19068442,81.61619609842698
2023-12-05,0.25984251968503935,0.25984251968503935,109.29166666666669,0.23943648,100.45886519054572,0.24439822,102.37657922754686,0.22926956,96.52935321132342
2023-12-06,0.2755905511811024,0.2755905511811024,115.41666666666669,0.2342108,98.4391424531738,0.25134417,105.06118997434776,0.22632812,95.3924849058191
2023-12-07,0.1732283464566929,0.1732283464566929,74.79166666666667,0.24375217,102.1268790687124,0.26983416,112.20756981770198,0.2197846,92.86341554174821
2023-12-08,0.29133858267716534,0.29133858267716534,121.625,0.22882535,96.35766275475423,0.24102059,101.0711247275273,0.18714647,80.24877730260293
2023-12-09,0.2677165354330709,0.2677165354330709,112.08333333333331,0.23822784,99.99172846476237,0.2540086,106.09098715583484,0.2154372,91.18314587573211
2023-12-10,0.2047244094488189,0.2047244094488189,88.25,0.23805875,99.92637194196384,0.25251183,105.51248862842719,0.22347149,94.28839852909248
2023-12-11,0.2755905511811024,0.2755905511811024,113.625,0.25037715,104.68743451933067,0.26927635,111.99197622636954,0.23927663,100.39708519230287
2023-12-12,0.15748031496062992,0.15748031496062992,67.375,0.2475495,103.5945499787728,0.26643363,110.89326327542464,0.23203324,97.59751308212678
2023-12-13,0.29133858267716534,0.29133858267716534,120.33333333333331,0.22978944,96.73028362790744,0.23562558,98.98595331857602,0.20784375,88.24827631811301
2023-12-14,0.2125984251968504,0.2125984251968504,90.58333333333331,0.23556814,98.96375122169654,0.24857448,103.99070334682862,0.21535975,91.15320904056232
2023-12-15,0.23622047244094488,0.23622047244094488,98.70833333333331,0.23862128,100.14379123101632,0.24897821,104.14674578855436,0.21930288,92.67722893009584
2023-12-16,0.28346456692913385,0.28346456692913385,117.45833333333331,0.2415875,101.29023725042741,0.2598376,108.34389814237754,0.2082888,88.42028929541509
2023-12-17,0.18110236220472442,0.18110236220472442,76.95833333333333,0.23945358,100.46547686556976,0.2569979,107.24636008838813,0.21479444,90.93471852193277
2023-12-18,0.11023622047244094,0.11023622047244094,50.875,0.23715794,99.57821081082027,0.25012618,104.59043640891711,0.21775988,92.08085929850738
2023-12-19,0.12598425196850394,0.12598425196850394,55.458333333333336,0.20437877,86.90906080851953,0.20851049,88.50597038368385,0.16573364,71.97271675864856
2023-12-20,0.1732283464566929,0.1732283464566929,74.625,0.20223854,86.08186424026887,0.19915205,84.8889349202315,0.18702164,80.20053165654342
2023-12-21,0.2204724409448819,0.2204724409448819,92.16666666666669,0.19405717,82.91976154843967,0.19514512,83.3402537132303,0.19147125,81.92030435303847
2023-12-22,0.2755905511811024,0.2755905511811024,113.41666666666669,0.20621978,87.62061065683763,0.21345383,90.41657168666522,0.19681776,83.98672924439113
2023-12-23,0.15748031496062992,0.15748031496062992,69.08333333333333,0.23101793,97.20509749899308,0.24895476,104.13768065224092,0.22233836,93.85044417033593
2023-12-24,0.2047244094488189,0.2047244094488189,86.08333333333333,0.2124516,90.02921276787917,0.22433296,94.62135511140029,0.16230328,70.64688585946958
2023-12-25,0.23622047244094488,0.23622047244094488,98.20833333333331,0.20513995,87.20325730989377,0.216232,91.49033535520236,0.16463019,71.54623492310445
2023-12-26,0.25984251968503935,0.25984251968503935,107.16666666666669,0.20791823,88.27706129352252,0.21693659,91.7626580397288,0.17178524,74.3116601506869
2023-12-27,0.2125984251968504,0.2125984251968504,90.54166666666669,0.22732984,95.7796480084459,0.24182674,101.38270279268424,0.19252792,82.32870774964492
2023-12-28,0.23622047244094488,0.23622047244094488,100.375,0.23058411,97.03742703298728,0.24527681,102.7161532441775,0.19641498,83.83105539778869
2023-12-29,0.2283464566929134,0.2283464566929134,97.625,0.23578794,99.04870663831632,0.25249895,105.50751259426276,0.19999577,85.21503217766683
2023-12-30,0.11023622047244094,0.11023622047244094,49.708333333333336,0.2212068,93.41309453795354,0.2319644,97.57090512166421,0.18292424,78.61688574651878
2023-12-31,0.2125984251968504,0.2125984251968504,91.08333333333331,0.20903476,88.70859979341428,0.21277288,90.15338325003783,0.16705415,72.48309429983298
2024-01-01,0.29133858267716534,0.29133858267716534,119.91666666666669,0.21033137,89.20973941932122,0.2156549,91.26728347192208,0.19333762,82.6416565279166
2024-01-02,0.11811023622047244,0.11811023622047244,52.333333333333336,0.23884594,100.23062417904536,0.23832789,100.03039639691512,0.23390913,98.32254544893901
2024-01-03,0.16535433070866143,0.16535433070866143,71.875,0.21458678,90.85445693383615,0.22139578,93.48613396535318,0.17000216,73.62250245610873
