data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,42.969086021505376,0.1135439858490001,67.05368218035206
2024-02-29,114.36637931034483,0.2860268159239153,114.10840467080476
2024-03-31,134.98387096774192,0.41336634034735525,148.8476652755194
2024-04-30,204.275,0.5699600136029377,191.56769622353713
2024-05-31,249.9543010752688,0.7458343148729027,239.54763971046887
2024-06-30,248.35,0.8625741485370897,271.3952182448891
2024-07-31,255.46505376344084,0.8280091447110649,261.96560335389614
2024-08-31,228.71236559139783,0.7283536405478389,234.77876921504273
2024-09-30,188.0097222222222,0.5231041042700416,178.78502208872834
2024-10-31,146.7271505376344,0.2905441425424448,115.34076820717135
2024-11-30,64.27777777777777,0.12605203292621503,70.46597941515643
2024-12-31,45.26478494623656,0.03766716065580644,46.353865558769556
