data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,42.969086021505376,0.14029637,74.35195066193685
2024-02-29,114.36637931034483,0.28752506,114.51713726944607
2024-03-31,134.98387096774192,0.3900623,142.4901336861474
2024-04-30,204.275,0.53530365,182.11315826422745
2024-05-31,249.9543010752688,0.80146986,254.72547075156137
2024-06-30,248.35,0.8322225,263.11504684513085
2024-07-31,255.46505376344084,0.8049016,255.6616767033454
2024-08-31,228.71236559139783,0.6949458,225.66484123716216
2024-09-30,188.0097222222222,0.52792,180.0988398154363
2024-10-31,146.7271505376344,0.24354713,102.51959905253864
2024-11-30,64.27777777777777,0.14917363,76.77374025088031
2024-12-31,45.26478494623656,0.09972841,63.284681233146145
