data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,42.969086021505376,0.48339847,167.95300055933203
2024-02-29,114.36637931034483,0.4824307,167.68898478970732
2024-03-31,134.98387096774192,0.47801074,166.48318567113904
2024-04-30,204.275,0.48049358,167.1605223436803
2024-05-31,249.9543010752688,0.48071405,167.22067042558476
2024-06-30,248.35,0.48079345,167.2423295888983
2024-07-31,255.46505376344084,0.4819608,167.5607940885195
2024-08-31,228.71236559139783,0.48186675,167.53513480945887
2024-09-30,188.0097222222222,0.48247817,167.701936383986
2024-10-31,146.7271505376344,0.48306996,167.8633800799007
2024-11-30,64.27777777777777,0.48282087,167.79542689409948
2024-12-31,45.26478494623656,0.484644,168.29279087928782
