data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2024-01-31,0.13385826771653545,0.101776086,128.3319892473118,121.91681100177749
2024-02-29,0.2677165354330709,0.175737,153.75574712643677,136.18430751137515
2024-03-31,0.4409448818897638,0.4029494,187.87231182795696,180.0149230548451
2024-04-30,0.8346456692913385,0.73390466,263.20138888888886,243.8581513123166
2024-05-31,0.8031496062992126,0.8013014,257.39381720430106,256.8593848967745
2024-06-30,0.937007874015748,0.80163944,283.19305555555553,256.9245905565318
2024-07-31,0.7401574803149606,0.7795221,245.24059139784944,252.65802935935477
2024-08-31,0.6850393700787402,0.637046,234.99193548387098,225.17353907227516
2024-09-30,0.4094488188976378,0.48124975,181.27916666666667,195.11952496071655
2024-10-31,0.4645669291338583,0.25285947,191.76209677419354,151.06168994179336
2024-11-30,0.13385826771653545,0.35636094,128.38888888888889,171.02773539746
2024-12-31,0.11811023622047244,0.17153277,124.73924731182795,135.3732869660742
