data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2024-01-31,0.13385826771653545,0.07084005,128.3319892473118,115.94906737100614
2024-02-29,0.2677165354330709,0.24848817,153.75574712643677,150.21844025448925
2024-03-31,0.4409448818897638,0.51269,187.87231182795696,201.18453667096554
2024-04-30,0.8346456692913385,0.7773805,263.20138888888886,252.24490304034885
2024-05-31,0.8031496062992126,0.85693425,257.39381720430106,267.59128675073066
2024-06-30,0.937007874015748,0.901589,283.19305555555553,276.205447672676
2024-07-31,0.7401574803149606,0.7732193,245.24059139784944,251.4421754913625
2024-08-31,0.6850393700787402,0.68693495,234.99193548387098,234.7974161319835
2024-09-30,0.4094488188976378,0.5377388,181.27916666666667,206.0165968556558
2024-10-31,0.4645669291338583,0.25400227,191.76209677419354,151.28214279217747
2024-11-30,0.13385826771653545,0.117852636,128.38888888888889,125.01807255147686
2024-12-31,0.11811023622047244,0.052980732,124.73924731182795,112.50389871356748
