data,ghi_real_normalizado,ghi_previsto_dilatedrnn_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_wm2
2023-10-26,0.08661417322834646,0.30620027,41.583333333333336,121.02343082427979
2023-10-27,0.2677165354330709,0.2666576,105.54166666666669,106.52444998423259
2023-10-28,0.1968503937007874,0.30134898,79.58333333333333,119.2446275552114
2023-10-29,0.03937007874015748,0.26964408,22.375,107.6194965839386
2023-10-30,0.36220472440944884,0.22893012,141.08333333333334,92.69104242324829
2023-10-31,0.15748031496062992,0.29239732,67.20833333333333,115.96235076586406
2023-11-01,0.3543307086614173,0.2567693,138.0,102.89874315261841
2023-11-02,0.3937007874015748,0.2918711,154.41666666666666,115.76940357685089
2023-11-03,0.2283464566929134,0.31762117,93.70833333333331,125.21109620730083
2023-11-04,0.3700787401574803,0.27801132,144.625,110.68748474121094
2023-11-05,0.3700787401574803,0.31956097,143.75,125.92235743999481
2023-11-06,0.13385826771653545,0.32311055,57.25,127.22386856873831
2023-11-07,0.33858267716535434,0.28245285,132.66666666666666,112.31604556242625
2023-11-08,0.28346456692913385,0.30416098,114.125,120.27569353580475
2023-11-09,0.3464566929133858,0.28726745,135.20833333333334,114.08139705657959
2023-11-10,0.3779527559055118,0.29476112,147.04166666666666,116.82907780011496
2023-11-11,0.33858267716535434,0.31347334,134.29166666666666,123.69022607803345
2023-11-12,0.36220472440944884,0.29807422,141.20833333333334,118.04387907187144
2023-11-13,0.36220472440944884,0.319034,141.83333333333334,125.72913706302643
2023-11-14,0.36220472440944884,0.3195535,143.0,125.91961463292441
2023-11-15,0.33858267716535434,0.32178757,134.20833333333334,126.73877418041229
2023-11-16,0.25196850393700787,0.3161571,100.54166666666669,124.67427094777426
2023-11-17,0.31496062992125984,0.28687778,124.54166666666669,113.93851975599925
2023-11-18,0.33858267716535434,0.296654,132.04166666666666,117.52312819163005
2023-11-19,0.2992125984251969,0.308705,118.33333333333331,121.9418340921402
2023-11-20,0.07874015748031496,0.29278308,37.0,116.10379656155905
2023-11-21,0.023622047244094488,0.2526085,17.916666666666668,101.3731195529302
2023-11-22,0.10236220472440945,0.22448371,47.458333333333336,91.06069495280585
2023-11-23,0.31496062992125984,0.20869704,123.29166666666669,85.27224649985632
2023-11-24,0.2047244094488189,0.2661459,84.20833333333333,106.33683542410533
2023-11-25,0.2283464566929134,0.23781888,93.16666666666669,95.95025668541591
2023-11-26,0.023622047244094488,0.23312396,17.875,94.2287846406301
2023-11-27,0.2755905511811024,0.21283185,109.125,86.78834676742554
2023-11-28,0.3228346456692913,0.24710588,127.0,99.3554899096489
2023-11-29,0.30708661417322836,0.27968264,122.70833333333331,111.30029996236166
2023-11-30,0.2440944881889764,0.26769605,99.29166666666669,106.90521935621898
2023-12-01,0.09448818897637795,0.2570102,42.458333333333336,102.98707028230032
2023-12-02,0.05511811023622047,0.23270153,30.20833333333333,94.07389253377914
2023-12-03,0.07874015748031496,0.22157143,38.125,89.99285787343979
2023-12-04,0.047244094488188976,0.20258594,24.875,83.03150971730551
2023-12-05,0.06299212598425197,0.1898108,32.25,78.34729244311652
2023-12-06,0.11811023622047244,0.18286076,52.333333333333336,75.79894602298737
2023-12-07,0.2677165354330709,0.18473934,107.25,76.48775666952133
2023-12-08,0.1889763779527559,0.21573551,76.75,87.85302033027014
2023-12-09,0.2125984251968504,0.21125259,86.20833333333333,86.20928118626277
2023-12-10,0.015748031496062992,0.21355014,15.75,87.05171634753546
2023-12-11,0.2755905511811024,0.19438516,110.16666666666669,80.02455721298854
2023-12-12,0.2755905511811024,0.22536644,109.125,91.38436257839203
2023-12-13,0.2677165354330709,0.23843803,108.04166666666669,96.17727587620418
2023-12-14,0.2755905511811024,0.22719136,110.08333333333331,92.05349822839102
2023-12-15,0.18110236220472442,0.23034875,74.70833333333333,93.21120868126552
2023-12-16,0.023622047244094488,0.2135171,16.416666666666668,87.03960319360098
2023-12-17,0.0,0.20542738,9.5,84.07337208588919
2023-12-18,0.09448818897637795,0.17750072,42.583333333333336,73.83359909057617
2023-12-19,0.23622047244094488,0.17535757,94.95833333333331,73.04777393738429
2023-12-20,0.2283464566929134,0.2007738,91.58333333333331,82.3670619726181
2023-12-21,0.09448818897637795,0.19916202,42.66666666666666,81.77607446908951
2023-12-22,0.015748031496062992,0.18187831,14.458333333333334,75.43871492147446
2023-12-23,0.03937007874015748,0.17559251,22.25,73.13392102718353
2023-12-24,0.14173228346456693,0.16468367,60.54166666666666,69.13401226202647
2023-12-25,0.031496062992125984,0.173707,19.25,72.44256426890692
2023-12-26,0.08661417322834646,0.15981276,40.5,67.34801322221756
2023-12-27,0.11811023622047244,0.1619373,53.04166666666666,68.12700867652893
2023-12-28,0.015748031496062992,0.1622461,15.083333333333334,68.24023415644965
2023-12-29,0.07874015748031496,0.15526876,37.083333333333336,65.68187812964122
2023-12-30,0.25984251968503935,0.15571149,103.70833333333331,65.84421187639236
2023-12-31,0.03937007874015748,0.18929721,23.33333333333333,78.15897852182388
2024-01-01,0.09448818897637795,0.1705081,42.833333333333336,71.26963724692664
2024-01-02,0.2440944881889764,0.16823454,97.33333333333331,70.43599873781204
2024-01-03,0.015748031496062992,0.18785876,15.791666666666666,77.6315454641978
2024-01-04,0.18110236220472442,0.17310922,75.375,72.22338010867438
2024-01-05,0.12598425196850394,0.18335694,55.91666666666666,75.98087827364604
2024-01-06,0.031496062992125984,0.17228258,19.45833333333333,71.92027807235718
2024-01-07,0.03937007874015748,0.16477594,23.166666666666668,69.16784385840099
2024-01-08,0.047244094488188976,0.15527847,26.08333333333333,65.6854405005773
2024-01-09,0.023622047244094488,0.14943908,17.083333333333332,63.54432990153631
2024-01-10,0.023622047244094488,0.1471129,18.125,62.69139885902405
2024-01-11,0.29133858267716534,0.14205009,114.58333333333331,60.835032065709434
2024-01-12,0.07874015748031496,0.19019118,38.125,78.48676582177481
2024-01-13,0.1968503937007874,0.16965379,80.0,70.95638900995255
2024-01-14,0.23622047244094488,0.17467995,95.625,72.79931495587032
2024-01-15,0.2283464566929134,0.18410632,92.75,76.25565071900687
2024-01-16,0.33858267716535434,0.19100478,132.95833333333334,78.78508706887564
2024-01-17,0.2677165354330709,0.22487819,107.625,91.2053370475769
2024-01-18,0.23622047244094488,0.21372412,96.70833333333331,87.11551119883856
2024-01-19,0.33070866141732286,0.21599624,129.125,87.94861972332001
2024-01-20,0.3543307086614173,0.23071893,138.91666666666666,93.34693938493729
2024-01-21,0.2125984251968504,0.24943356,87.125,100.2089727918307
2024-01-22,0.047244094488188976,0.22619426,26.0,91.68789625167847
2024-01-23,0.2283464566929134,0.20149769,92.95833333333331,82.63248592615128
2024-01-24,0.09448818897637795,0.20878915,44.625,85.30602345863979
2024-01-25,0.13385826771653545,0.18766518,56.66666666666666,77.5605657696724
2024-01-26,0.1889763779527559,0.18682331,77.0,77.2518797715505
2024-01-27,0.031496062992125984,0.19055358,20.5,78.61964444319408
2024-01-28,0.07874015748031496,0.16913104,36.25,70.76471487681071
2024-01-29,0.2125984251968504,0.17311595,85.54166666666667,72.22584972778957
2024-01-30,0.07874015748031496,0.18813625,37.208333333333336,77.73329158624014
2024-01-31,0.15748031496062992,0.17417271,66.66666666666667,72.61332859595618
2024-02-01,0.2047244094488189,0.1802866,84.125,74.8550871014595
2024-02-02,0.2677165354330709,0.18686993,107.625,77.26897587378821
2024-02-03,0.3937007874015748,0.20932804,152.5,85.5036148428917
2024-02-04,0.33858267716535434,0.25777164,132.45833333333334,103.2662683725357
2024-02-05,0.4015748031496063,0.25410888,155.875,101.92325452963512
2024-02-06,0.31496062992125984,0.2870789,125.54166666666669,114.01225864887238
2024-02-07,0.18110236220472442,0.2732517,76.41666666666667,108.94229451815288
2024-02-08,0.23622047244094488,0.25269404,94.875,101.40448153018951
2024-02-09,0.3779527559055118,0.24304838,146.75,97.86774108807246
2024-02-10,0.25984251968503935,0.29380643,102.83333333333331,116.47902568181357
2024-02-11,0.41732283464566927,0.2583142,160.5,103.46520384152731
2024-02-12,0.4409448818897638,0.3066613,170.54166666666666,121.19247953097026
2024-02-13,0.23622047244094488,0.33182684,94.45833333333331,130.41983981927237
2024-02-14,0.44881889763779526,0.28795218,173.91666666666666,114.33246771494548
2024-02-15,0.3228346456692913,0.33798966,127.95833333333331,132.6795413096746
2024-02-16,0.05511811023622047,0.30473727,30.33333333333333,120.48699895540874
2024-02-17,0.4881889763779528,0.26686364,187.83333333333331,106.60000284512839
2024-02-18,0.49606299212598426,0.37088183,189.79166666666663,144.7400027513504
2024-02-19,0.4881889763779528,0.40386766,187.75,156.83480938275656
2024-02-20,0.47244094488188976,0.35570446,181.04166666666663,139.17496740818024
2024-02-21,0.30708661417322836,0.35048184,121.41666666666669,137.26000726222992
2024-02-22,0.3464566929133858,0.32593364,135.95833333333334,128.25899958610535
2024-02-23,0.48031496062992124,0.3474042,184.83333333333331,136.13154431184134
