data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.047244094488188976,0.10495656,90.82392473118279,105.99562510170382
2024-02-29,0.18110236220472442,0.30247125,126.60632183908045,161.0978787704808
2024-03-31,0.4015748031496063,0.39857328,189.37231182795696,187.90823081282625
2024-04-30,0.6850393700787402,0.6727589,268.85,264.39998103418924
2024-05-31,0.905511811023622,0.7873194,329.3817204301075,296.3598528204532
2024-06-30,0.984251968503937,0.95996547,351.7125,344.52430166291293
2024-07-31,0.9448818897637795,0.92564845,339.43817204301075,334.9506089439422
2024-08-31,0.8031496062992126,0.7886371,300.78629032258067,296.7274565209491
2024-09-30,0.6220472440944882,0.6386934,249.20416666666668,254.8964600986397
2024-10-31,0.4094488188976378,0.38526687,190.11021505376343,184.19603538534415
2024-11-30,0.15748031496062992,0.1996267,119.65277777777779,132.40651137992592
2024-12-31,0.05511811023622047,0.049306102,91.68279569892472,90.47037160262951
