data,ghi_real_normalizado,ghi_previsto_dilatedrnn_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_wm2
2024-01-31,0.047244094488188976,0.13296333,90.82392473118279,113.80889775393176
2024-02-29,0.18110236220472442,0.22178581,126.60632183908045,138.58841685904423
2024-03-31,0.4015748031496063,0.34882557,189.37231182795696,174.02971534996584
2024-04-30,0.6850393700787402,0.6492183,268.85,257.8326836400455
2024-05-31,0.905511811023622,0.8433326,329.3817204301075,311.9862941975048
2024-06-30,0.984251968503937,0.91279995,351.7125,331.3661610818945
2024-07-31,0.9448818897637795,0.8977237,339.43817204301075,327.160210713413
2024-08-31,0.8031496062992126,0.8019943,300.78629032258067,300.4538276463854
2024-09-30,0.6220472440944882,0.6300691,249.20416666666668,252.49046586006614
2024-10-31,0.4094488188976378,0.39504394,190.11021505376343,186.92362258395707
2024-11-30,0.15748031496062992,0.18937288,119.65277777777779,129.54592204631427
2024-12-31,0.05511811023622047,0.095312364,91.68279569892472,103.3051067296766
