data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,41.924731182795696,0.13852091,73.22133159106363
2024-02-29,114.98132183908045,0.34030536,127.76302569365548
2024-03-31,135.19220430107526,0.53582144,180.61040008954674
2024-04-30,201.80972222222223,0.53582144,180.61040008954674
2024-05-31,252.0793010752688,0.53582144,180.61040008954674
2024-06-30,250.30694444444444,0.53582144,180.61040008954674
2024-07-31,255.49193548387098,0.5359137,180.63533983376928
2024-08-31,227.54973118279568,0.5362199,180.71810176275588
2024-09-30,189.1625,0.5197267,176.2600419282459
2024-10-31,147.20833333333331,0.3035958,117.84055190117473
2024-11-30,66.01666666666667,0.13575712,72.47428716928113
2024-12-31,43.62231182795699,0.118249245,67.74196466144781
