data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,41.924731182795696,0.48269022,166.24919959761226
2024-02-29,114.98132183908045,0.48608658,167.16722546028484
2024-03-31,135.19220430107526,0.4853513,166.9684808319067
2024-04-30,201.80972222222223,0.4841824,166.6525290722501
2024-05-31,252.0793010752688,0.4802758,165.59659351284301
2024-06-30,250.30694444444444,0.47550437,164.30688812871423
2024-07-31,255.49193548387098,0.47221804,163.4186030721365
2024-08-31,227.54973118279568,0.46937156,162.6492087406817
2024-09-30,189.1625,0.46845996,162.40280793438993
2024-10-31,147.20833333333331,0.46915376,162.59033934443545
2024-11-30,66.01666666666667,0.4712465,163.1560027097622
2024-12-31,43.62231182795699,0.47676864,164.64861740177915
