data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2
2023-10-26,0.3937007874015748,0.3937007874015748,147.875,0.44573477,165.7972169816494,0.4225561950472033,157.6306327216313
2023-10-27,0.3543307086614173,0.3543307086614173,132.91666666666666,0.4375881,162.92687237262726,0.40904348632305504,152.86965501448972
2023-10-28,0.5275590551181102,0.5275590551181102,194.75,0.40695903,152.13523053129512,0.42500970573642594,158.49508632113407
2023-10-29,0.5511811023622047,0.5511811023622047,201.83333333333331,0.44502738,165.54798063635826,0.47766221356785254,177.04631991374004
2023-10-30,0.5511811023622047,0.5511811023622047,201.83333333333331,0.4649865,172.58024460077286,0.4998428561627509,184.8612996546759
2023-10-31,0.48031496062992124,0.48031496062992124,177.125,0.4741579,175.81163329879442,0.4944842939490438,182.97329956804643
2023-11-01,0.5590551181102362,0.5590551181102362,206.95833333333331,0.4561994,169.48425793647766,0.4457854463016969,165.81507224696455
2023-11-02,0.5590551181102362,0.5590551181102362,207.0,0.46943063,174.14605702956516,0.48440540132786947,179.42216973451934
2023-11-03,0.3700787401574803,0.3700787401574803,138.33333333333334,0.46006414,170.845933030049,0.48334455331558335,179.04839761819053
2023-11-04,0.5354330708661418,0.5354330708661418,198.0,0.4452596,165.6297993759314,0.42334194294832017,157.90747789879146
2023-11-05,0.5275590551181102,0.5275590551181102,195.04166666666663,0.48918086,181.10472402969995,0.4748273774049585,176.04751263901372
2023-11-06,0.5196850393700787,0.5196850393700787,190.75,0.4557889,169.33962609370548,0.48521607245185705,179.70779619387096
2023-11-07,0.5039370078740157,0.5039370078740157,186.83333333333331,0.4529783,168.34935893615085,0.4646557944755886,172.46372492023238
2023-11-08,0.5039370078740157,0.5039370078740157,185.04166666666663,0.43802562,163.08102803428966,0.4675045595195967,173.46743980407123
2023-11-09,0.4094488188976378,0.4094488188976378,152.33333333333334,0.4439019,165.15143485864002,0.46286870195076324,171.83407265398557
2023-11-10,0.4015748031496063,0.4015748031496063,151.29166666666666,0.4460833,165.92001859347025,0.3998837621807243,149.64237887500852
2023-11-11,0.06299212598425197,0.06299212598425197,29.95833333333333,0.4041638,151.15038155515987,0.4177892669504547,155.95108505554353
2023-11-12,0.07874015748031496,0.07874015748031496,35.625,0.33161122,125.58768512805302,0.32326200340084643,122.64597919823156
2023-11-13,0.2047244094488189,0.2047244094488189,80.25,0.3410012,128.89609390497208,0.37293085696253103,140.1459719364651
2023-11-14,0.2755905511811024,0.2755905511811024,106.16666666666669,0.48661822,180.2018197973569,0.41068377384403687,153.4475829843823
2023-11-15,0.09448818897637795,0.09448818897637795,43.29166666666666,0.39580524,148.20537944634754,0.37981611257486947,142.57187699721234
2023-11-16,0.15748031496062992,0.15748031496062992,64.0,0.32000127,121.49711566170056,0.2976376771511172,113.61767491624363
2023-11-17,0.2283464566929134,0.2283464566929134,88.625,0.38684717,145.0491522649924,0.32308323709120923,122.58299386846937
2023-11-18,0.4409448818897638,0.4409448818897638,163.20833333333334,0.44713104,166.28916895389557,0.3489654101060934,131.70214616071357
2023-11-19,0.4409448818897638,0.4409448818897638,164.875,0.39262766,147.08581095933914,0.41092412036555576,153.53226507546412
2023-11-20,0.15748031496062992,0.15748031496062992,64.0,0.37450507,140.70062066117922,0.3962863899875516,148.37490473894735
2023-11-21,0.12598425196850394,0.12598425196850394,54.5,0.32261693,122.41870001951852,0.26848749252455406,103.34709319948455
2023-11-22,0.2125984251968504,0.2125984251968504,83.5,0.33330914,126.18592165907224,0.2763374053614709,106.11287915569157
2023-11-23,0.4015748031496063,0.4015748031496063,151.04166666666666,0.30251288,115.33537284533182,0.3265533309930877,123.80562361989789
2023-11-24,0.28346456692913385,0.28346456692913385,108.375,0.33530137,126.88784916202226,0.3730455849677274,140.18639443696262
2023-11-25,0.3464566929133858,0.3464566929133858,130.08333333333334,0.27821484,106.7743626932303,0.30921521988967443,117.69682914112862
2023-11-26,0.023622047244094488,0.023622047244094488,16.5,0.2938087,112.26859815915425,0.33554322186208446,126.97306183607442
2023-11-27,0.4251968503937008,0.4251968503937008,157.375,0.27299228,104.93428108096123,0.2414082339102558,93.80616774771345
2023-11-28,0.3700787401574803,0.3700787401574803,138.70833333333334,0.4048332,151.3862299521764,0.39709624745543587,148.6602445201319
2023-11-29,0.44881889763779526,0.44881889763779526,168.0,0.36154038,136.13272621234256,0.3570268825017062,134.5424716014345
2023-11-30,0.3464566929133858,0.3464566929133858,130.0,0.35033745,132.1855600476265,0.36189554316173594,136.2578630406516
2023-12-01,0.2047244094488189,0.2047244094488189,81.83333333333333,0.29268482,111.87261940042177,0.3069213673340863,116.88862842404308
2023-12-02,0.03937007874015748,0.03937007874015748,23.45833333333333,0.29604426,113.05626103281975,0.2618967379861752,101.02495068379572
2023-12-03,0.07874015748031496,0.07874015748031496,37.625,0.23789217,92.56733974317709,0.2545291057461526,98.42908825789443
2023-12-04,0.2125984251968504,0.2125984251968504,84.70833333333333,0.37480012,140.80457414189974,0.32537941582380836,123.39201417525514
2023-12-05,0.4094488188976378,0.4094488188976378,152.29166666666666,0.37012166,139.1561974485715,0.33847569478715966,128.0062697966759
2023-12-06,0.4015748031496063,0.4015748031496063,150.875,0.31080484,118.25690666834512,0.3586867546526427,135.12729988928112
2023-12-07,0.4251968503937008,0.4251968503937008,159.58333333333334,0.31958187,121.3493442138036,0.32350710890411316,122.73233803721587
2023-12-08,0.23622047244094488,0.23622047244094488,91.29166666666669,0.31110963,118.3642937640349,0.32360957509650773,122.76844029233622
2023-12-09,0.3700787401574803,0.3700787401574803,138.45833333333334,0.3381208,127.88122442364693,0.24065108201575608,93.53939789688472
2023-12-10,0.07874015748031496,0.07874015748031496,36.958333333333336,0.36102483,135.95108063022295,0.31352384628429614,119.21490184083366
2023-12-11,0.4251968503937008,0.4251968503937008,157.625,0.2768966,106.30990064144135,0.22763387032307358,88.95300031049625
2023-12-12,0.4015748031496063,0.4015748031496063,150.70833333333334,0.34469497,130.19752848148346,0.35383969815435257,133.41952031638357
2023-12-13,0.33070866141732286,0.33070866141732286,125.91666666666669,0.28292632,108.43437377611795,0.3437196703560479,129.85389718878088
2023-12-14,0.2992125984251969,0.2992125984251969,114.16666666666669,0.27276176,104.85306086142857,0.29982002921051487,114.38659029183806
2023-12-15,0.4015748031496063,0.4015748031496063,150.70833333333334,0.31417343,119.44377190868059,0.2709230840560338,104.20523328240924
2023-12-16,0.13385826771653545,0.13385826771653545,55.208333333333336,0.31122413,118.40463611483574,0.33049535077827263,125.19452859087805
2023-12-17,0.023622047244094488,0.023622047244094488,16.5,0.22659749,88.58784824609756,0.23548998369525193,91.72097092196043
2023-12-18,0.4094488188976378,0.4094488188976378,154.33333333333334,0.2536558,98.12139046192169,0.2783692012385619,106.82874856971998
2023-12-19,0.4330708661417323,0.4330708661417323,159.95833333333334,0.3686737,138.64603786667186,0.38602987159640323,144.7611914257994
2023-12-20,0.3543307086614173,0.3543307086614173,133.16666666666666,0.35983762,135.5327886243661,0.36018667838501345,135.65577301765308
2023-12-21,0.3937007874015748,0.3937007874015748,148.375,0.28879344,110.50155699253082,0.29241580439493864,111.7778350818167
2023-12-22,0.23622047244094488,0.23622047244094488,92.375,0.3218434,122.14615289370218,0.3244018458649257,123.04758369307548
2023-12-23,0.3858267716535433,0.3858267716535433,144.70833333333334,0.24580215,95.35429055988789,0.25186244581290607,97.48953507474724
2023-12-24,0.2125984251968504,0.2125984251968504,85.0,0.35165617,132.65019010504085,0.33865682549341775,128.07008818218083
2023-12-25,0.015748031496062992,0.015748031496062992,13.25,0.21422294,84.22788175940514,0.2619735872522952,101.052027241892
2023-12-26,0.08661417322834646,0.08661417322834646,38.16666666666666,0.17656428,70.95947998762131,0.26707866089894683,102.85071485672893
2023-12-27,0.2677165354330709,0.2677165354330709,104.20833333333331,0.37389094,140.48423991600671,0.3197981344745924,121.42554271321471
2023-12-28,0.25984251968503935,0.25984251968503935,100.20833333333331,0.3744093,140.6668725311756,0.34797928581951354,131.3547017037419
2023-12-29,0.3937007874015748,0.3937007874015748,147.29166666666666,0.30999103,117.9701735675335,0.2974676987331317,113.55778585364007
2023-12-30,0.3779527559055118,0.3779527559055118,141.45833333333334,0.30228004,115.25333359837532,0.3244893375373477,123.07840992565883
2023-12-31,0.41732283464566927,0.41732283464566927,156.95833333333334,0.2872945,109.97343130906422,0.30549017443434123,116.38437145903289
2024-01-01,0.4015748031496063,0.4015748031496063,149.16666666666666,0.23955548,93.15338011582692,0.3370807223084414,127.51477449334084
2024-01-02,0.4251968503937008,0.4251968503937008,159.41666666666666,0.29933423,114.21542634566624,0.32193578120886757,122.178706912591
2024-01-03,0.1889763779527559,0.1889763779527559,75.95833333333333,0.32329565,122.65783502658208,0.3309373629657747,125.35026421827462
2024-01-04,0.4251968503937008,0.4251968503937008,159.04166666666666,0.24637547,95.55629107356071,0.24010145848560194,93.34574720642708
2024-01-05,0.4015748031496063,0.4015748031496063,149.20833333333334,0.3435806,129.80489933490753,0.3561910551654415,134.24798176995722
2024-01-06,0.2992125984251969,0.2992125984251969,113.875,0.3030193,115.51379481951395,0.3430871745259678,129.63104782464933
2024-01-07,0.3464566929133858,0.3464566929133858,131.83333333333334,0.26389182,101.72788321971893,0.28958066007357536,110.77891923258971
2024-01-08,0.18110236220472442,0.18110236220472442,72.20833333333333,0.29349914,112.1595310072104,0.3139325573502232,119.35890437306196
2024-01-09,0.0,0.0,7.541666666666667,0.23968914,93.20047419269879,0.25859259141361657,99.86078970806423
2024-01-10,0.44881889763779526,0.44881889763779526,165.91666666666666,0.18056567,72.3693044433991,0.24614652502740153,95.47562565132114
2024-01-11,0.1889763779527559,0.1889763779527559,76.29166666666667,0.38951683,145.9897632598877,0.40675084265830164,152.0618802299416
2024-01-12,0.10236220472440945,0.10236220472440945,45.333333333333336,0.22924173,89.51950244108835,0.27548310803928633,105.81188173250854
2024-01-13,0.33858267716535434,0.33858267716535434,129.41666666666666,0.28990096,110.89177105824152,0.2507441082908346,97.09550748780406
2024-01-14,0.4094488188976378,0.4094488188976378,153.875,0.35382316,133.41369166970253,0.3267839151839009,123.88686611646106
2024-01-15,0.4015748031496063,0.4015748031496063,151.625,0.38019708,142.7061038116614,0.33856293977136176,128.03700911277645
2024-01-16,0.11811023622047244,0.11811023622047244,49.91666666666666,0.25366542,98.12478207548459,0.33257197527062277,125.92619262034941
2024-01-17,0.47244094488188976,0.47244094488188976,174.91666666666666,0.23553315,91.7361791630586,0.25584977102484147,98.89440265775247
2024-01-18,0.41732283464566927,0.41732283464566927,154.58333333333334,0.35915652,135.29281358917552,0.38501226181256737,144.4026535786279
2024-01-19,0.4645669291338583,0.4645669291338583,171.79166666666666,0.31975332,121.40975273648897,0.3480491992260286,131.37933452730408
2024-01-20,0.48031496062992124,0.48031496062992124,177.33333333333334,0.34010297,128.57961330811182,0.3493159036086524,131.82563670478186
2024-01-21,0.4645669291338583,0.4645669291338583,171.45833333333334,0.2923168,111.74295055866241,0.36460948133244275,137.21407392279733
2024-01-22,0.3464566929133858,0.3464566929133858,130.41666666666666,0.37562254,141.0943418443203,0.3569623218883069,134.51972474531345
2024-01-23,0.07874015748031496,0.07874015748031496,37.625,0.305551,116.40579968690872,0.2922162877150949,111.70753870495176
2024-01-24,0.2204724409448819,0.2204724409448819,86.29166666666667,0.32099736,121.84806891282399,0.25722254156724,99.37807547885755
2024-01-25,0.3858267716535433,0.3858267716535433,144.08333333333334,0.255741,98.85607906182607,0.3093664546729381,117.75011419643185
2024-01-26,0.31496062992125984,0.31496062992125984,119.16666666666669,0.33870655,128.0876088341077,0.3763872219553933,141.3637645356169
2024-01-27,0.31496062992125984,0.31496062992125984,118.79166666666669,0.2754333,105.79433337847391,0.3127636613194013,118.94706333820238
2024-01-28,0.49606299212598426,0.49606299212598426,182.20833333333331,0.28452918,108.99911418557167,0.31325153977240244,119.11895917980979
2024-01-29,0.49606299212598426,0.49606299212598426,184.91666666666663,0.3764519,141.38655612866083,0.3858901529379073,144.71196388512266
2024-01-30,0.5118110236220472,0.5118110236220472,189.29166666666663,0.33091572,125.34263842304547,0.38964391363633094,146.03453890453392
2024-01-31,0.3858267716535433,0.3858267716535433,144.79166666666666,0.4005207,149.86679757634798,0.3890512213475248,145.8257136547779
2024-02-01,0.49606299212598426,0.49606299212598426,183.04166666666663,0.28819716,110.29146595795949,0.3332674250253927,126.17122275061335
2024-02-02,0.4566929133858268,0.4566929133858268,169.625,0.34112862,128.94098290801048,0.383431218393813,143.84559928075345
2024-02-03,0.4645669291338583,0.4645669291338583,173.58333333333334,0.36948982,138.93357949455577,0.3718221724635168,139.7553454313124
2024-02-04,0.031496062992125984,0.031496062992125984,21.041666666666668,0.43309927,161.34530941645303,0.3848785155598235,144.3555303155778
2024-02-05,0.08661417322834646,0.08661417322834646,39.79166666666666,0.31214106,118.72770043214162,0.2740917966345878,105.32167634758643
2024-02-06,0.5433070866141733,0.5433070866141733,200.16666666666663,0.31472507,119.6381334165732,0.31547888325956175,119.90372653511892
2024-02-07,0.5590551181102362,0.5590551181102362,205.875,0.38047132,142.80272804697353,0.46757278724507123,173.49147870601342
2024-02-08,0.47244094488188976,0.47244094488188976,174.66666666666666,0.4087315,152.75972844163576,0.4576689884212555,170.00204025375567
2024-02-09,0.3464566929133858,0.3464566929133858,131.75,0.3869316,145.078899761041,0.3888713780227878,145.76234885669555
2024-02-10,0.33858267716535434,0.33858267716535434,127.91666666666669,0.26080993,100.64203136165936,0.3462021948544807,130.72857332039536
2024-02-11,0.1732283464566929,0.1732283464566929,68.79166666666667,0.34963962,131.93969431519508,0.32900270887717864,124.6686210943926
2024-02-12,0.015748031496062992,0.015748031496062992,14.625,0.25639197,99.08543824156125,0.2654295256144848,102.2696695248368
2024-02-13,0.5511811023622047,0.5511811023622047,204.16666666666663,0.15743814,64.22070610026518,0.31845658303534163,120.95286942278537
2024-02-14,0.5905511811023622,0.5905511811023622,217.41666666666663,0.47683305,176.7541763583819,0.4817073361736469,178.47155144518157
2024-02-15,0.5275590551181102,0.5275590551181102,193.54166666666663,0.42546374,158.6550563375155,0.4847496960508365,179.54347624191138
2024-02-16,0.33858267716535434,0.33858267716535434,127.33333333333331,0.4419839,164.47566373149553,0.4174609091329444,155.8353936511741
2024-02-17,0.1732283464566929,0.1732283464566929,68.66666666666667,0.39853683,149.16781017184258,0.32724212910923967,124.04831015615544
2024-02-18,0.12598425196850394,0.12598425196850394,52.0,0.26932013,103.64045925935109,0.2596348614226409,100.22801617457715
2024-02-19,0.5275590551181102,0.5275590551181102,194.33333333333331,0.18060152,72.38193636635938,0.28410478180166704,108.84958478812068
2024-02-20,0.6062992125984252,0.6062992125984252,222.45833333333331,0.43617025,162.4273181458314,0.4569750003000126,169.75752510570442
2024-02-21,0.6220472440944882,0.6220472440944882,227.33333333333331,0.5228964,192.98383478323618,0.49115951227746,181.80186815909173
2024-02-22,0.5905511811023622,0.5905511811023622,215.875,0.519254,191.7005028128624,0.468119792195702,173.684206783619
2024-02-23,0.25196850393700787,0.25196850393700787,97.58333333333331,0.5179759,191.25018473466235,0.45349414018857737,168.5311020597754
2024-02-24,0.4881889763779528,0.4881889763779528,182.08333333333331,0.48487285,179.58686670660973,0.28894809395612653,110.55604510387523
2024-02-25,0.6377952755905512,0.6377952755905512,234.79166666666663,0.40482888,151.38470740119615,0.4168240968634733,155.61102346156375
2024-02-26,0.6377952755905512,0.6377952755905512,234.0,0.5236269,193.24121940135956,0.5109878380497598,188.78804827286535
2024-02-27,0.4881889763779528,0.4881889763779528,180.58333333333331,0.5517533,203.15107321739197,0.5106275198959073,188.661096176658
