data,ghi_real,ghi_previsto_mlp
2023-10-26,0.3937007874015748,0.4225561950472033
2023-10-27,0.3543307086614173,0.40904348632305504
2023-10-28,0.5275590551181102,0.42500970573642594
2023-10-29,0.5511811023622047,0.47766221356785254
2023-10-30,0.5511811023622047,0.4998428561627509
2023-10-31,0.48031496062992124,0.4944842939490438
2023-11-01,0.5590551181102362,0.4457854463016969
2023-11-02,0.5590551181102362,0.48440540132786947
2023-11-03,0.3700787401574803,0.48334455331558335
2023-11-04,0.5354330708661418,0.42334194294832017
2023-11-05,0.5275590551181102,0.4748273774049585
2023-11-06,0.5196850393700787,0.48521607245185705
2023-11-07,0.5039370078740157,0.4646557944755886
2023-11-08,0.5039370078740157,0.4675045595195967
2023-11-09,0.4094488188976378,0.46286870195076324
2023-11-10,0.4015748031496063,0.3998837621807243
2023-11-11,0.06299212598425197,0.4177892669504547
2023-11-12,0.07874015748031496,0.32326200340084643
2023-11-13,0.2047244094488189,0.37293085696253103
2023-11-14,0.2755905511811024,0.41068377384403687
2023-11-15,0.09448818897637795,0.37981611257486947
2023-11-16,0.15748031496062992,0.2976376771511172
2023-11-17,0.2283464566929134,0.32308323709120923
2023-11-18,0.4409448818897638,0.3489654101060934
2023-11-19,0.4409448818897638,0.41092412036555576
2023-11-20,0.15748031496062992,0.3962863899875516
2023-11-21,0.12598425196850394,0.26848749252455406
2023-11-22,0.2125984251968504,0.2763374053614709
2023-11-23,0.4015748031496063,0.3265533309930877
2023-11-24,0.28346456692913385,0.3730455849677274
2023-11-25,0.3464566929133858,0.30921521988967443
2023-11-26,0.023622047244094488,0.33554322186208446
2023-11-27,0.4251968503937008,0.2414082339102558
2023-11-28,0.3700787401574803,0.39709624745543587
2023-11-29,0.44881889763779526,0.3570268825017062
2023-11-30,0.3464566929133858,0.36189554316173594
2023-12-01,0.2047244094488189,0.3069213673340863
2023-12-02,0.03937007874015748,0.2618967379861752
2023-12-03,0.07874015748031496,0.2545291057461526
2023-12-04,0.2125984251968504,0.32537941582380836
2023-12-05,0.4094488188976378,0.33847569478715966
2023-12-06,0.4015748031496063,0.3586867546526427
2023-12-07,0.4251968503937008,0.32350710890411316
2023-12-08,0.23622047244094488,0.32360957509650773
2023-12-09,0.3700787401574803,0.24065108201575608
2023-12-10,0.07874015748031496,0.31352384628429614
2023-12-11,0.4251968503937008,0.22763387032307358
2023-12-12,0.4015748031496063,0.35383969815435257
2023-12-13,0.33070866141732286,0.3437196703560479
2023-12-14,0.2992125984251969,0.29982002921051487
2023-12-15,0.4015748031496063,0.2709230840560338
2023-12-16,0.13385826771653545,0.33049535077827263
2023-12-17,0.023622047244094488,0.23548998369525193
