data,ghi_real_normalizado,ghi_previsto_mlp_normalizado,ghi_real_wm2,ghi_previsto_mlp_wm2
2024-01-31,0.06507438407131194,0.1084771542973471,66.06854838709677,76.6836175713704
2024-02-29,0.39920528631656377,0.24647770943230243,147.78735632183907,110.43458398657418
2024-03-31,0.5027725721445804,0.39849446216104906,173.11693548387098,147.61350917914874
2024-04-30,0.5875797561015821,0.664122990126206,193.85833333333332,212.5786067289712
2024-05-31,0.8760668494897258,0.7572516351600461,264.4139784946237,235.3551946039747
2024-06-30,0.9413564811507228,0.8981830887833001,280.38194444444446,269.822974486691
2024-07-31,0.9021603530426847,0.906025413777532,270.79569892473114,271.7409816080289
2024-08-31,0.824154626540852,0.7537215106308947,251.71774193548387,234.49182768267235
2024-09-30,0.6396095866696709,0.5656220633862665,206.58333333333334,188.48811327396297
2024-10-31,0.4804600985925555,0.3287858645642087,167.65994623655914,130.564791266086
2024-11-30,0.10203615060370078,0.18982249529614484,75.10833333333333,96.57834820777126
2024-12-31,0.04559768301998778,0.051504619494366154,61.30510752688172,62.74977428469673
