data,ghi_real_normalizado,ghi_previsto_climatologia_normalizado,ghi_real_wm2,ghi_previsto_climatologia_wm2
2024-01-31,0.06507438407131194,0.09308313319887228,66.06854838709677,72.91868279569893
2024-02-29,0.39920528631656377,0.3016173054378593,147.78735632183907,123.92014316502463
2024-03-31,0.5027725721445804,0.37067558432850983,173.11693548387098,140.80981182795696
2024-04-30,0.5875797561015821,0.639413665565698,193.85833333333332,206.53541666666666
2024-05-31,0.8760668494897258,0.7460472299009128,264.4139784946237,232.61491935483872
2024-06-30,0.9413564811507228,0.9439148132475274,280.38194444444446,281.0076388888889
2024-07-31,0.9021603530426847,0.8928259352278783,270.79569892473114,268.5127688172043
2024-08-31,0.824154626540852,0.7953764817735667,251.71774193548387,244.67943548387095
2024-09-30,0.6396095866696709,0.6034749204499864,206.58333333333334,197.7458333333333
2024-10-31,0.4804600985925555,0.3136015409895526,167.65994623655914,126.85114247311827
2024-11-30,0.10203615060370078,0.1937542019077348,75.10833333333333,97.53993055555556
2024-12-31,0.04559768301998778,0.04937459125856637,61.30510752688172,62.22883064516129
