data,ghi_real_normalizado,ghi_previsto_sazonalingenuo_normalizado,ghi_real_wm2,ghi_previsto_sazonalingenuo_wm2
2024-01-31,0.06507438407131194,0.0,66.06854838709677,50.153225806451616
2024-02-29,0.39920528631656377,0.279072163815323,147.78735632183907,118.40625
2024-03-31,0.5027725721445804,0.34937706431597976,173.11693548387098,135.6008064516129
2024-04-30,0.5875797561015821,0.6853245109299976,193.85833333333332,217.76388888888886
2024-05-31,0.8760668494897258,0.8965602519221151,264.4139784946237,269.4260752688172
2024-06-30,0.9413564811507228,0.9698814581146509,280.38194444444446,287.35833333333335
2024-07-31,0.9021603530426847,0.9582437994954961,270.79569892473114,284.51209677419354
2024-08-31,0.824154626540852,0.754727661421953,251.71774193548387,234.73790322580646
2024-09-30,0.6396095866696709,0.5758699208438437,206.58333333333334,190.99444444444444
2024-10-31,0.4804600985925555,0.30526321574403303,167.65994623655914,124.81182795698925
2024-11-30,0.10203615060370078,0.2460410014600198,75.10833333333333,110.32777777777778
2024-12-31,0.04559768301998778,0.01985590318804577,61.30510752688172,55.009408602150536
