data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.12598425196850394,0.12713903,133.8051075268817,133.4576216543554
2024-02-29,0.2440944881889764,0.21551926,158.33908045977012,152.29615329931022
2024-03-31,0.3858267716535433,0.34528613,188.81854838709677,179.9563795103822
2024-04-30,0.5196850393700787,0.50394017,216.54722222222225,213.77399867404534
2024-05-31,0.5826771653543307,0.67898256,229.73655913978493,251.08484893091907
2024-06-30,0.8976377952755905,0.84974307,297.1555555555555,287.4830029791081
2024-07-31,0.7637795275590551,0.8857178,269.8413978494624,295.1511350669848
2024-08-31,0.8503937007874016,0.7961623,286.88440860215053,276.0620909402127
2024-09-30,0.6377952755905512,0.611077,242.84305555555554,236.6105629140011
2024-10-31,0.5118110236220472,0.473608,215.73655913978493,207.30859711373688
2024-11-30,0.2125984251968504,0.26698047,151.6361111111111,163.26527512474087
2024-12-31,0.03937007874015748,0.030263608,115.30107526881721,112.80831262000126
