Localidade,Pais,Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2
BYD Camacari,Brasil,XGBoost,0.12393405055297824,0.025571751939067265,0.15991170044454928,0.3513528586868291,0.23684831715002716,23.684831715002716,39.644438769306994,2616.5360938080585,51.15208787340023,0.35215161970260567,0.20957821077356148,20.957821077356147,0.12393405055297824,0.025571751939067265,0.15991170044454928,0.3513528586868291
BYD Camacari,Brasil,MLP,0.12117628053245212,0.0241099259379327,0.1552737129649855,0.38843319870391524,0.22997890405240026,22.997890405240025,38.74868849382596,2466.878946820377,49.66768513651887,0.38920638860311474,0.2034963775073822,20.34963775073822,0.12117628053245212,0.0241099259379327,0.1552737129649855,0.38843319870391524
BYD Camacari,Brasil,RNN,0.12344985341126555,0.025020076445997318,0.15817735756421436,0.3653465315632526,0.23427954831431028,23.427954831431027,39.47303617059083,2561.0364549143646,50.60668389565122,0.3658932039480731,0.20734360423925305,20.734360423925306,0.12344985341126555,0.025020076445997318,0.15817735756421436,0.3653465315632526
BYD Camacari,Brasil,LSTM,0.12699353211930745,0.02564762745369988,0.16014876663184102,0.3494282179434265,0.23719944047219266,23.719944047219265,40.60033849370397,2624.713262038218,51.23195547739924,0.3501269714640949,0.209905441004834,20.990544100483397,0.12699353211930745,0.02564762745369988,0.16014876663184102,0.3494282179434265
Tesla Gigafactory Nevada,EUA,XGBoost,0.07371503796390978,0.010324501854739323,0.10160955592236058,0.8596395569863697,0.19901734897159604,19.901734897159603,28.47052443898738,1541.0811727121365,39.25660673965768,0.8596071603714047,0.1912619474592492,19.12619474592492,0.07371503796390978,0.010324501854739323,0.10160955592236058,0.8596395569863697
Tesla Gigafactory Nevada,EUA,MLP,0.07533776102377944,0.010989987520512553,0.10483314132712304,0.8505923541109812,0.20533121793417236,20.533121793417237,29.06833719816802,1640.6593600292158,40.5050535122374,0.8505355652276463,0.19734449969323006,19.734449969323006,0.07533776102377944,0.010989987520512553,0.10483314132712304,0.8505923541109812
Tesla Gigafactory Nevada,EUA,RNN,0.07620075337966932,0.010497074720062685,0.10245523276076574,0.857293448266577,0.20067373218219361,20.067373218219362,29.431620596342356,1567.7544371665342,39.594878926024435,0.8571772200118537,0.1929100419459906,19.29100419459906,0.07620075337966932,0.010497074720062685,0.10245523276076574,0.857293448266577
Tesla Gigafactory Nevada,EUA,LSTM,0.07684165042958854,0.011587907407093994,0.10764714305123937,0.8424637004143666,0.2108428566580248,21.08428566580248,29.662730002232333,1730.6064495506896,41.6005582841227,0.8423413652478857,0.20268190385327972,20.268190385327973,0.07684165042958854,0.011587907407093994,0.10764714305123937,0.8424637004143666
Tesla Gigafactory Texas,EUA,XGBoost,0.12296045709017467,0.025111930129451673,0.1584674418593664,0.5538990965804549,0.3060972670374238,30.60972670374238,43.65325112292131,3166.1271381375054,56.26834934612447,0.5536516415023326,0.2870560741026012,28.70560741026012,0.12296045709017467,0.025111930129451673,0.1584674418593664,0.5538990965804549
Tesla Gigafactory Texas,EUA,MLP,0.11981783987217448,0.024115852194191375,0.1552927950491953,0.5715939238798806,0.29996508808002736,29.996508808002737,42.51982744112671,3039.1409420857267,55.128404131497646,0.5715536642849417,0.2812405809913685,28.12405809913685,0.11981783987217448,0.024115852194191375,0.1552927950491953,0.5715939238798806
Tesla Gigafactory Texas,EUA,RNN,0.12116581830756236,0.02393015687803576,0.15469375190367501,0.574892708476316,0.2988079704568124,29.88079704568124,42.98775759930102,3015.7408384002315,54.91576129309537,0.574852520399368,0.28015577187421614,28.015577187421613,0.12116581830756236,0.02393015687803576,0.15469375190367501,0.574892708476316
Tesla Gigafactory Texas,EUA,LSTM,0.12783925338214683,0.028244762476033924,0.16806178172337077,0.4982458937852927,0.324629788146752,32.462978814675196,45.40106813180575,3557.6448263706548,59.645995895538995,0.49845699206432315,0.3042873234541145,30.42873234541145,0.12783925338214683,0.028244762476033924,0.16806178172337077,0.4982458937852927
Hyundai Metaplant Georgia,EUA,XGBoost,0.13407996774610753,0.02851127378762114,0.16885281693718093,0.48003885587969697,0.33451204179668975,33.45120417966898,47.25364198530519,3541.028523114967,59.5065418514214,0.4799370972098561,0.3188332032788951,31.883320327889507,0.13407996774610753,0.02851127378762114,0.16885281693718093,0.48003885587969697
Hyundai Metaplant Georgia,EUA,MLP,0.13005561788355366,0.0263744265017746,0.16240205202451907,0.519008618080975,0.321732518296719,32.1732518296719,45.817370282616636,3276.2507151920204,57.23854221756543,0.5188244189255496,0.30668136978631605,30.668136978631605,0.13005561788355366,0.0263744265017746,0.16240205202451907,0.519008618080975
Hyundai Metaplant Georgia,EUA,RNN,0.13029246428321498,0.026096439365123812,0.16154392394987752,0.5240782796716974,0.32003249232393227,32.00324923239323,45.873554439683254,3241.0518386187186,56.93023659373566,0.5239939988388909,0.3050294830092289,30.50294830092289,0.13029246428321498,0.026096439365123812,0.16154392394987752,0.5240782796716974
Hyundai Metaplant Georgia,EUA,LSTM,0.1503935802006942,0.037405776244480965,0.19340572960613386,0.317829488865809,0.3831534864461022,38.31534864461022,52.976708065371405,4644.189268043225,68.14828881228952,0.3179183573136737,0.36513526990442235,36.51352699044224,0.1503935802006942,0.037405776244480965,0.19340572960613386,0.317829488865809
Rivian Normal,EUA,XGBoost,0.13129823699126655,0.028270227006692905,0.1681375240887438,0.6134691652106696,0.39526550047726183,39.52655004772618,48.164248667238674,3803.297902656786,61.67088375122239,0.61334552121957,0.3742935892751013,37.42935892751013,0.13129823699126655,0.028270227006692905,0.1681375240887438,0.6134691652106696
Rivian Normal,EUA,MLP,0.12778830675235542,0.02632303688306841,0.1622437576089398,0.6400925461902397,0.3814101605109955,38.141016051099555,46.85424054181299,3540.0424485758585,59.49825584482169,0.6401088468882382,0.3611074526773775,36.11074526773775,0.12778830675235542,0.02632303688306841,0.1622437576089398,0.6400925461902397
