Localidade,Pais,Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2
Rivian Normal,EUA,RNN,0.12726620149527665,0.026725771483873697,0.16348018682358328,0.6345860696624439,0.3843168157325439,38.43168157325439,46.653486360716215,3594.0285073441323,59.950216908232555,0.6346204649763519,0.36385049961211985,36.38504996121198,0.12726620149527665,0.026725771483873697,0.16348018682358328,0.6345860696624439
Rivian Normal,EUA,LSTM,0.12707155398095452,0.027071185273710642,0.16453323455676255,0.6298633244046214,0.3867923692506382,38.67923692506382,46.581342636300015,3639.8638441395697,60.33128412473557,0.629960709492569,0.3661632768506519,36.616327685065194,0.12707155398095452,0.027071185273710642,0.16453323455676255,0.6298633244046214
Tesla Fremont Factory,EUA,XGBoost,0.06887958696200205,0.010425513350694327,0.10210540314152981,0.8697675047933486,0.19336311812645035,19.336311812645036,25.049966460929827,1377.0729981636234,37.10893420948146,0.8700692277873603,0.1814433392169548,18.14433392169548,0.06887958696200205,0.010425513350694327,0.10210540314152981,0.8697675047933486
Tesla Fremont Factory,EUA,MLP,0.07146819680799214,0.010534153143409884,0.10263602264024987,0.8684104079475479,0.1943679840557194,19.43679840557194,26.00228465631417,1390.6237621821897,37.29106812873814,0.8687906744823783,0.182333879115192,18.2333879115192,0.07146819680799214,0.010534153143409884,0.10263602264024987,0.8684104079475479
Tesla Fremont Factory,EUA,RNN,0.06955928394191209,0.010477726224454847,0.10236076506384097,0.8691152766868746,0.19384671229511943,19.384671229511945,25.310874506171576,1383.566281384525,37.196320804409204,0.8694565679616196,0.18187061410167615,18.187061410167615,0.06955928394191209,0.010477726224454847,0.10236076506384097,0.8691152766868746
Tesla Fremont Factory,EUA,LSTM,0.09572114551284781,0.01750697923312589,0.1323139419453819,0.781307882656045,0.2505708375755388,25.057083757553876,34.81146219166267,2310.2189990576153,48.064737584403964,0.7820242362400882,0.23501150522594833,23.501150522594834,0.09572114551284781,0.01750697923312589,0.1323139419453819,0.781307882656045
Lucid AMP 1 Casa Grande,EUA,XGBoost,0.06384380205063969,0.009331844771639505,0.0966014739620442,0.816687466224308,0.16307133026297804,16.307133026297805,24.158729097233074,1337.6673095563585,36.57413443345391,0.8157634222070773,0.15743647093305485,15.743647093305485,0.06384380205063969,0.009331844771639505,0.0966014739620442,0.816687466224308
Lucid AMP 1 Casa Grande,EUA,MLP,0.06400222501996163,0.009334248949858915,0.09661391695743898,0.8166402391205753,0.16309233507510212,16.309233507510214,24.148524965129678,1335.2565553178558,36.54116247901612,0.8160954547742401,0.15729454035214405,15.729454035214404,0.06400222501996163,0.009334248949858915,0.09661391695743898,0.8166402391205753
Lucid AMP 1 Casa Grande,EUA,RNN,0.06350951002934883,0.009291021900744047,0.09638994709379213,0.8174893809671022,0.16271425529944508,16.27142552994451,23.98953755398936,1330.2608517285787,36.47274121489333,0.8167835117570046,0.1570000152040542,15.70000152040542,0.06350951002934883,0.009291021900744047,0.09638994709379213,0.8174893809671022
Lucid AMP 1 Casa Grande,EUA,LSTM,0.06607100070395396,0.009755005571427057,0.09876743173448957,0.8083749963641845,0.16672764730204184,16.672764730204186,24.923583067334143,1395.0043753984953,37.34975736733099,0.8078664027344656,0.1607752057896932,16.07752057896932,0.06607100070395396,0.009755005571427057,0.09876743173448957,0.8083749963641845
GM Factory Zero,EUA,XGBoost,0.1264405417256921,0.026158398663695608,0.16173558255280626,0.6322704354242815,0.4266321974462209,42.66321974462209,47.23616839977722,3651.8270315955024,60.430348597335616,0.6320599636510911,0.41679532348731396,41.6795323487314,0.1264405417256921,0.026158398663695608,0.16173558255280626,0.6322704354242815
GM Factory Zero,EUA,MLP,0.12373050265496567,0.02585076066730114,0.16078171745351255,0.6365951491774247,0.4241160562424381,42.41160562424381,46.24920012435291,3610.5661098201786,60.08798640177734,0.6362172101270198,0.41443401058147006,41.443401058147,0.12373050265496567,0.02585076066730114,0.16078171745351255,0.6365951491774247
GM Factory Zero,EUA,RNN,0.12307286017781546,0.025363322017189986,0.15925866386853177,0.6434474647517536,0.4200984882618328,42.00984882618328,45.968751612763924,3540.893563363943,59.50540784974037,0.6432370714331093,0.41041589680769436,41.041589680769434,0.12307286017781546,0.025363322017189986,0.15925866386853177,0.6434474647517536
GM Factory Zero,EUA,LSTM,0.1252297413411801,0.02612306919155479,0.16162632579983618,0.6327670901153449,0.42634399587752625,42.634399587752625,46.77317576454501,3647.6233928436436,60.395557724419135,0.6324835015081075,0.4165553666863322,41.65553666863322,0.1252297413411801,0.02612306919155479,0.16162632579983618,0.6327670901153449
Ford Rouge Electric Vehicle Center,EUA,XGBoost,0.12400439646910603,0.02487297929113292,0.1577116967479994,0.6511624094057944,0.413065532285637,41.3065532285637,46.005063799586296,3422.9199593763037,58.50572586829689,0.6514800037860914,0.4030555105507494,40.30555105507494,0.12400439646910603,0.02487297929113292,0.1577116967479994,0.6511624094057944
Ford Rouge Electric Vehicle Center,EUA,MLP,0.12215363574645867,0.025124366547843186,0.15850667666645207,0.6476367632051336,0.4151476784418397,41.51476784418397,45.35122344057219,3459.8750471610483,58.82070253882598,0.6477172552533531,0.4052254363292529,40.52254363292529,0.12215363574645867,0.025124366547843186,0.15850667666645207,0.6476367632051336
Ford Rouge Electric Vehicle Center,EUA,RNN,0.12278663518345191,0.0248910206709046,0.15776888372205908,0.6509093833658944,0.41321531171460046,41.321531171460045,45.572493240551985,3426.114360583508,58.53301940429443,0.6511547514547913,0.40324354018243,40.324354018243,0.12278663518345191,0.0248910206709046,0.15776888372205908,0.6509093833658944
Ford Rouge Electric Vehicle Center,EUA,LSTM,0.12458469105980594,0.02539164373909232,0.15934755642648657,0.6438882644698263,0.41735004169598605,41.735004169598604,46.24952306386924,3496.875669124456,59.1343865202342,0.6439498704533448,0.4073864565610623,40.73864565610623,0.12458469105980594,0.02539164373909232,0.15934755642648657,0.6438882644698263
BMW San Luis Potosi,Mexico,XGBoost,0.0988343593798549,0.018143228215595473,0.1346968010592511,0.5692699083036799,0.2268640669846639,22.686406698466392,34.606253380691484,2226.6207870613134,47.18708284118985,0.5681893809103322,0.2008002906083509,20.080029060835088,0.0988343593798549,0.018143228215595473,0.1346968010592511,0.5692699083036799
BMW San Luis Potosi,Mexico,MLP,0.09638418000576016,0.01725748840273582,0.13136776013442497,0.5902978525194826,0.22125710559118414,22.125710559118414,33.77843971126959,2116.4876487188403,46.005300224200695,0.5895476018190288,0.19577132338598688,19.577132338598688,0.09638418000576016,0.01725748840273582,0.13136776013442497,0.5902978525194826
BMW San Luis Potosi,Mexico,RNN,0.09617339761234062,0.01676529261954355,0.12948085812020071,0.6019828477313444,0.2180790771481763,21.807907714817627,33.7143477392917,2056.8083718374414,45.35204925730966,0.601121258926125,0.19299147398454422,19.299147398454423,0.09617339761234062,0.01676529261954355,0.12948085812020071,0.6019828477313444
BMW San Luis Potosi,Mexico,LSTM,0.09900760285686248,0.018609651942079027,0.1364171981169494,0.5581967557152716,0.22976165824346595,22.976165824346594,34.67722604102566,2281.4798596174337,47.76483915619767,0.5575505104655774,0.2032588794629497,20.32588794629497,0.09900760285686248,0.018609651942079027,0.1364171981169494,0.5581967557152716
